,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSUNxc29PSTVBRRAB,Milene Acosta,https://www.google.com/maps/contrib/109238653212667321460/reviews?hl=en-CA,2 weeks ago,2021-06-22 19:38:32.419319,5.0,15,"Awesome park. Plenty green space and kids park also. There are picnic tables, bikes to rent and beautiful purple flowers trees :)"
1,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSUNRX0pLT0VBEAE,Robyn Woolrich,https://www.google.com/maps/contrib/108873472294558609390/reviews?hl=en-CA,a month ago,2021-06-22 19:38:32.420589,5.0,25,Out for a stroll with my cat Mocha
2,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSUNpdmFDdk13EAE,Eric Vanh,https://www.google.com/maps/contrib/117554321309423092855/reviews?hl=en-CA,7 months ago,2021-06-22 19:38:32.421560,4.0,172,Very nice little local green parc with an enclosed playground for children
3,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSUNxd0lxVTBRRRAB,Razan Feta,https://www.google.com/maps/contrib/111890661056195753416/reviews?hl=en-CA,4 weeks ago,2021-06-22 19:38:32.422675,5.0,39,Nice parck
4,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSURjdlBTd25BRRAB,biola Bolanle,https://www.google.com/maps/contrib/103678212701211887540/reviews?hl=en-CA,a year ago,2021-06-22 19:38:32.423601,5.0,29,"Very spacious, it allows people to maintain social distancing."
5,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSUNpaGVYVlVnEAE,StopitGio,https://www.google.com/maps/contrib/115700696544260113956/reviews?hl=en-CA,7 months ago,2021-06-22 19:38:32.424825,5.0,10,Good to work out!
6,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSUNRMU42UjFnRRAB,Yahya Alameddine,https://www.google.com/maps/contrib/114625375993510431309/reviews?hl=en-CA,4 years ago,2021-06-22 19:38:32.425991,4.0,282,Nice place to relax in the middle of the city. Has children playground.
7,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSUMwX3EzeDdRRRAB,alex cadet,https://www.google.com/maps/contrib/103130625533364000334/reviews?hl=en-CA,a year ago,2021-06-22 19:38:32.427192,3.0,92,"Lots of fun when there's a big event...but other then that, it's average."
8,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSURnbkttT2NREAE,Patricia D,https://www.google.com/maps/contrib/115850813300918588809/reviews?hl=en-CA,2 years ago,2021-06-22 19:38:32.428282,5.0,116,Nice park with tables available in pleasant neighborhood.
9,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSURJaE5iVlBnEAE,Albert Marks,https://www.google.com/maps/contrib/116067370226549553367/reviews?hl=en-CA,2 years ago,2021-06-22 19:38:32.429449,4.0,250,Nice park they have food trucks during the summer months
10,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSURZMWZTQW1RRRAB,Aya Mesfioui,https://www.google.com/maps/contrib/108019591220571060915/reviews?hl=en-CA,2 years ago,2021-06-22 19:38:32.430877,5.0,1,Best date of my life with the woman of my dreams
11,Parc Tolhurst,ChdDSUhNMG9nS0VJQ0FnSURrMko3RWdnRRAB,Eddy Mourra,https://www.google.com/maps/contrib/109509714165270180373/reviews?hl=en-CA,a year ago,2021-06-22 19:38:32.432048,5.0,344,Nice festivities for fete st jean
12,Parc Tolhurst,ChZDSUhNMG9nS0VJQ0FnSUN3ODdXQlZ3EAE,Sebastien Carrier,https://www.google.com/maps/contrib/107420996952346431906/reviews?hl=en-CA,3 years ago,2021-06-22 19:38:32.433001,5.0,76,"Clean little neighborhood park.  Nice spot for lunch or dinner, as there are quite a few little restaurants and shops nearby on Fleury; picnic express. :)"
