,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Trenholme,ChdDSUhNMG9nS0VJQ0FnSUNLdi1LWnpRRRAB,melissa rousseau,https://www.google.com/maps/contrib/102137702290575744844/reviews?hl=en-CA,a month ago,2021-06-22 19:44:52.204902,5.0,44,"There is a dog park, a park for small kids, older kids, a ping-pong table, a field to play soccer or football or whatever, and what I think is a shuffleboard area (might be something else).

It's nice."
1,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSUN3d3VtT1d3EAE,Anna-Maria,https://www.google.com/maps/contrib/113962223281911130492/reviews?hl=en-CA,5 months ago,2021-06-22 19:44:52.205930,4.0,107,"My only complaint is that this winter, 2021, due to covid they should've created 2 skating rinks like they have at MacDonald park. This winter a lot more ppl are using the rink compared to other years and since we're to respect social distancing it's kinda hard with even only 10 ppl skating (no one wearing a mask)."
2,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSUNDOS1fQVdREAE,Tim R,https://www.google.com/maps/contrib/104019092261042615298/reviews?hl=en-CA,9 months ago,2021-06-22 19:44:52.206863,5.0,76,Amazing park to walk the dog.  path in and around the park. They have a dog park. Plenty squirrels. Public restroom is open.pretty clean from what I saw.
3,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSURrNzQza0RBEAE,Zak Kik,https://www.google.com/maps/contrib/104114873278005687133/reviews?hl=en-CA,a year ago,2021-06-22 19:44:52.208003,5.0,68,Quiet park with some nice greenery
4,Parc Trenholme,ChdDSUhNMG9nS0VJQ0FnSURTejZTWGpnRRAB,Eric ABBADIE,https://www.google.com/maps/contrib/118217868742588376051/reviews?hl=en-CA,5 months ago,2021-06-22 19:44:52.208939,5.0,114,Great place with awesome dog run and an ice hockey rink
5,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSURDNU9MVGF3EAE,Dana Hyde,https://www.google.com/maps/contrib/103766565475892314667/reviews?hl=en-CA,9 months ago,2021-06-22 19:44:52.209869,3.0,123,"Nice park, fun for kids. Definitely needs more upkeep by the city though.ove that Several citizens took it upon themselves to tidy up and decorate some of the play areas ti make it more inviting"
6,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSUN5N3FURUx3EAE,Sibol Khan,https://www.google.com/maps/contrib/108561830488212216394/reviews?hl=en-CA,4 months ago,2021-06-22 19:44:52.210929,4.0,5,I love to go ther and watch the squirrels
7,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSUNndHBMNldBEAE,Richard Laplante (Rich),https://www.google.com/maps/contrib/111021804372279329927/reviews?hl=en-CA,10 months ago,2021-06-22 19:44:52.212080,5.0,92,"The ground games were all fixed (by a lovely lady and some help from the city). Croquet, Shuffle board, iron throwing(fer a cheval) and even books are coming. That, plus the nice splash pad/pataugeoire and nice young kid(0-5) games and older kid 5-12 jungle gym. It has it all."
8,Parc Trenholme,ChdDSUhNMG9nS0VJQ0FnSUNDcnZ6TDVRRRAB,Jabason Stanley,https://www.google.com/maps/contrib/103667568206543825919/reviews?hl=en-CA,9 months ago,2021-06-22 19:44:52.213094,5.0,259,Very nice family friendly park. Great play area for kids with water fountain and pool . Good to spend your day with picnic here.
9,Parc Trenholme,ChdDSUhNMG9nS0VJQ0FnSUNDOE9PZ2dRRRAB,Dean Neiderer,https://www.google.com/maps/contrib/104128241307895482417/reviews?hl=en-CA,10 months ago,2021-06-22 19:44:52.214030,4.0,1,Very enjoyable to eat a meal  - watch out for squirrels trying to steal your food 😁
10,Parc Trenholme,ChZDSUhNMG9nS0VJQ0FnSUR5aUt6SlVBEAE,Tobias Di Carlo,https://www.google.com/maps/contrib/101464396459651257926/reviews?hl=en-CA,4 months ago,2021-06-22 19:44:52.214959,5.0,31,lovelovelove #love
11,Parc Trenholme,ChdDSUhNMG9nS0VJQ0FnSURjbFB1VjRBRRAB,Javier DL,https://www.google.com/maps/contrib/114741582828648020257/reviews?hl=en-CA,a year ago,2021-06-22 19:44:52.216104,5.0,62,Yesterday was a beautiful day to sit on a bench under a big tree while enjoying some ice-cream from Calem 😉
