,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Villeray,ChdDSUhNMG9nS0VJQ0FnSUNLcnBEOC13RRAB,Carmen carriero,https://www.google.com/maps/contrib/113984657441779490212/reviews?hl=en-CA,2 months ago,2021-06-24 15:59:17.035646,5.0,44,I enjoyed the dog park.  It was clean and well maintained. The park also had an enclosed area for smaller dogs. There is also a large parking area reserved for the park.
1,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSURLN2F5TVB3EAE,Truong Ngoc Vinh Le,https://www.google.com/maps/contrib/117708994993217948769/reviews?hl=en-CA,a month ago,2021-06-24 15:59:17.040605,5.0,203,Nice ground for sport! (Football 👍)
2,Parc Villeray,ChdDSUhNMG9nS0VJQ0FnSUN5MTdHQnhBRRAB,Sukeeran Pathmanathan,https://www.google.com/maps/contrib/106425076671225623211/reviews?hl=en-CA,4 months ago,2021-06-24 15:59:17.042872,4.0,14,"It's a pretty good place, its quite calm and peaceful, but sometimes it can be quite dirty."
3,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSURDal9xMllnEAE,Pascal Lecurieux,https://www.google.com/maps/contrib/107376802326900926717/reviews?hl=en-CA,8 months ago,2021-06-24 15:59:17.044826,5.0,115,Pretty chill for a downtown park. Has plenty of room for socially-distanced picnics.
4,Parc Villeray,ChdDSUhNMG9nS0VJQ0FnSUQ4dDRYQzdBRRAB,Mitzy Reyes,https://www.google.com/maps/contrib/115588099280517575544/reviews?hl=en-CA,10 months ago,2021-06-24 15:59:17.047256,5.0,111,I love it is always clean  there is a machines for construction in the path for running but it's space enough for still running
5,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSUN5c2VxZlpREAE,Judi's Channel,https://www.google.com/maps/contrib/104994854613967737957/reviews?hl=en-CA,4 months ago,2021-06-24 15:59:17.049212,4.0,8,Great parks!
6,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSURjOGRTMFhBEAE,Savyo Relavio,https://www.google.com/maps/contrib/113754425598543133426/reviews?hl=en-CA,a year ago,2021-06-24 15:59:17.054421,5.0,105,Nice and peaceful place
7,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSUNzbkk3V1hnEAE,Jean C Loko Earth,https://www.google.com/maps/contrib/117475646469025133342/reviews?hl=en-CA,a year ago,2021-06-24 15:59:17.056756,5.0,205,Nice place to go play hockey in the winter and nice classic summer park👍
8,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSUNpdU5hUUhREAE,ruhune kajabika,https://www.google.com/maps/contrib/101313273963776118533/reviews?hl=en-CA,8 months ago,2021-06-24 15:59:17.058236,5.0,35,A nice place for games
9,Parc Villeray,ChZDSUhNMG9nS0VJQ0FnSUQwaU1DVkJ3EAE,Axxetto,https://www.google.com/maps/contrib/104745712581397570490/reviews?hl=en-CA,a year ago,2021-06-24 15:59:17.059705,5.0,26,Great for running. Just too much mud and dirt without grass in my opinion. So your shoes will get dirty.
