,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUM0OGNTQ0tnEAE,C LL,https://www.google.com/maps/contrib/115400249341097228749/reviews?hl=en-CA,2 years ago,2021-06-24 16:10:12.820828,5.0,75,"I wake up this this beautiful park everyday, feels a lot larger than it is - the giant trees create a nice atmosphere at one end, with a large kids park for kiddos of all ages alongside (young toddlers to tweens), a rec center, small though used in various contexts next to the large grassed area, with a short enclosure all around for multiple soccer games or the like. A small designated dog park, gravel only, minimal room for any dogs to run around - still gets somewhat used as tons of dog owners in the area so is useful just could be largely improved for both dogs and owners."
1,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUNpcjV2NE1BEAE,Louis Belegris,https://www.google.com/maps/contrib/109794985074169357161/reviews?hl=en-CA,7 months ago,2021-06-24 16:10:12.821980,5.0,11,"Not too overcrowded,  has a small dog park and is a great neighborhood park."
2,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUR5a3Z6bVZ3EAE,Cristian M,https://www.google.com/maps/contrib/103832573062923580716/reviews?hl=en-CA,3 months ago,2021-06-24 16:10:12.823074,4.0,284,Always nice for a short walk
3,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUNnazVYa0NnEAE,Jeffry Archer,https://www.google.com/maps/contrib/105081819320829741617/reviews?hl=en-CA,3 years ago,2021-06-24 16:10:12.824562,5.0,68,"Now that winter is in full force, you can enjoy the simple outdoor rink. The building next to it is open to change into your skates or use the restroom."
4,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUNxeVlUUkZnEAE,arnette morgan,https://www.google.com/maps/contrib/114384616870945142773/reviews?hl=en-CA,a week ago,2021-06-24 16:10:12.826442,5.0,62,Quiet.
5,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSUM0NmNmX2FnEAE,Neal Irvine,https://www.google.com/maps/contrib/114552320878176698982/reviews?hl=en-CA,2 years ago,2021-06-24 16:10:12.828544,4.0,187,"Located perfectly on on western border of NDG, this is a great park for everyone  - huge trees, some walking paths and just about something for everyone

There is a full football field (which transforms into a hockey rink in the winter - generally really nicely maintained Ice).

In the summer there are frequently extracurricular sports for kids in the evening

There's a full playground - modern and clean - as well as a dog park.

Lonely place to bring the family for picnic."
6,Parc William-Bowie,ChdDSUhNMG9nS0VJQ0FnSUM0Mk4tVjhRRRAB,Grey Cat,https://www.google.com/maps/contrib/113131478263258339179/reviews?hl=en-CA,a year ago,2021-06-24 16:10:12.831870,4.0,102,"Medium sized park in Western NDG, within walking distance of Montreal West. Lots of maturing trees makes this a verdant quiet place.

2 playgrounds and 3 sets of swings in the south end. Bathrooms/changing rooms in a chalet with an adjoining water fountain in the middle.

North of that is a soccer field that is turned into an outdoor ice rink during the winter.

Far northern tip has a fenced off dog park.

Supposedly we will be getting a Bixi station at the northern end within two years (source planned Bixi expansion map from CBC)"
7,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSURnNXNxUVZBEAE,The Dude,https://www.google.com/maps/contrib/114010119394927927714/reviews?hl=en-CA,3 years ago,2021-06-24 16:10:12.835670,4.0,307,"Great park in the west end of NDG. Lots of room for many activities. There is a big area for the kids to play on slides, swings, ladders, towers and more. Lots of benches and a few picnic tables. There are bathrooms but maybe not always open. At one end is dog park for our four legged family to run. In the summer there is a soccer field like area that turns into an ice rink in the winter months. Awesome place to just come and relax too."
8,Parc William-Bowie,ChdDSUhNMG9nS0VJQ0FnSUNvLV8tSnl3RRAB,Ben Kasapiano,https://www.google.com/maps/contrib/106116881956457318262/reviews?hl=en-CA,2 years ago,2021-06-24 16:10:12.837115,5.0,154,"A great place to ice skate in the winter and nice and shady in the summer. A nice little dog park too, so bring your dogs there are always new people and dogs to meet..."
9,Parc William-Bowie,ChZDSUhNMG9nS0VJQ0FnSURDMF82amZREAE,Tim R,https://www.google.com/maps/contrib/104019092261042615298/reviews?hl=en-CA,8 months ago,2021-06-24 16:10:12.838734,3.0,76,Not even a light over the dog park.
