,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNVbVlPalhBEAE,Manon Boileau,https://www.google.com/maps/contrib/112690017036864605393/reviews?hl=en-CA,4 months ago,2021-06-24 16:11:22.822523,5.0,34,"Busy skating rinks, people happy to enjoy outdoors, kids learning to skate or slide on small hills, grownups loving spending time with family"
1,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNneGN6cS1BRRAB,Mike Silas,https://www.google.com/maps/contrib/108096658911310112403/reviews?hl=en-CA,4 years ago,2021-06-24 16:11:22.824885,3.0,261,Could use a face lift and maybe a dog run.  But it's still somewhere for kids to play. Also has a good shinny rink in the winter
2,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNLenZmbHJBRRAB,Buttsecks McTasty,https://www.google.com/maps/contrib/110713009276971911903/reviews?hl=en-CA,2 months ago,2021-06-24 16:11:22.828817,5.0,20,"It's a good park, plenty of space to do activities"
3,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNDZ2FELTZnRRAB,Nikitha Basil,https://www.google.com/maps/contrib/101647110044003165057/reviews?hl=en-CA,9 months ago,2021-06-24 16:11:22.830546,5.0,58,Dog park is an additional bonus to this place. It has a children's park too. Great place to have a small picnic 🙂
4,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUN5cWZxZEVnEAE,Ulrike Horstmann,https://www.google.com/maps/contrib/102795941027940580078/reviews?hl=en-CA,4 months ago,2021-06-24 16:11:22.831962,4.0,31,During the winter months good for ice skating
5,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNxc3Jmc2NBEAE,Sina,https://www.google.com/maps/contrib/113178849340458032360/reviews?hl=en-CA,3 weeks ago,2021-06-24 16:11:22.833387,4.0,49,Nice and quiet park
6,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUN3dGRmWnpBRRAB,Robert J Dunn,https://www.google.com/maps/contrib/100679267685447433969/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.835244,4.0,57,Great little pocket park. Everything a full park has in the space of a block. Two play areas with equipment: one for children over five and a other fenced off area for 3 to 5 year olds. A chalet with toilets and team rooms. A decent size playing field. A few park benches.
7,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNDMWEyd1hREAE,Andy D,https://www.google.com/maps/contrib/103156107660755183014/reviews?hl=en-CA,9 months ago,2021-06-24 16:11:22.836347,4.0,161,Very nice quiet patk
8,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNRLXBUeTBnRRAB,Sebastian Sanchez,https://www.google.com/maps/contrib/117764781492724036391/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.838250,5.0,12,I go there pretty much every day with my 2 daughters. The small children park with is enclosed so you can let them play in the sand and relax on the benches. There is also a bigger kids area. The water fountain works fine and the are public bathrooms. It's also a space often used for community initiatives.
9,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNTOVBpeVJ3EAE,Miss Kothy,https://www.google.com/maps/contrib/100821959782294725248/reviews?hl=en-CA,6 months ago,2021-06-24 16:11:22.840221,5.0,96,Beautiful 😍
10,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSURNX0p5THhnRRAB,amelization,https://www.google.com/maps/contrib/113703995768135745522/reviews?hl=en-CA,a year ago,2021-06-24 16:11:22.842159,3.0,2,Nice park but the playground for older kids is in bad condition
11,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNrMGJIYUxBEAE,Joey Margolese,https://www.google.com/maps/contrib/116579702932608330645/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.846858,5.0,42,great little park that's enclosed.
12,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUN3NE9Xakl3EAE,Andrew Laramee,https://www.google.com/maps/contrib/115664713202649926445/reviews?hl=en-CA,4 years ago,2021-06-24 16:11:22.849058,3.0,408,A quiet park across from some large apartment buildings. Not incredibly clean but the jungle-gym and swings are well kept.
13,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNBNl9UYl9BRRAB,Oscar J. Acosta,https://www.google.com/maps/contrib/113883076459331265165/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.850519,4.0,238,"Charming little park well suited for young children and family activities. Softball field and children's playground, skating rink"
14,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNzNllhdU9BEAE,Rabbi Yisroel Bernath,https://www.google.com/maps/contrib/115412175136945878035/reviews?hl=en-CA,a year ago,2021-06-24 16:11:22.853331,5.0,475,Fan favourite for the kids.
15,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNZcDZQaWx3RRAB,Eric T,https://www.google.com/maps/contrib/102797491629275374036/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.855700,4.0,205,It's small but everyone likes it
16,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUQ4cFl2LWFREAE,Roberta Cuttler,https://www.google.com/maps/contrib/106438910085805784940/reviews?hl=en-CA,11 months ago,2021-06-24 16:11:22.857845,5.0,162,Nice park
17,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNRb3UtTDFBRRAB,davidhum photo,https://www.google.com/maps/contrib/117347385918722377876/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.859374,4.0,13,Community family park. Friendly chill vibe.
18,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUN3bk0zS1Z3EAE,Ihor Vyshnivskyi,https://www.google.com/maps/contrib/115136376303003098561/reviews?hl=en-CA,4 months ago,2021-06-24 16:11:22.862561,5.0,138,Super!
19,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSURBaDh2Ml93RRAB,Harald Wolf,https://www.google.com/maps/contrib/102797141538156768626/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.864952,5.0,1,"First met my future wife there in 1970, so it's a bit of our history.
It was called Terrebonne Park then."
20,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNZdWFHR1dnEAE,martin alcaine,https://www.google.com/maps/contrib/104513527300137327987/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.866978,5.0,116,Peacefull
21,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSURZallhMGJREAE,James Mckinnon,https://www.google.com/maps/contrib/100265944344970673391/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.868582,3.0,94,Nature at its finest
22,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNVNTZ1V21BRRAB,Inga-Marie Gannon,https://www.google.com/maps/contrib/112888180125430119916/reviews?hl=en-CA,a year ago,2021-06-24 16:11:22.870104,3.0,125,Quite
23,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSUNVNkllZVdBEAE,afsta Afsta,https://www.google.com/maps/contrib/114269258338651766685/reviews?hl=en-CA,a year ago,2021-06-24 16:11:22.872374,5.0,79,Good
24,Parc William-Hurst,ChZDSUhNMG9nS0VJQ0FnSURFdnB1RkpREAE,Abdul-Taofiq Adekeye,https://www.google.com/maps/contrib/118041420570357615598/reviews?hl=en-CA,2 years ago,2021-06-24 16:11:22.874207,5.0,53,Love it
25,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSURnaEpuR3NnRRAB,Charlotte Begouen,https://www.google.com/maps/contrib/105226112875149004118/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.875638,5.0,2,Great place
26,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNBemFyMzFRRRAB,do_D_do la_D_Dan,https://www.google.com/maps/contrib/112105589340865072893/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.878749,4.0,6,It's a nice shady park.
27,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUN3MHJucm5nRRAB,S.E. McKenzie,https://www.google.com/maps/contrib/109537359070841600424/reviews?hl=en-CA,3 years ago,2021-06-24 16:11:22.880470,4.0,166,Great park.
28,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSURBcFpyZmtBRRAB,Alan T,https://www.google.com/maps/contrib/117686065527159304253/reviews?hl=en-CA,4 years ago,2021-06-24 16:11:22.881556,5.0,30,"Nice, quiet park."
29,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNnXzdIaThBRRAB,Dmitry Babich,https://www.google.com/maps/contrib/105256403351980597470/reviews?hl=en-CA,4 years ago,2021-06-24 16:11:22.882850,5.0,70,Nice and quiet
30,Parc William-Hurst,ChdDSUhNMG9nS0VJQ0FnSUNndTdHMHB3RRAB,George M.,https://www.google.com/maps/contrib/102702601815161160354/reviews?hl=en-CA,5 years ago,2021-06-24 16:11:22.885195,3.0,44,Small nice and cozy
