,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURLN2VUdUlBEAE,Jellal,https://www.google.com/maps/contrib/109866181491015242083/reviews?hl=en-CA,a month ago,2021-06-24 16:12:40.621581,3.0,6,Very nice park. Mostly children go there so not a place for adults to play obviously but its clean. Had a great time playing Volleyball with my buddies there
1,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURLdExhYm5BRRAB,Mario Torres,https://www.google.com/maps/contrib/107503599598897387540/reviews?hl=en-CA,a month ago,2021-06-24 16:12:40.622588,5.0,5,Nice place to visit with the family.
2,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURTdGNyZGtRRRAB,sandra tremblay,https://www.google.com/maps/contrib/107784488225161505460/reviews?hl=en-CA,5 months ago,2021-06-24 16:12:40.623529,5.0,3,"Great, I went skating  and was very impressed with the setup"
3,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNpOEl5VGJREAE,Ariana L,https://www.google.com/maps/contrib/100485494484242710666/reviews?hl=en-CA,8 months ago,2021-06-24 16:12:40.624463,4.0,54,I love the play park and it has water feature thingy in the summer
4,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURTNjlmS2hRRRAB,Travis Walsh,https://www.google.com/maps/contrib/100188657950173539031/reviews?hl=en-CA,5 months ago,2021-06-24 16:12:40.625399,5.0,8,Best place to skate ! Go hand go !!!
5,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUM4bXFPdEhREAE,Matías Cárcamo,https://www.google.com/maps/contrib/107410580150100826347/reviews?hl=en-CA,11 months ago,2021-06-24 16:12:40.626677,5.0,7,Great park for kids. Clean and secure
6,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURTbXNMWWZBEAE,Nicodemo Zavaglia,https://www.google.com/maps/contrib/105901930644148904965/reviews?hl=en-CA,6 months ago,2021-06-24 16:12:40.627621,5.0,26,great ice rink!
7,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNDdkp2bGhnRRAB,Doress Calico,https://www.google.com/maps/contrib/115530414022504655068/reviews?hl=en-CA,10 months ago,2021-06-24 16:12:40.628555,4.0,10,"I Just ses from outside, looks nice"
8,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURNMWQyeUp3EAE,J.F. Houpert,https://www.google.com/maps/contrib/105036641175492281736/reviews?hl=en-CA,a year ago,2021-06-24 16:12:40.629494,5.0,52,Great place to take the kids skating they will even lend you some equipment if you have some ID to leave them.
9,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUM0bWN2U3N3RRAB,Natalie King,https://www.google.com/maps/contrib/106780958892859616706/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.630433,5.0,76,Nice fountain nice trees and best of all benches
10,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNneWNMY09BEAE,Guillaume Carrier,https://www.google.com/maps/contrib/109092044360295994929/reviews?hl=en-CA,3 years ago,2021-06-24 16:12:40.631366,4.0,68,Refrigerated hockey ice and small family ice rink on the side in winter. Nice water games in summer. No room for soccer.
11,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNBOWR2ZGxBRRAB,Alejandro,https://www.google.com/maps/contrib/102765752079044285564/reviews?hl=en-CA,4 years ago,2021-06-24 16:12:40.632483,4.0,78,Nice place to go to play with your little ones for a little while and you can skate too.
12,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURBaE1XWUlREAE,Gyuzel Gaysarova,https://www.google.com/maps/contrib/115942462755513454182/reviews?hl=en-CA,3 years ago,2021-06-24 16:12:40.633438,5.0,5,It is a good place to spend the time with children
13,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURRZ1lQRVpBEAE,Gavin Bischof,https://www.google.com/maps/contrib/108775576770447544982/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.634376,5.0,64,Very peaceful😎😇
14,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNDbHVEcUNBEAE,محمود الكحلوت,https://www.google.com/maps/contrib/102325394035443955725/reviews?hl=en-CA,10 months ago,2021-06-24 16:12:40.635319,3.0,80,I like it
15,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUN3MDQ2M2lRRRAB,DJ Mc Mabster,https://www.google.com/maps/contrib/112806362948754787833/reviews?hl=en-CA,3 years ago,2021-06-24 16:12:40.636261,5.0,329,"Play time, fun time"
16,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNBeWMtVm5nRRAB,Jessica Gogan,https://www.google.com/maps/contrib/113243959552341513682/reviews?hl=en-CA,4 years ago,2021-06-24 16:12:40.637205,5.0,25,Amazing park  and fun water park
17,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNBcHJlNmNREAE,Anton #Abton Gladki,https://www.google.com/maps/contrib/117561711128307415004/reviews?hl=en-CA,3 years ago,2021-06-24 16:12:40.638143,5.0,122,Our home park :)
18,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNBLWVMTlFBEAE,Curtis Poirier,https://www.google.com/maps/contrib/118192784061694884149/reviews?hl=en-CA,3 years ago,2021-06-24 16:12:40.639247,4.0,25,Fun outdoor rink
19,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNxMmViZXNRRRAB,Kristina Zuevich,https://www.google.com/maps/contrib/103209210541963809660/reviews?hl=en-CA,a week ago,2021-06-24 16:12:40.640185,5.0,49,"(Translated by Google) Beautiful ❤ great for the little ones with the water games

(Original)
Magnifique ❤ super pour les petits avec les jeux d'eau"
20,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURTNXFtZDBRRRAB,am bs,https://www.google.com/maps/contrib/106023724134674253883/reviews?hl=en-CA,6 months ago,2021-06-24 16:12:40.641121,5.0,110,"(Translated by Google) Place appreciated by children even if the possibility of skating had to be planned 48 hours before to reserve

(Original)
Lieu apprécié des enfants même si la possibilité de patiner devait se prévoir 48 heures avant pour réserver"
21,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURJci12c0RREAE,Julie Auger,https://www.google.com/maps/contrib/101152416199488404292/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.642054,4.0,80,"(Translated by Google) Full of play and great ice rink!

(Original)
Plein de jeu et superbe patinoire!"
22,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUR5LXB1R2Z3EAE,Jeimmy Patricia De Aguas Sotelo,https://www.google.com/maps/contrib/104075959938470488043/reviews?hl=en-CA,3 months ago,2021-06-24 16:12:40.642990,2.0,21,"(Translated by Google) Very dirty

(Original)
Muy sucio"
23,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNzbDhTbkZREAE,Anthony MI (NekoDears),https://www.google.com/maps/contrib/102376795849220270578/reviews?hl=en-CA,a year ago,2021-06-24 16:12:40.643924,5.0,85,"(Translated by Google) I only went there during the winter period because they install a free skating rink, so I went there several times.
The state and availability of the ice rinks is available on the internet, with timetables roughly similar each day, enough to organize and have a good sliding session.
Watch out for Sundays and Saturdays when the skating rink is a little more crowded!

(Original)
Je n'y suis allé qu'en période d'hiver parce qu'il installent une patinoire gratuite , et du coup j'y suis allé plusieurs fois.
L'état et la disponibilité des patinoires est disponible sur internet , avec des horaires a peu près similaires chaques jours, de quoi s'organiser et se faire une bonne session de glisse.
Attention aux dimanches et samedis où la patinoire est un peu plus fréquentée !"
24,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUQwd2VPbmJREAE,Martin Bautista,https://www.google.com/maps/contrib/111066046212602048884/reviews?hl=en-CA,a year ago,2021-06-24 16:12:40.644856,5.0,144,"(Translated by Google) A place to take stress out of the quiet city

(Original)
Un lugar para sacar el estrés de la ciudad tranquilo"
25,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNFLTR6MXJnRRAB,Caro Val,https://www.google.com/maps/contrib/115714476985485077333/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.645787,5.0,1,"(Translated by Google) A beautiful park for children .. well located.

(Original)
Un beau parc pour les enfants.. bien situé."
26,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUR3dVBLU1BBEAE,Vincent Roy,https://www.google.com/maps/contrib/107510111850690634720/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.646722,4.0,36,"(Translated by Google) Beautiful ice rink in winter. In summer, beautiful park and water games for children.

(Original)
Belle patinoire l'hiver. En été, beau parc et jeux d'eau pour enfants."
27,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURZaW9qaHNBRRAB,Marco Alvarado,https://www.google.com/maps/contrib/117123616312092151346/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.647652,4.0,179,"(Translated by Google) Great for the family
Winter can be skated

(Original)
Super pour la famille
L'hiver on peut patiner"
28,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUNZazRPaW9nRRAB,KoraelGaming,https://www.google.com/maps/contrib/105185530199791923970/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.648586,5.0,110,"(Translated by Google) Park very clean. Safe for children.

(Original)
Parc très propre. Sécuritaire pour les enfants."
29,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNvb3FXZFF3EAE,Jonathan Dufresne,https://www.google.com/maps/contrib/112612664771773058863/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.649633,4.0,48,"(Translated by Google) You can borrow skates and other winter. Excellent

(Original)
On peut y emprunter des patins et autres l'hiver. Excellent"
30,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUR3MnF6RzVRRRAB,Frederic Millet,https://www.google.com/maps/contrib/109058181496817751480/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.650571,5.0,260,"(Translated by Google) Superb neighborhood park with many games for children.

(Original)
Superbe parc de quartier avec de nombreux jeux pour enfants."
31,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSURBNnFpNWhBRRAB,Guillaume Mathias,https://www.google.com/maps/contrib/112538080797043608187/reviews?hl=en-CA,4 years ago,2021-06-24 16:12:40.651507,4.0,21,"(Translated by Google) Good park for children, water games in the summer, slides and swings. On the other hand it is not closed to the angles so children can go on the busy Bannantyne street ... Do not let go of the eyes!

(Original)
Bon parc pour enfants, jeux d'eau l'été, glissades et balançoires. Par contre ce n'est pas fermé aux angles donc les enfants peuvent aller sur la rue Bannantyne très passante...Ne pas les lâcher des yeux !"
32,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSURrdnMtTk9nEAE,Sylvain Payant,https://www.google.com/maps/contrib/111180144232479526666/reviews?hl=en-CA,a year ago,2021-06-24 16:12:40.652442,5.0,159,"(Translated by Google) pretty tranquil park

(Original)
jolie parc tranquil"
33,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNZa3NtZlNREAE,alexandre loof,https://www.google.com/maps/contrib/116841223707447851687/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.653377,5.0,62,"(Translated by Google) Beautiful little park before dinner

(Original)
Beau petit parc avant souper"
34,Parc Willibrord,ChdDSUhNMG9nS0VJQ0FnSUM0OGEyWHZ3RRAB,g f,https://www.google.com/maps/contrib/102495665613424539728/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.654310,5.0,99,"(Translated by Google) very calm

(Original)
tres tranquille"
35,Parc Willibrord,ChZDSUhNMG9nS0VJQ0FnSUNvcFpENFFREAE,Richard Michaud,https://www.google.com/maps/contrib/100792997956658837283/reviews?hl=en-CA,2 years ago,2021-06-24 16:12:40.655245,4.0,48,"(Translated by Google) Very beautiful park.

(Original)
Tres beau parc."
