,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSURVcmJ1aDJnRRAB,mtl 79,https://www.google.com/maps/contrib/111886040151457076921/reviews?hl=en-CA,a year ago,2021-06-24 16:22:37.630423,5.0,22,"Nice little park . Well maintained.  Seems like a family area, kids came and left all afternoon"
1,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSUNxeXF1T2x3RRAB,Francois Ethier,https://www.google.com/maps/contrib/110281979496206448173/reviews?hl=en-CA,3 weeks ago,2021-06-24 16:22:37.631710,4.0,210,"(Translated by Google) Park with a famous ""spider's web""

Children love

It is located on the edge of the Pointe aux Prairies nature park

There are also swings for young and old

A beautiful place in sum

(Original)
Parc avec une fameuse ""toile d'araignée""

Les enfants adorent

Il est situé aux abords du parc nature de la Pointe aux Prairies

Il y a aussi des balançoires pour petits et grands

Un bel endroit en sommes"
2,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSUNxLV8taE1BEAE,Henri Trudelle,https://www.google.com/maps/contrib/115266071315010728093/reviews?hl=en-CA,3 days ago,2021-06-24 16:22:37.632948,5.0,65,"Parc idéal pour les jeunes familles, jeux pour enfants, aires de pique-nique, etc."
3,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSUM4LU42LWJnEAE,Michel Viandier,https://www.google.com/maps/contrib/116260044022717926724/reviews?hl=en-CA,11 months ago,2021-06-24 16:22:37.636775,5.0,61,"(Translated by Google) It is a very beautiful park. People in the industry are lucky

(Original)
C'est un très beau parc. Les gens du secteur sont chanceux"
4,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSUM4eUlYZDFBRRAB,Claude Côté,https://www.google.com/maps/contrib/113842238324201247134/reviews?hl=en-CA,a year ago,2021-06-24 16:22:37.638762,3.0,41,"(Translated by Google) Too bad the pétanque area is not maintained

(Original)
Dommage que le terrain de pétanque n'est pas entretenus"
5,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSURzNmFlb3ZRRRAB,Julie Gagné,https://www.google.com/maps/contrib/104209672478546416353/reviews?hl=en-CA,a year ago,2021-06-24 16:22:37.640796,4.0,1,"(Translated by Google) Great with babies! Quiet and easy to access!

(Original)
Super avec les bébés ! Tranquille et facile d'accès !"
6,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSURLNTR1by1RRRAB,Luca Ovidiu,https://www.google.com/maps/contrib/117057428686627032512/reviews?hl=en-CA,a month ago,2021-06-24 16:22:37.642978,5.0,11,
7,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSUNxaGFTQjlBRRAB,Philippe Remarais,https://www.google.com/maps/contrib/100781411578107590622/reviews?hl=en-CA,a week ago,2021-06-24 16:22:37.645466,3.0,4,
8,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSUNpMElINzBnRRAB,Mauro Luigi Exius,https://www.google.com/maps/contrib/103428125550502054916/reviews?hl=en-CA,8 months ago,2021-06-24 16:22:37.647708,5.0,5,
9,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSURTbThUaXZRRRAB,Jacques Chartrand,https://www.google.com/maps/contrib/106744892287448719011/reviews?hl=en-CA,5 months ago,2021-06-24 16:22:37.648822,5.0,51,
10,Parc Yves-Thériault,ChdDSUhNMG9nS0VJQ0FnSURVNFl6TnFRRRAB,Luis Ramon Emes Codero,https://www.google.com/maps/contrib/107123681920011099304/reviews?hl=en-CA,a year ago,2021-06-24 16:22:37.650643,5.0,6,
11,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSURLdDdQemRREAE,Fasola-Stoltz Fiona,https://www.google.com/maps/contrib/107402672967898739816/reviews?hl=en-CA,a month ago,2021-06-24 16:22:37.652679,5.0,2,
12,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSUNLMGRLWExBEAE,Marilyn Jacques,https://www.google.com/maps/contrib/102502489886026338262/reviews?hl=en-CA,2 months ago,2021-06-24 16:22:37.655120,5.0,7,
13,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSUM4NXA2bUdBEAE,Stephane Ferrero,https://www.google.com/maps/contrib/110323804026966345868/reviews?hl=en-CA,11 months ago,2021-06-24 16:22:37.657510,4.0,56,
14,Parc Yves-Thériault,ChZDSUhNMG9nS0VJQ0FnSUNxc2RlVUVnEAE,Ed-Nick Lorquet,https://www.google.com/maps/contrib/115648204657562565509/reviews?hl=en-CA,2 weeks ago,2021-06-24 16:22:37.659769,4.0,2,
15,Parc Yves-Thériault,ChRDSUhNMG9nS0VJQ0FnSUN5MWEwcxAB,Kenny Aube,https://www.google.com/maps/contrib/115800731835958815395/reviews?hl=en-CA,4 months ago,2021-06-24 16:22:37.661803,4.0,2,
