,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURLekk3OGpnRRAB,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,a month ago,2021-06-24 02:05:09.809109,3.0,118,It is a rink in winter. Summer it is a football field. Also contains a tennis court and a playground which is adequate.
1,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNvMl9UM3dBRRAB,Michael Firsikov,https://www.google.com/maps/contrib/113522447808665934951/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.810158,5.0,16,"Great place for free skating with kids. They even turn the lights on in the evening. 2 ice rinks, connected. One suitable for hockey, one just for fun!"
2,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURjM09IRmhnRRAB,Arash Ghashghaei,https://www.google.com/maps/contrib/104357299948331994659/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.811119,5.0,159,We've been there for ice skating in winter. You will hardly find anyone there during winter. We love there...
3,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURVNk43SzBnRRAB,Faith Zine labbdine,https://www.google.com/maps/contrib/113474722490140099622/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.812059,4.0,8,It is a nice park where you can enjoy with your family your time
4,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURJLXIyR2VREAE,ludovic almanzar,https://www.google.com/maps/contrib/115784604706165023452/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.812993,5.0,50,It was lit the lights were off but didn't stop me and my friends to have the rink to ourselves
5,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURRMnFQa3J3RRAB,Sebastian Zelichowski,https://www.google.com/maps/contrib/110605405448913633738/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.813927,4.0,49,The filed Need some work  but is ok to kick some ball or train a bit.
6,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNvenNUYXZBRRAB,John lee,https://www.google.com/maps/contrib/114154966482960469576/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.815202,2.0,14,From What I see it's well cept. & Clean.
7,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURrMVllMnhBRRAB,Kyle Lunny,https://www.google.com/maps/contrib/114485620089753203607/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.816150,5.0,2,"Good parc, there was pizza"
8,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNRdnB5MnB3RRAB,Mohamed Eltoukhy,https://www.google.com/maps/contrib/107930664477863048353/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.817126,4.0,106,Cool
9,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURRNHVlb3ZBRRAB,RxycxFN,https://www.google.com/maps/contrib/107531186847347096238/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.818108,5.0,55,Funny
10,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSUNjMlpEdlBnEAE,gérald émile,https://www.google.com/maps/contrib/103679159642756551608/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.819060,5.0,294,"(Translated by Google) Nice place

(Original)
Nice place"
11,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUN3c3BueGd3RRAB,Maher NK,https://www.google.com/maps/contrib/115797064970098847377/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.820017,5.0,6,"(Translated by Google) 9679 Boul Gouin O, Pierrefonds, QC H8Y 1R5

(Original)
9679 Boul Gouin O, Pierrefonds, QC H8Y 1R5"
12,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNRNi0zcTR3RRAB,Petra Fahed,https://www.google.com/maps/contrib/110817904772121766770/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.821153,5.0,50,
13,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUN3aWNHVzRBRRAB,Rafik Benz,https://www.google.com/maps/contrib/104722714891259918939/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.822099,4.0,1,
14,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURndmJLWDBBRRAB,Alina I.,https://www.google.com/maps/contrib/108703265361672899977/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.823156,5.0,4,
15,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURBaW9HS3lnRRAB,Frank Oduro,https://www.google.com/maps/contrib/112918683506257224727/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.824122,3.0,10,
16,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSURJbHFPYXNBRRAB,Jean-Pierre Baril,https://www.google.com/maps/contrib/110129945013314499613/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.825393,3.0,2,
17,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNnaDVEc3BBRRAB,Hugo Hugo,https://www.google.com/maps/contrib/115976363075651369859/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.826816,3.0,8,
18,Parc d'À-Ma-Baie,ChdDSUhNMG9nS0VJQ0FnSUNnLU55T29RRRAB,Mourad er rajy,https://www.google.com/maps/contrib/108988092716910704729/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.827771,5.0,132,
19,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURVZ015Ulh3EAE,Muhannad Hamadah,https://www.google.com/maps/contrib/103291612029491050668/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.828704,5.0,16,
20,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURBNFpfbVhnEAE,Mzzlexxus,https://www.google.com/maps/contrib/106228722031162593398/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.829668,4.0,36,
21,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURVOGU2TFB3EAE,Cretu Andrei,https://www.google.com/maps/contrib/115080132644487436010/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.830598,5.0,8,
22,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURnNjlpX1BnEAE,Yev Sukonnik,https://www.google.com/maps/contrib/112941542965240362086/reviews?hl=en-CA,3 years ago,2021-06-24 02:05:09.831528,5.0,4,
23,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSURZaXFIbUtBEAE,Deng Deng,https://www.google.com/maps/contrib/104279583571051028560/reviews?hl=en-CA,2 years ago,2021-06-24 02:05:09.832462,1.0,1,
24,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSUN5bzZDU0lnEAE,Javier Ignacio,https://www.google.com/maps/contrib/111431776686573123290/reviews?hl=en-CA,4 months ago,2021-06-24 02:05:09.833390,4.0,21,
25,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSUNnMUxMVkVREAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-24 02:05:09.834322,5.0,140,
26,Parc d'À-Ma-Baie,ChZDSUhNMG9nS0VJQ0FnSUMweDVQaUJREAE,Andres Leonardo Rodriguez Hernandez,https://www.google.com/maps/contrib/100419570243990461769/reviews?hl=en-CA,a year ago,2021-06-24 02:05:09.835246,5.0,0,
