,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de Deauville,ChZDSUhNMG9nS0VJQ0FnSURVc0xmS0FREAE,Simon Kaloujine,https://www.google.com/maps/contrib/113545647750318666619/reviews?hl=en-CA,a year ago,2021-06-20 21:22:15.209760,5.0,41,Lots of space to play sports and run around ! Lovely
1,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSURZcmJPWWpBRRAB,Stefani Ilkic,https://www.google.com/maps/contrib/117409090896235745340/reviews?hl=en-CA,2 years ago,2021-06-20 21:22:15.218247,4.0,53,"This is one of the few, if not the only park nearby that has a fence all around it which is amazing. Otherwise, it could use an update to the play structures."
2,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSUNBbEluMHNRRRAB,Steven Anthony,https://www.google.com/maps/contrib/117302040894281703052/reviews?hl=en-CA,4 years ago,2021-06-20 21:22:15.225433,5.0,78,"Quiet park, two little soccer fields."
3,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSUNRX05xWnVRRRAB,Leonid Chukhovsky,https://www.google.com/maps/contrib/115241095032474906469/reviews?hl=en-CA,3 years ago,2021-06-20 21:22:15.227852,5.0,733,"Nice little patch of green, playground and soccer fields"
4,Parc de Deauville,ChZDSUhNMG9nS0VJQ0FnSURZdnVDLVZnEAE,Shola Wealthoney O,https://www.google.com/maps/contrib/111164447447924809863/reviews?hl=en-CA,2 years ago,2021-06-20 21:22:15.239497,5.0,38,Very neat and beautiful
5,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSURna2VlNjZRRRAB,Ingrid Sandra Wilkinson,https://www.google.com/maps/contrib/116275915103930211782/reviews?hl=en-CA,3 years ago,2021-06-20 21:22:15.243151,5.0,39,Open air concept
6,Parc de Deauville,ChZDSUhNMG9nS0VJQ0FnSURnNVBtY1ZBEAE,shaun couvrette,https://www.google.com/maps/contrib/111932896799891872926/reviews?hl=en-CA,2 years ago,2021-06-20 21:22:15.252819,5.0,33,Nice kid soccer fields
7,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSURBZ3JucXR3RRAB,Maciej Marzec,https://www.google.com/maps/contrib/102671084524597581970/reviews?hl=en-CA,3 years ago,2021-06-20 21:22:15.258051,5.0,15,Cool
8,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSUNLNlphaWlnRRAB,Khemais Guiga,https://www.google.com/maps/contrib/109493801996276228110/reviews?hl=en-CA,2 months ago,2021-06-20 21:22:15.263072,5.0,46,"(Translated by Google) Beautiful
Children love it

(Original)
Très beau
Les enfants l'adore"
9,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSUNVejRXUnlRRRAB,Famille Tankam,https://www.google.com/maps/contrib/113515211229493371787/reviews?hl=en-CA,a year ago,2021-06-20 21:22:15.273233,5.0,186,"(Translated by Google) Beautiful park with several soccer field and a varied and large game module. The toilets are clean.

(Original)
Beau parc avec plusieurs terrain de soccer  et un module de jeu varié et grand. Les toilettes sontvpar ailleurs propres."
10,Parc de Deauville,ChZDSUhNMG9nS0VJQ0FnSUNRbXBLVUN3EAE,Casusbely,https://www.google.com/maps/contrib/111306129049624663924/reviews?hl=en-CA,3 years ago,2021-06-20 21:22:15.281220,4.0,119,"(Translated by Google) Beautiful park, well maintained, room to have fun

(Original)
Très beau parc, bien entretenu, de la place pour s'amuser"
11,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSURnaE5UU3dRRRAB,Annie Lafrance,https://www.google.com/maps/contrib/105391889668496281626/reviews?hl=en-CA,4 years ago,2021-06-20 21:22:15.284207,5.0,89,"(Translated by Google) Super beautiful park. For children from 0 to 70 years old!

(Original)
Super beau parc. Pour enfants de 0 à 70 ans!"
12,Parc de Deauville,ChZDSUhNMG9nS0VJQ0FnSURBcE5HREF3EAE,Bernard Marques,https://www.google.com/maps/contrib/102071123488752920924/reviews?hl=en-CA,2 years ago,2021-06-20 21:22:15.292277,4.0,4,"(Translated by Google) Own very large park

(Original)
Propre très grand parc"
13,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSUNndXQyVnpBRRAB,Bernard marques,https://www.google.com/maps/contrib/105705631306086925642/reviews?hl=en-CA,2 years ago,2021-06-20 21:22:15.300282,4.0,107,"(Translated by Google) Large park, adequate parking public toilets

(Original)
Grand parc ,stationnement adéquat toilettes publique"
14,Parc de Deauville,ChdDSUhNMG9nS0VJQ0FnSURVeFp2cThRRRAB,subaaksaya arulanju,https://www.google.com/maps/contrib/109141317355961977153/reviews?hl=en-CA,a year ago,2021-06-20 21:22:15.304000,5.0,0,
