,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNxMWJ6OXhRRRAB,Israa Hilles,https://www.google.com/maps/contrib/106548226609957230244/reviews?hl=en-CA,a week ago,2021-06-24 02:20:35.604814,5.0,178,"Nice park can bike walk. Great to enjoy a picnic or nice time with family or friends, recommended 🔥✌️"
1,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSURLdjc2MWZREAE,Dr. Madiha Tasnim,https://www.google.com/maps/contrib/104208105854104391705/reviews?hl=en-CA,a month ago,2021-06-24 02:20:35.605815,5.0,12,It was a great experience for summer. Anyone can find pleasure here either family or couple 🥰 also a great place for having some “me” time...
2,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSUNLaWZPT09REAE,D. L. (V-man),https://www.google.com/maps/contrib/100929415157396801961/reviews?hl=en-CA,2 months ago,2021-06-24 02:20:35.606767,4.0,140,Nice park can bike walk. The parking can be full on nice days. Great to enjoy a picnic or nice time with family or friends
3,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSURLNVlPQWxBRRAB,Manu Dubey (indipride),https://www.google.com/maps/contrib/115710649022755643942/reviews?hl=en-CA,a month ago,2021-06-24 02:20:35.607710,2.0,123,"Park is in construction summer 2021.
Also lots of trash left by visitors 🤬
No place to sit or view sunset.
No parking for the summer 2021."
4,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSURLOWRUbU9BEAE,Cybele Ulloa Mc Gee,https://www.google.com/maps/contrib/118330683475280464554/reviews?hl=en-CA,a month ago,2021-06-24 02:20:35.608662,5.0,6,Amazing experience. We made barbecue. The bathroom was clean. Everyone was respectful there was a DJ with cool music. Kids had so much fun!!!
5,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNxbFlPRWdnRRAB,nikil dsouza,https://www.google.com/maps/contrib/100087940976942419807/reviews?hl=en-CA,6 days ago,2021-06-24 02:20:35.609600,4.0,9,"Good view.
Can do BBQ with family and friends
Washroom clean
Can bin the charcoal /garbage 🗑 in the park"
6,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSURDd29mS1hREAE,Rob Rish,https://www.google.com/maps/contrib/117305221683521500271/reviews?hl=en-CA,5 months ago,2021-06-24 02:20:35.611030,5.0,87,"A little, beautiful, peaceful park with a stunning view of the old port, the downtown and the Jacques Cartier bridge. A bit to hard to get to on foot, but it's a nice walk when coming from the old Montreal/Port. The area has a few dedicated spots for BBQing."
7,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNLa1ozSnBRRRAB,Abducci K,https://www.google.com/maps/contrib/117657843902714904691/reviews?hl=en-CA,2 months ago,2021-06-24 02:20:35.611977,5.0,149,"**PARKING CLOSED UNTIL DECEMBER 2021** YOU CAN STILL ACCESS THE PARK WALKING OR BIKING.... Great park about 15 minutes away from downtown Montréal offering: free parking, benches for picnic & and barbeque, public transit, public toilets. Beautiful view from the other side of old Montréal."
8,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNLbE1xdmdBRRAB,Suren Khosla,https://www.google.com/maps/contrib/116990038146638038417/reviews?hl=en-CA,2 months ago,2021-06-24 02:20:35.612910,5.0,121,Best point to have view of Montreal
9,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSUR5MTdLZmNBEAE,A berlon,https://www.google.com/maps/contrib/108249360052096507488/reviews?hl=en-CA,3 months ago,2021-06-24 02:20:35.613843,5.0,18,My favorite park with downtown view and parking is free.
10,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSURDemZxNFlnEAE,Natalie D,https://www.google.com/maps/contrib/106391438723897541707/reviews?hl=en-CA,8 months ago,2021-06-24 02:20:35.614792,5.0,95,"Located near Parc Cite du Havre near the casino off the island of montreal. It’s a great spot to see the montreal downtown skyline, catch the sunset or the fireworks. There is splenty of space for picnics, BBQ, or to just chill by the water. There is a free parking lot available but it gets full."
11,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNLbWVPZnJRRRAB,Giovanni Rosso,https://www.google.com/maps/contrib/109714234884924576150/reviews?hl=en-CA,2 months ago,2021-06-24 02:20:35.615723,5.0,39,"Very nice park, usually not very busy and good for fishing and barbecues"
12,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNLLThIRDF3RRAB,Mauricio Ramirez,https://www.google.com/maps/contrib/103672555812497547322/reviews?hl=en-CA,2 months ago,2021-06-24 02:20:35.616651,5.0,338,"Great views. Ride your bicycle, go fishing, have a picnic."
13,Parc de Dieppe,ChZDSUhNMG9nS0VJQ0FnSUNVdy15Vk1BEAE,Ivy Ivy,https://www.google.com/maps/contrib/115922404790394573748/reviews?hl=en-CA,a year ago,2021-06-24 02:20:35.617796,5.0,29,I worked nearby my patient is 94 years old and we love  to have a walk and looking for nice view
14,Parc de Dieppe,ChdDSUhNMG9nS0VJQ0FnSUNLdjhLcDl3RRAB,Yasuhiro Koide,https://www.google.com/maps/contrib/103136771679496281405/reviews?hl=en-CA,a month ago,2021-06-24 02:20:35.618726,3.0,86,"No car access due to construction work (As of April 24,2021). Will have to park on street and walk to the park (approx. 300m to the entrance)."
