,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNBMjlDWHFnRRAB,Claudiu Grozdan,https://www.google.com/maps/contrib/117930101179571873553/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.209682,5.0,39,Lot of place for kids to play. Pool and soccer field available. Perfect place for spending time with the family and friends.
1,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURBck5iX2NBEAE,Anthony Taylor,https://www.google.com/maps/contrib/108748237372441810459/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.247120,4.0,16,Great parc with a pool for kid's small poor.
2,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNnbXFTTTJ3RRAB,Ron Dagenbach,https://www.google.com/maps/contrib/114853111758005971242/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.345364,4.0,98,"Nice, quiet family orientéd park in a densely populated borough"
3,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURBXzhDd0NnEAE,Emylee SC,https://www.google.com/maps/contrib/103167923293685785742/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.357696,4.0,118,"Lots of bunch, pretty clean. Dog allowed."
4,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNRblBEbnhRRRAB,Phillip Thérien,https://www.google.com/maps/contrib/101569040656427861878/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.385996,4.0,42,Nice tables for lunchtime but a little busy
5,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURvNUl1dndRRRAB,Johnny Campini,https://www.google.com/maps/contrib/112862016996101457187/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.402933,5.0,128,A place to fall in love...
6,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUQ0LU5iVTdBRRAB,Danny,https://www.google.com/maps/contrib/107562252884073548477/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.407106,4.0,384,Correct.
7,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNnMjhlOFRBEAE,Julie B.Savard,https://www.google.com/maps/contrib/101910337594443671430/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.426546,3.0,235,Not enough squirrels for my taste
8,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURneHVpc2hBRRAB,Leonardo Calderone,https://www.google.com/maps/contrib/113550872702621180634/reviews?hl=en-CA,4 years ago,2021-06-20 22:53:21.454047,5.0,60,Lots of people from Turin hang around there
9,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURLanFERS1nRRAB,yvon Cayer,https://www.google.com/maps/contrib/103252490694600788826/reviews?hl=en-CA,a month ago,2021-06-20 22:53:21.470749,4.0,51,"(Translated by Google) Near hospital Jean talon, air of rest for some people, playfulness for others. Nice place.

(Original)
Près hôpital Jean talon air de repos pour certaine personnes, air de jeu pour d: autres. Belle place."
10,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURneDctRzdRRRAB,McArthur KOUADIO,https://www.google.com/maps/contrib/106553897783046413204/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.500225,4.0,15,"(Translated by Google) Place of entertainment for the little ones and also of rest for adults.
Because with a water jet, seats, various games for children and a soccer field for lovers of the round ball. 😀😀😀

(Original)
Lieu de divertissement pour les touts petits et aussi de repos pour les adultes.
Parce avec un jet d'eau, des places assises, de divers jeux pour les enfants et un terrain de soccer pour les amoureux du ballon rond. 😀😀😀"
11,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUM4NjU2Q3RRRRAB,Yvan Guay,https://www.google.com/maps/contrib/116738765298916446134/reviews?hl=en-CA,11 months ago,2021-06-20 22:53:21.509656,4.0,42,"(Translated by Google) Nice place to relax with a good book very clean park

(Original)
Belle endroit pour relaxer avec un bon livre parc très propre"
12,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURrODVqTGZnEAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-CA,5 months ago,2021-06-20 22:53:21.513382,4.0,3,"(Translated by Google) Besides a certain gentleman who thinks himself master of the park, this place is very pleasant. Children have a lot to do with a soccer field, play modules and a paddling pool. There is also a beautiful synergy of green spaces and shaded ones.

(Original)
Outre un certain monsieur qui se croit maître du parc, cet endroit est très plaisant. Les enfants ont beaucoup à faire avec terrain de soccer, modules de jeux et pataugeoire. Il y a également un belle synergie des espaces verts et ceux ombragés."
13,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURjbTd5NVJREAE,olivier jobin,https://www.google.com/maps/contrib/102493423239825387891/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.525052,3.0,76,"(Translated by Google) Beautiful park. Well located.

(Original)
Beau parc. Bien situé."
14,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURzcXZqZ2NnEAE,Carrié Emmanuella,https://www.google.com/maps/contrib/101712233164423786897/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.531325,5.0,107,"(Translated by Google) Walking in nature is always pleasant and invigorates us.

(Original)
Marcher dans la  nature  est toujours  agréable et nous revigore."
15,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUMwNTlxYXdBRRAB,Perig Gouanvic,https://www.google.com/maps/contrib/118275042773217699038/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.535000,4.0,17,"(Translated by Google) Here we can practice a sport that is similar to soccer, in which the terrain is divided into three parts, two grassed and a highly rugged and dusty or muddy. A few potholes have been preserved to add a touch of Montreal to the experience.

(Original)
Ici on peut pratiquer un sport qui s'apparente au soccer, dans lequel le terrain se divise en trois parties, deux gazonnées et une fortement accidentée et poussiéreuse ou boueuse. Quelques nids de poule ont été conservés pour donner une touche montréalaise à l'expérience."
16,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNpME9yQ1NBEAE,the top with zak,https://www.google.com/maps/contrib/116006893364307945965/reviews?hl=en-CA,8 months ago,2021-06-20 22:53:21.547158,5.0,190,"(Translated by Google) Super park

(Original)
Super parc"
17,Parc de Turin,ChRDSUhNMG9nS0VJQ0FnSURjcHZrNxAB,Joel Dash,https://www.google.com/maps/contrib/106311766927885158359/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.554877,4.0,23,"(Translated by Google) Green location, more suitable for children ...!

(Original)
Emplacement vert, plus propice aux enfants...!"
18,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURDeUlidm1RRRAB,Stéphane N,https://www.google.com/maps/contrib/101820004121825322841/reviews?hl=en-CA,9 months ago,2021-06-20 22:53:21.559124,5.0,26,"(Translated by Google) It's good .

(Original)
C'est bien ."
19,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUR3ak5YQXhBRRAB,Marjorie Lantin,https://www.google.com/maps/contrib/116348018433910455087/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.562396,4.0,4,"(Translated by Google) Beautiful park, well maintained, play area for young and old. Boccer and soccer area, picnic table and swimming pool for toddlers. The only negative thing is the lack of shade around the pool which is in direct sunlight.

(Original)
Beau parc, bien entretenu, espace de jeux pour petits et grands. Espace Boccer et soccer, table de pique-nique et piscine pour tout petits. La seule chose négative est le manque d'ombre autour de la piscine qui est en plein soleil."
20,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNZdWVQU2RBEAE,Bob rocheteau,https://www.google.com/maps/contrib/117732110561937837427/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.591028,5.0,35,"(Translated by Google) Nice place to rest, amusement park for children, very clean wading pool held by master hands by the city of Montreal (Villeray, small homeland), clean and well maintained.
A flat soccer field with natural grass leave almost to abundant, .dept fans of soccer continues to increase in Quebec .... a petanque pitch well maintained voluntarily by adpte the game, a meeting room for retirees the golden age (we do not meet Quebeckers among his Italian people who 'indulge in games of companies and petanque) ??? clean toilets but not always available (closed most often.)
Good place to wait or to take out an hospitalized acquaintance at Jean Talon Hospital to breathe fresh air.
In the summer, during the hot season, the park is packed, especially at noon, by the employees of the Jean-Talon Hospital, who take dinner in the middle of the countryside to escape even for a moment the hustle and bustle of the hospital.
In a word, a park where it is good to indulge in solitary reveries or in groups with the intendant Giovanni Caboto (stele) who keeps an eye of security agent the people) lollll on the theme the seizure of power of the church on the social and economic life of Quebec during the colonization of Quebec by medieval France ......

(Original)
Bel endroit pour se reposer ,parc d amusements pour enfants ,pataugeuse bien propre tenue par des mains de maître par la ville de Montréal(Villeray,petite patrie), propre et bien entretenu .
Bémol un terrain de soccer  au gazon naturel laisser  presque à l abondant ,.pourtant les adeptes de soccer ne cesse d augmenter au Québec ....un terrain de pétanque bien entretenu bénévolement par un adépte du jeu ,une salle de rencontre pour les retraités de l âge d or ( on ne rencontre pas de Québécois parmis ses gens italiens qui a s'  adonnent aux jeux de sociétés et de pétanque)??? .des toilettes bien propres mais pas toujours disponible (fermées le plus souvent .)
Bonne place pour attendre ou faire sortir une connaissance hospitalisée a l hôpital Jean talon pour réspirer   l air fraîche .
L été durant la saison chaude ,le parc est plein a craquer surtout à midi par les employés (êes) de l hôpital Jean  talon, prennent le dîner en pleine nature pour fuir ne serait ce qu'un'  instant le brouhaha de l hôpital .
En un mot un parc où il est bon à se laisser aller a ses rêveries solitaires ou en groupe avec l intendant  Giovanni Caboto  (stèle)  qui garde d un oeil d agent de sécurité les gens ) lollll sur le thème la prise du pouvoir de l église sur la vie sociale et économique  du Québec durant    la colonisation du Québec par la France moyenâgeuse......"
21,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURnaHJfNTNBRRAB,Patrick Boulerice,https://www.google.com/maps/contrib/100890242076587131954/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.596664,1.0,69,"(Translated by Google) Needs for change. But OK. Who after all takes care of the welfare of children in this province!

(Original)
Besoins de changement. Mais bon. Qui après tout s'occupe du bien être des enfants dans cette province !"
22,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURBNjRfaVhBEAE,Maria Leonor Martinez Abarca,https://www.google.com/maps/contrib/102700529865524797694/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.606633,4.0,4,"(Translated by Google) Well maintained park, with games for children and soccer field. Quiet even if on a busy street.

(Original)
Parc bien entretenue, avec jeux pour enfants et terrain de soccer. Calme même si sur une rue passante."
23,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURnc183SEt3EAE,Dali la,https://www.google.com/maps/contrib/105135936502554023082/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.609202,5.0,55,"(Translated by Google) Good paddling pool for children, a sand park next door. It's practical and clean

(Original)
Bonne pataugeoire pour les enfants, un parc à sable à côté.  C'est pratique et propre"
24,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNRMmRmaFJBEAE,Cataluna Lilith,https://www.google.com/maps/contrib/100689991876253436478/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.612585,5.0,71,"(Translated by Google) Beautiful park, with a children's playground, a children's paddling pool lasts the summer, and a large field with well-kept lawns for all kinds of ball games.

(Original)
Beau park, avec espa e de jeux pour enfant, une pataujoir pour enfant durent l'été, et un gros champ avec gazon bien entretenue pour tout sorte de jeux a ballon."
25,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNvN2J5bk13EAE,felix guinet,https://www.google.com/maps/contrib/100440839475231620443/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.629474,4.0,104,"(Translated by Google) Great park to wait when we are at Jean Talon Hospital.

(Original)
Super parc pour attendre quand on est à l'hôpital Jean Talon."
26,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNjMmNqUW5nRRAB,gérald émile,https://www.google.com/maps/contrib/103679159642756551608/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.636864,5.0,293,"(Translated by Google) Clean

(Original)
Propre"
27,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURJM0lyempnRRAB,Yann Roshdy,https://www.google.com/maps/contrib/104792249097546749010/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.641437,3.0,86,"(Translated by Google) Not very easy to access.

(Original)
Pas très facile d'accès."
28,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURBNk9fallBEAE,Guillaume J.,https://www.google.com/maps/contrib/100602811808323574500/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.647371,5.0,150,"(Translated by Google) Superb little park like only Montreal has the secret!

(Original)
Superbe petit parc comme seul Montréal en a le secret!"
29,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNBMmNXU1N3EAE,Michael Lerond,https://www.google.com/maps/contrib/112575067266647882503/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.653689,3.0,2,"(Translated by Google) Games for children, paddling pool in summer. Ground be soccer (not maintained unfortunately)

(Original)
Jeux pour enfants, pataugeoire en été. Terrain de boce être soccer (pas entretenu malheureusement)"
30,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURrMHZtek5REAE,genevieve breault,https://www.google.com/maps/contrib/116163020102063856583/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.671419,5.0,8,"(Translated by Google) Water games and two play areas with children's modules

(Original)
Jeux d'eau et deux espaces de jeux avec modules pour enfants"
31,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURRN2EycUFnEAE,Serge Ziggor,https://www.google.com/maps/contrib/101897738437988842141/reviews?hl=en-CA,4 years ago,2021-06-20 22:53:21.674099,3.0,6,"(Translated by Google) We can play to success, petanque, we can swim there and there is a playground for children.

(Original)
On peu y jouer au succer, à la pétanque, on peu s'y baigner et il y a un parc de jeu pour enfants."
32,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUN3M3RuZ2R3EAE,David Joyeux,https://www.google.com/maps/contrib/114988068616750814992/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.677291,4.0,323,"(Translated by Google) Friendly neighborhood park with free supervised paddling pool

(Original)
Parc de quartier sympathique avec pataugeoire gratuite surveillée"
33,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUN3ck1xVW13RRAB,Maeve Pine,https://www.google.com/maps/contrib/116828921521419732609/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.680260,3.0,14,"(Translated by Google) I loved the paddling pool. However Jean Talon Street is very busy.

(Original)
J ai beaucoup aimé la pataugeoire.  Toutefois la rue Jean Talon est très passante."
34,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUM0d01YZ2xBRRAB,Marc Andre chiasson,https://www.google.com/maps/contrib/109527999010530696884/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.690154,5.0,23,"(Translated by Google) Nice place to relax with family or alone

(Original)
Bel endroit pour y relaxer en famille ou seul"
35,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNBbk5yTjhBRRAB,jean sébastien Raymond,https://www.google.com/maps/contrib/109670204609860306554/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.704419,4.0,262,"(Translated by Google) Nice park for its size, sad that it is bordered by Jean-talon

(Original)
Parc sympa pour sa dimension, triste qu'il soit bordé par Jean-talon"
36,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSUNvME1iR0x3EAE,Alioune Aidara,https://www.google.com/maps/contrib/117833466954523590924/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.708562,4.0,185,"(Translated by Google) Good air

(Original)
Du bon air"
37,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUN3cTYzanN3RRAB,Valérie Poisson,https://www.google.com/maps/contrib/105786365351412218690/reviews?hl=en-CA,4 years ago,2021-06-20 22:53:21.714881,4.0,217,"(Translated by Google) Nice for a picnic

(Original)
Agréable pour un pique-nique"
38,Parc de Turin,ChZDSUhNMG9nS0VJQ0FnSURnOGFqU0dREAE,Julien Brault,https://www.google.com/maps/contrib/117609995984068645387/reviews?hl=en-CA,5 years ago,2021-06-20 22:53:21.723057,4.0,64,"(Translated by Google) Good

(Original)
Bien"
39,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURjbXNYcV9nRRAB,Ben Strauss,https://www.google.com/maps/contrib/110412209284243896824/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.729339,5.0,10,
40,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNpX04yMl9RRRAB,Crème Glacé,https://www.google.com/maps/contrib/112011852098872666184/reviews?hl=en-CA,7 months ago,2021-06-20 22:53:21.746950,3.0,18,
41,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNLeWRMbC1nRRAB,Carlos Toledo,https://www.google.com/maps/contrib/106824014068672246266/reviews?hl=en-CA,2 months ago,2021-06-20 22:53:21.756716,5.0,110,
42,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURnci1HSC1RRRAB,Pierre Tremblay,https://www.google.com/maps/contrib/112885918723137688467/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.825284,5.0,0,
43,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURnbGZiMTl3RRAB,Rodwick Raymond,https://www.google.com/maps/contrib/102503743127545495173/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.837406,4.0,1,
44,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNnNmZuajlnRRAB,Emilie JPharand,https://www.google.com/maps/contrib/115571122262856957198/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.861979,5.0,8,
45,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURDdTgzdjhnRRAB,Vincent Jacques,https://www.google.com/maps/contrib/106176545928348969478/reviews?hl=en-CA,8 months ago,2021-06-20 22:53:21.873808,4.0,169,
46,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURRbjd2Mjd3RRAB,Mandy Tellier,https://www.google.com/maps/contrib/117066868755542786491/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.896517,5.0,3,
47,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUQ0cTdIXzVnRRAB,Hassan Salamouni,https://www.google.com/maps/contrib/104622837696260746330/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:21.907201,4.0,42,
48,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNnOU5YYTRRRRAB,mia,https://www.google.com/maps/contrib/104882221160165735912/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.909541,5.0,0,
49,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNROWUyaTNBRRAB,Catherine Fournier,https://www.google.com/maps/contrib/109007637977233135836/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.912541,5.0,27,
50,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNVd043QjJRRRAB,Pamela Sue Aduen Bray,https://www.google.com/maps/contrib/105957043743009080797/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.915664,5.0,15,
51,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURrMklYQjF3RRAB,mr fares,https://www.google.com/maps/contrib/104084345452416439967/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.921358,4.0,2,
52,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUMwbFBPNXpnRRAB,Philippe Petitpas,https://www.google.com/maps/contrib/117764203952199225804/reviews?hl=en-CA,a year ago,2021-06-20 22:53:21.928678,3.0,0,
53,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURRdjk3UXpBRRAB,widdlyne Antoine,https://www.google.com/maps/contrib/100697389648547726070/reviews?hl=en-CA,4 years ago,2021-06-20 22:53:21.939492,4.0,0,
54,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURDN3Zqcnl3RRAB,angelica77054,https://www.google.com/maps/contrib/106998887575918916633/reviews?hl=en-CA,8 months ago,2021-06-20 22:53:21.946664,5.0,7,
55,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNVeC12SHlRRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-20 22:53:21.956776,5.0,140,
56,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUQ4cktfZHhnRRAB,lucile du CREST,https://www.google.com/maps/contrib/103672389584032077829/reviews?hl=en-CA,11 months ago,2021-06-20 22:53:21.969982,4.0,4,
57,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNxMmEyeXhRRRAB,Victor Javier Magana Garcia,https://www.google.com/maps/contrib/117618379977425487017/reviews?hl=en-CA,a week ago,2021-06-20 22:53:21.989689,5.0,5,
58,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNneU0yYndRRRAB,Genevieve Bleau,https://www.google.com/maps/contrib/103940300422563963136/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:21.996288,3.0,4,
59,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURrOFpYWnZ3RRAB,Winh's,https://www.google.com/maps/contrib/110715389771268289333/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.007728,5.0,49,
60,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURZMk11ZnZnRRAB,Eduardo Malpica,https://www.google.com/maps/contrib/111362969553623157285/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:22.012223,4.0,0,
61,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURVemJ2cXVnRRAB,Wafa Mim,https://www.google.com/maps/contrib/106009691867098253295/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.025525,5.0,24,
62,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNNMmR1bXVBRRAB,bigfoot,https://www.google.com/maps/contrib/100088647178284408664/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.046489,5.0,0,
63,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNpbGFEUnR3RRAB,Marie-pierre Martin,https://www.google.com/maps/contrib/114951703922543279825/reviews?hl=en-CA,7 months ago,2021-06-20 22:53:22.058315,5.0,44,
64,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUN5MWNTYnJ3RRAB,Giovanni Guzzo,https://www.google.com/maps/contrib/106418018693524499905/reviews?hl=en-CA,4 months ago,2021-06-20 22:53:22.075615,4.0,12,
65,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURnaEp2THFBRRAB,Eric Clement,https://www.google.com/maps/contrib/108506194484678577551/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:22.080769,4.0,0,
66,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURBek5IX3B3RRAB,Juan Carlos Gómez,https://www.google.com/maps/contrib/107679043998343008955/reviews?hl=en-CA,2 years ago,2021-06-20 22:53:22.100261,4.0,0,
67,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURjNnBDU3BnRRAB,Maxime Labelle,https://www.google.com/maps/contrib/116921006431356146673/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.105518,3.0,17,
68,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUNjb1pmTXBBRRAB,Benoît Viger,https://www.google.com/maps/contrib/112090001802414771217/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.110085,4.0,0,
69,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSUQwX01HM253RRAB,Ronald Evans,https://www.google.com/maps/contrib/106647120581615398564/reviews?hl=en-CA,a year ago,2021-06-20 22:53:22.122922,5.0,36,
70,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURnazhyLW5nRRAB,celine gravelle,https://www.google.com/maps/contrib/104436106435740054091/reviews?hl=en-CA,3 years ago,2021-06-20 22:53:22.128156,5.0,4,
71,Parc de Turin,ChdDSUhNMG9nS0VJQ0FnSURLaU12UG13RRAB,Liette Lalonde,https://www.google.com/maps/contrib/101672697962446321822/reviews?hl=en-CA,a month ago,2021-06-20 22:53:22.140802,3.0,8,
