,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSUNxaGFUWVp3EAE,Mauro Peña,https://www.google.com/maps/contrib/105614546613626861622/reviews?hl=en-CA,a week ago,2021-06-20 21:26:21.612640,3.0,27,"Bof, could use investment from the borough to beautify it"
1,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSURBc3FmYUhBEAE,Daniel Lagace,https://www.google.com/maps/contrib/100603620458325114055/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.615081,3.0,127,It's a very dull place could take a little life
2,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSURJMnN6ZW5nRRAB,mehbub issak,https://www.google.com/maps/contrib/102585323478829360941/reviews?hl=en-CA,2 years ago,2021-06-20 21:26:21.616877,3.0,177,Situated in the back of a public housing project to serve the excercise needs of kids around the neighborhood..
3,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSUNxOUpLTVNBEAE,Jason Bafaro,https://www.google.com/maps/contrib/101267216712749977172/reviews?hl=en-CA,3 weeks ago,2021-06-20 21:26:21.620147,5.0,69,"(Translated by Google) Relaxation air ...

(Original)
Air de détente..."
4,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSUNBM0lHMmJBEAE,Matte Dominic,https://www.google.com/maps/contrib/111098961209455274716/reviews?hl=en-CA,5 years ago,2021-06-20 21:26:21.624318,5.0,480,"(Translated by Google) Beautiful park in grifintown

(Original)
Beau parc dans grifintown"
5,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSUNBaDhDNTZRRRAB,Yohan Gauthier,https://www.google.com/maps/contrib/106259083552862223176/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.626165,4.0,15,
6,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSUM0cVkyOTRnRRAB,Vanessa Gibeau,https://www.google.com/maps/contrib/116138554882335704447/reviews?hl=en-CA,2 years ago,2021-06-20 21:26:21.628382,1.0,10,
7,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSUNRdE1xZzNnRRAB,Nick A,https://www.google.com/maps/contrib/110681643365543322133/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.630866,5.0,107,
8,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSUNBeEtXU3F3RRAB,stephane faucher,https://www.google.com/maps/contrib/110632786293017880273/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.633421,3.0,61,
9,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSUNJa29LX2lRRRAB,David Segelstein,https://www.google.com/maps/contrib/102556028616457483716/reviews?hl=en-CA,2 years ago,2021-06-20 21:26:21.635925,5.0,16,
10,Parc de l'Encan,ChdDSUhNMG9nS0VJQ0FnSURneUx2NmhBRRAB,Johanne Pavan,https://www.google.com/maps/contrib/107084582112645255233/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.637738,5.0,20,
11,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSURLLU0tQVFREAE,David Dubost,https://www.google.com/maps/contrib/107454789611642062205/reviews?hl=en-CA,a month ago,2021-06-20 21:26:21.639834,5.0,22,
12,Parc de l'Encan,ChZDSUhNMG9nS0VJQ0FnSUNRNjR2dkJ3EAE,Stephanie B,https://www.google.com/maps/contrib/113861557801390829219/reviews?hl=en-CA,3 years ago,2021-06-20 21:26:21.641716,3.0,137,
