,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de l'Honorable-George-O'Reilly,ChZDSUhNMG9nS0VJQ0FnSUNpN1lXakN3EAE,Claudia,https://www.google.com/maps/contrib/100144974139188836438/reviews?hl=en-CA,7 months ago,2021-06-20 21:33:18.804550,3.0,107,"Appreciate the green space and the added pier in front of the Navatorium.  However, I find that there are nicer spaces along the Verdun / LaSalle waterfront area.  Bonus: kids have access to a great playground."
1,Parc de l'Honorable-George-O'Reilly,ChZDSUhNMG9nS0VJQ0FnSUNDd1B2UWF3EAE,Ariana L,https://www.google.com/maps/contrib/100485494484242710666/reviews?hl=en-CA,6 days ago,2021-06-20 21:33:18.806998,4.0,54,"awsome historical site and georgeous overlook. I do wish the federal historical signs had more english, however."
2,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSURLeHEtcjJRRRAB,Minh Chau,https://www.google.com/maps/contrib/105383872998484718407/reviews?hl=en-CA,a month ago,2021-06-20 21:33:18.809154,5.0,469,"Very beautiful park. It's big and it's perfect for biking, jogging  doing picnic or BBQ"
3,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUNLOVBUVXdnRRAB,Adam Jacques,https://www.google.com/maps/contrib/116738785212660208263/reviews?hl=en-CA,2 months ago,2021-06-20 21:33:18.812288,5.0,261,Love the park no issues no trash anywhere can't complain at all. Let's thank the tax dollars.
4,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUR5dHM3SndnRRAB,Domingo Amarillo-Brillantes,https://www.google.com/maps/contrib/104604176920272933356/reviews?hl=en-CA,3 months ago,2021-06-20 21:33:18.815056,3.0,466,"Situated along the river, lovely view within the city. Popular with cyclists which is great during the summer months."
5,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUM4OF9UbDV3RRAB,George Moulinos,https://www.google.com/maps/contrib/100941389509051721377/reviews?hl=en-CA,11 months ago,2021-06-20 21:33:18.817025,5.0,9,This park was so much fun. We walked along the path until we got to the rapids. We sat and enjoyed a beautiful show by Mother Nature.
6,Parc de l'Honorable-George-O'Reilly,ChZDSUhNMG9nS0VJQ0FnSUNLcmV2cERBEAE,Aroh Wendelin,https://www.google.com/maps/contrib/105570538336922967857/reviews?hl=en-CA,2 months ago,2021-06-20 21:33:18.819536,5.0,112,Nice place to x-country ski but it looks better green
7,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUQ4M2FiOHRnRRAB,Mariana Brito,https://www.google.com/maps/contrib/113913882176863952476/reviews?hl=en-CA,10 months ago,2021-06-20 21:33:18.824429,5.0,31,"My favorite spot in Mtl! Huge park good for a walk, biking, skating, babercue, swim... Lot of parking spots (free - yey)."
8,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUNxeFpxNzBRRRAB,D. L. (V-man),https://www.google.com/maps/contrib/100929415157396801961/reviews?hl=en-CA,a week ago,2021-06-20 21:33:18.826554,4.0,137,Nice park lots of people.
9,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSURZa3B2Q2l3RRAB,Bruna Regis Razzolini,https://www.google.com/maps/contrib/105070316990796545502/reviews?hl=en-CA,2 years ago,2021-06-20 21:33:18.833996,5.0,26,"I absolutely love this park. Whether you are looking for a place to exercise, read, ride a bike, bring your children - this is the place. During the summer there are some facilities with water for the children -and adults, of course- to play. Some concerts also happen there during the warm period of the year in Montreal. Great for families and anyone who is looking for a peaceful place to enjoy the beautiful Montreal."
10,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSUNxaUl6eDhBRRAB,Wellington Leite,https://www.google.com/maps/contrib/115820781367403667117/reviews?hl=en-CA,3 weeks ago,2021-06-20 21:33:18.836543,5.0,156,Lovely place for a BBQ!
11,Parc de l'Honorable-George-O'Reilly,ChdDSUhNMG9nS0VJQ0FnSURDbTRQMmpnRRAB,Stefania M,https://www.google.com/maps/contrib/106422147593199553055/reviews?hl=en-CA,8 months ago,2021-06-20 21:33:18.838767,5.0,46,Beautiful view of the rapids. Excellent riverside trails from downtown Verdun lead to this clearing.
12,Parc de l'Honorable-George-O'Reilly,ChZDSUhNMG9nS0VJQ0FnSURDM3YyME1BEAE,maria castro,https://www.google.com/maps/contrib/105129085521239238342/reviews?hl=en-CA,8 months ago,2021-06-20 21:33:18.841106,4.0,14,Beautiful park.  Great for long walks alongside the water
