,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de l'Orée-du-Fleuve,ChZDSUhNMG9nS0VJQ0FnSUN5cnV1eWVnEAE,Phil Kielbasinski,https://www.google.com/maps/contrib/114763539633737048093/reviews?hl=en-CA,4 months ago,2021-06-20 21:37:11.441220,5.0,47,One of my daughters favorite parks
1,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSUNDNjZQaHdRRRAB,Zhao Butterfly,https://www.google.com/maps/contrib/102590297381091848965/reviews?hl=en-CA,9 months ago,2021-06-20 21:37:11.443965,5.0,24,Quiet natural and beautiful river view
2,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSUN3N1pDd3hBRRAB,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,a year ago,2021-06-20 21:37:11.445509,5.0,330,Great river view and  a wonderful place to bring the children to play.
3,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSUNvbWRQZDBRRRAB,Billy Pagones,https://www.google.com/maps/contrib/111220859342322522369/reviews?hl=en-CA,2 years ago,2021-06-20 21:37:11.446773,4.0,69,"Great playground for kids,with soft floor. Nice bike/walking path. Great view by the water"
4,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSURnMTdUbm1nRRAB,Mon Y Gote,https://www.google.com/maps/contrib/118078331759092665015/reviews?hl=en-CA,2 years ago,2021-06-20 21:37:11.447971,5.0,82,"Small, cute but beautiful view and lovely trim cut grass for your dog's and kids to play in."
5,Parc de l'Orée-du-Fleuve,ChZDSUhNMG9nS0VJQ0FnSURjOXVDS05nEAE,Henry C.,https://www.google.com/maps/contrib/104749910887058672996/reviews?hl=en-CA,a year ago,2021-06-20 21:37:11.449393,4.0,147,Nice park
6,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSURnNTU2SHp3RRAB,Ying Xin,https://www.google.com/maps/contrib/110581568434413333009/reviews?hl=en-CA,3 years ago,2021-06-20 21:37:11.450616,3.0,10,"local park , not big and no sunshine"
7,Parc de l'Orée-du-Fleuve,ChZDSUhNMG9nS0VJQ0FnSURZMzdIdGVnEAE,Luc-André Grégoire,https://www.google.com/maps/contrib/107264667194346278937/reviews?hl=en-CA,2 years ago,2021-06-20 21:37:11.451953,5.0,48,Kids loved it
8,Parc de l'Orée-du-Fleuve,ChZDSUhNMG9nS0VJQ0FnSURZNTRlemFREAE,Vlad Zakharov,https://www.google.com/maps/contrib/110800657119856654815/reviews?hl=en-CA,2 years ago,2021-06-20 21:37:11.453292,5.0,7,wonderful place
9,Parc de l'Orée-du-Fleuve,ChdDSUhNMG9nS0VJQ0FnSUNnNFpXWW5nRRAB,Michelle Daigle,https://www.google.com/maps/contrib/106789353998482175469/reviews?hl=en-CA,3 years ago,2021-06-20 21:37:11.454476,5.0,50,Beautiful and peaceful
