,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSUNpeGF6TTNnRRAB,Claudia,https://www.google.com/maps/contrib/100144974139188836438/reviews?hl=en-CA,7 months ago,2021-06-20 22:04:09.211296,4.0,107,"One of the nicest entry points to this inviting waterfront promenade along the St-Lawrence river.  Chalet also offers a public toilet during this Pandemic...much appreciated...just don't forget your mask.
Plenty of parking in the area.
A very enjoyable November day was had here today."
1,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSURDOGEyMGpnRRAB,Nate Neel,https://www.google.com/maps/contrib/112103054769969144128/reviews?hl=en-CA,8 months ago,2021-06-20 22:04:09.212245,5.0,121,"Waterfront to fish or just relax, great place to picnic, hangout and watch the sunset. Amazing place."
2,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSUM4Nk9Ya3lnRRAB,Yucel Salimoglu,https://www.google.com/maps/contrib/103418073818284611460/reviews?hl=en-CA,11 months ago,2021-06-20 22:04:09.213178,4.0,79,Everything except the parking is good here.
3,Parc de la Capture-d'Ethan-Allen,ChZDSUhNMG9nS0VJQ0FnSUNVdWNUbE9REAE,COCO BEADZ,https://www.google.com/maps/contrib/103606050459695421139/reviews?hl=en-CA,a year ago,2021-06-20 22:04:09.214115,4.0,128,"Defenely the best park in Montreal East, Tetreauville area. I love this park because it s big, plenty of space, loads of kids playgrounds, nice scenery, festivals and many other activities going on And there s a. Shuttle to go to ile de Charron...what else😂"
4,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSUMwdHJDTm1nRRAB,Anna Maria Fiore,https://www.google.com/maps/contrib/101677900911405891686/reviews?hl=en-CA,a year ago,2021-06-20 22:04:09.215069,5.0,39,It's so peaceful and happy place near the water
5,Parc de la Capture-d'Ethan-Allen,ChZDSUhNMG9nS0VJQ0FnSUNpOWJHZ0lREAE,John Ronald César,https://www.google.com/maps/contrib/105884013605650206852/reviews?hl=en-CA,7 months ago,2021-06-20 22:04:09.216203,5.0,33,🌄Nice🥰
6,Parc de la Capture-d'Ethan-Allen,ChZDSUhNMG9nS0VJQ0FnSURraTZQc1hREAE,sebastien geoffrion,https://www.google.com/maps/contrib/102895224447303638699/reviews?hl=en-CA,a year ago,2021-06-20 22:04:09.217132,4.0,24,"Great view, clean and young children friendly."
7,Parc de la Capture-d'Ethan-Allen,ChZDSUhNMG9nS0VJQ0FnSUNncE5iNER3EAE,СВАНГА Сид,https://www.google.com/maps/contrib/100995003754095831651/reviews?hl=en-CA,3 years ago,2021-06-20 22:04:09.218052,5.0,4,Super!!!
8,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSUMwc0lTUC1BRRAB,Nathalie,https://www.google.com/maps/contrib/115859859509755657476/reviews?hl=en-CA,a year ago,2021-06-20 22:04:09.218970,4.0,30,Great to relax alone or with family!
9,Parc de la Capture-d'Ethan-Allen,ChdDSUhNMG9nS0VJQ0FnSURBXzUtdXF3RRAB,Alexandre,https://www.google.com/maps/contrib/103230372093123888525/reviews?hl=en-CA,3 years ago,2021-06-20 22:04:09.220022,5.0,56,Great park. It's very quiet and peaceful.
