,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSUMwaXZmQVpREAE,Anna Dowdall,https://www.google.com/maps/contrib/109582405016280069725/reviews?hl=en-CA,a year ago,2021-06-20 22:05:16.836758,3.0,34,"The park is a pretty patch of green and be sure to walk the footpaths, but the fabled history of Cite Jardin (1941 workers' coop) is long gone.  Just another middle class preserve and the vibe is stay out if you don't live there."
1,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSURnM0ttT0xnEAE,marc tcholkayan,https://www.google.com/maps/contrib/110833484309395492274/reviews?hl=en-CA,4 years ago,2021-06-20 22:05:16.837729,4.0,8,Secluded
2,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSUNBMjUtQU53EAE,François Marquis,https://www.google.com/maps/contrib/110587202209714157561/reviews?hl=en-CA,2 years ago,2021-06-20 22:05:16.838726,4.0,483,Nice little park.
3,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSUQwM2VuREx3EAE,alexis Vilchez,https://www.google.com/maps/contrib/108364880747527370066/reviews?hl=en-CA,a year ago,2021-06-20 22:05:16.839657,4.0,8,nice place
4,Parc de la Cité-Jardin,ChdDSUhNMG9nS0VJQ0FnSUNRNC1lWnB3RRAB,M. Z,https://www.google.com/maps/contrib/102728425182772327864/reviews?hl=en-CA,2 years ago,2021-06-20 22:05:16.840572,4.0,20,Vert !!!
5,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSURnaVpfU0l3EAE,Marina Roques,https://www.google.com/maps/contrib/105924602696462917067/reviews?hl=en-CA,2 years ago,2021-06-20 22:05:16.842115,5.0,2,Beautiful
6,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSURnclBpMk5REAE,Adam Nizynski,https://www.google.com/maps/contrib/110549578816142549984/reviews?hl=en-CA,4 years ago,2021-06-20 22:05:16.844520,5.0,164,Beautiful park layout
7,Parc de la Cité-Jardin,ChdDSUhNMG9nS0VJQ0FnSUNnLUlDWnhnRRAB,Thiago Lopes,https://www.google.com/maps/contrib/111538897542749216669/reviews?hl=en-CA,4 years ago,2021-06-20 22:05:16.846441,3.0,53,Small park with playground for kids.
8,Parc de la Cité-Jardin,ChZDSUhNMG9nS0VJQ0FnSUNxc282TFd3EAE,Roxane Falcon,https://www.google.com/maps/contrib/109724995550612350517/reviews?hl=en-CA,2 weeks ago,2021-06-20 22:05:16.848201,5.0,48,"(Translated by Google) Very nice park with water games

(Original)
Très beau parc avec jeux d'eau"
9,Parc de la Cité-Jardin,ChdDSUhNMG9nS0VJQ0FnSUR5cEt1STJ3RRAB,Chalets Zone Nature,https://www.google.com/maps/contrib/109604183041490586110/reviews?hl=en-CA,3 months ago,2021-06-20 22:05:16.849630,5.0,435,"(Translated by Google) Very nice little ice rink. Ideal for beginners. 👍👍👍

(Original)
Tres belle petite patinoire. Idéal pour les débutants. 👍👍👍"
10,Parc de la Cité-Jardin,ChdDSUhNMG9nS0VJQ0FnSUNLN3NYZDJBRRAB,Chalets Zone Nature,https://www.google.com/maps/contrib/107384517158598764655/reviews?hl=en-CA,2 months ago,2021-06-20 22:05:16.850570,5.0,97,"(Translated by Google) Small, well-appointed park 👍

(Original)
Petit parc bien aménagé 👍"
