,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSURjaEpMSTh3RRAB,Harmanjeet Kaur,https://www.google.com/maps/contrib/109304889495317706904/reviews?hl=en-CA,a year ago,2021-06-24 02:38:46.079563,5.0,13,I mostly go to this park it's less crowded. Especially during  this pandemic it is.  their in  It's peaceful and nature is always. I love taking photos.
1,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSURLcDkyZUlBEAE,Ara Ollie,https://www.google.com/maps/contrib/112719076405105414978/reviews?hl=en-CA,a month ago,2021-06-24 02:38:46.080519,5.0,63,"Really nice park with water games, soccer and basketball courts"
2,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSURLckxTaUpREAE,Luc-André Grégoire,https://www.google.com/maps/contrib/107264667194346278937/reviews?hl=en-CA,a month ago,2021-06-24 02:38:46.081428,5.0,50,"Nice place, good module for kids of all ages"
3,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSUR5OWI2N1lnEAE,James Turner,https://www.google.com/maps/contrib/102383559245446186238/reviews?hl=en-CA,3 months ago,2021-06-24 02:38:46.082356,3.0,226,"Convenient sports park with playing fields ,drinks and a swimming complex."
4,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSUQ4NTkyRGdBRRAB,Alihan Dubashev,https://www.google.com/maps/contrib/102005136544593620679/reviews?hl=en-CA,10 months ago,2021-06-24 02:38:46.083289,3.0,5,"Good park, but they have to do something about the basketball court and add some facilities for teenagers. Basketball court is slippery, they don't put the lights at night while hockey players always have the court with the lights. Would have been better if there were horizontal bars for calisthenics because can't find any around NDG."
5,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSURpa1lLY0dnEAE,Rizwan Hasan,https://www.google.com/maps/contrib/114017023625585449731/reviews?hl=en-CA,6 months ago,2021-06-24 02:38:46.084142,5.0,55,Great park with lots of kids games.
6,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSURNcGJMLTFRRRAB,Remo lapenna,https://www.google.com/maps/contrib/115887820620742589868/reviews?hl=en-CA,a year ago,2021-06-24 02:38:46.085432,5.0,1,Good quality ice. It is cleaned by a Zamboni machine the same way an indoor arena is cleaned. There are no lockers  in the nearby  chalet. I wish they played some music for the skaters like they do at Beaver Lake.
7,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSUN5cWZxTzlnRRAB,Ulrike Horstmann,https://www.google.com/maps/contrib/102795941027940580078/reviews?hl=en-CA,4 months ago,2021-06-24 02:38:46.086341,4.0,31,Good playground and ice rink
8,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSUNRZ09YYnZ3RRAB,Gaby Harroch,https://www.google.com/maps/contrib/103599867176322169534/reviews?hl=en-CA,2 years ago,2021-06-24 02:38:46.087258,3.0,1,Nice place for the dog to run around.
9,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSURLajllLVNnEAE,ZiaThaZia,https://www.google.com/maps/contrib/112408490227652002437/reviews?hl=en-CA,a month ago,2021-06-24 02:38:46.088051,1.0,7,Horrible.
10,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSURJNGViTDB3RRAB,M. Sh.,https://www.google.com/maps/contrib/109338725229776205151/reviews?hl=en-CA,2 years ago,2021-06-24 02:38:46.088839,5.0,24,Great park with safer playground than most of the other parks in the area. It's still accessible during winter and the little ones' section is acceptable to kids with special needs !
11,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSUNvMEl5UDlBRRAB,Stan Carman,https://www.google.com/maps/contrib/116162493070893973211/reviews?hl=en-CA,2 years ago,2021-06-24 02:38:46.089624,4.0,68,"A wonderful park with something of interest for almost anyone. Unfortunately, the ice skating arena is closed for renovations from April 2019 to April 2020, and the hockey rink/basketball court behind seems to be blocked off too."
12,Parc de la Confédération,ChZDSUhNMG9nS0VJQ0FnSUNnbFBpYWVBEAE,John Smith,https://www.google.com/maps/contrib/110842033111855699202/reviews?hl=en-CA,2 years ago,2021-06-24 02:38:46.090410,5.0,55,Great local outdoor pool. Free to use and open all summer. Plenty of space. Clean and well maintained
13,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSUM4d2FEanVBRRAB,Floofy Jesse,https://www.google.com/maps/contrib/102675116328382911469/reviews?hl=en-CA,11 months ago,2021-06-24 02:38:46.091487,5.0,11,Lovely park with playground
14,Parc de la Confédération,ChdDSUhNMG9nS0VJQ0FnSURJMTdQWXdnRRAB,Janeta Stamova,https://www.google.com/maps/contrib/108102860769000502903/reviews?hl=en-CA,a year ago,2021-06-24 02:38:46.092624,5.0,17,Great place! Love the playground.
