,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSUNxcXFQNE9nEAE,faisal javaid,https://www.google.com/maps/contrib/101801798028993707304/reviews?hl=en-CA,2 weeks ago,2021-06-24 02:47:58.376299,5.0,34,Beautiful waterfront family park. You can play cycle chat relax. Good place to spend evening
1,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSURLM2ZyNFZBEAE,Tialout G,https://www.google.com/maps/contrib/114968199686608960342/reviews?hl=en-CA,a month ago,2021-06-24 02:47:58.377493,4.0,19,Nice view. Bike path is rather short but enjoyable. Several accesses to the river bank.
2,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSUNLa01ibUNnEAE,Ash,https://www.google.com/maps/contrib/111261487298259607301/reviews?hl=en-CA,2 months ago,2021-06-24 02:47:58.378284,5.0,7,"Love coming here! A nice place to just sit back and relax or have some fun with family or friends. There are benches, a few picnic tables, and a lot of space to just sit down with a blanket when no more tables are available."
3,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxbEt5aTlBRRAB,Mitzy Reyes,https://www.google.com/maps/contrib/115588099280517575544/reviews?hl=en-CA,3 weeks ago,2021-06-24 02:47:58.379086,5.0,111,"I love The place, we saw a kids throwing rock to the gooses and we try to stop them it should be at list signs or something for protect the wild nature because it seems some people don't know how to behaved and be respectful"
4,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUR5aXRHWTRRRRAB,Marie-Pier Giroux,https://www.google.com/maps/contrib/107364506100654274105/reviews?hl=en-CA,3 months ago,2021-06-24 02:47:58.379873,5.0,10,Beautiful parc would recommend in summer for biking  ! but very little place for a baby carrier in winter nonetheless absolutely beautiful
5,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxMWVLd29RRRAB,Dean Dyckow,https://www.google.com/maps/contrib/101786621988241958966/reviews?hl=en-CA,a week ago,2021-06-24 02:47:58.380656,5.0,154,"Close proximity to the city
Nice family type area with the beauty of water and scenic greenery"
6,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSUNxdlBiSkhREAE,Samir Beshay,https://www.google.com/maps/contrib/104050211145060209008/reviews?hl=en-CA,3 weeks ago,2021-06-24 02:47:58.381440,5.0,23,Lovely open parc for families and friends. All ages to have fun.
7,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSURLdjZLTnFRRRAB,leto B,https://www.google.com/maps/contrib/108175595505392606895/reviews?hl=en-CA,a month ago,2021-06-24 02:47:58.382756,4.0,386,"Quite park with tons of water front space.
Good family space.."
8,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxbWZQenlRRRAB,Kika P,https://www.google.com/maps/contrib/107658974126942796724/reviews?hl=en-CA,a week ago,2021-06-24 02:47:58.383546,4.0,23,Lots of birds so lots of poop but the view is nice
9,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxOEw3WHJBRRAB,jessica L,https://www.google.com/maps/contrib/103786006790131145744/reviews?hl=en-CA,4 weeks ago,2021-06-24 02:47:58.385178,5.0,21,Best place for a picnic in front of the lake
10,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxM3ZIcHV3RRAB,NIBU ISSAC,https://www.google.com/maps/contrib/117009874752173599332/reviews?hl=en-CA,2 weeks ago,2021-06-24 02:47:58.386291,5.0,3,Nice place to visit and relax.. Best to cycling
11,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNLM19fRnR3RRAB,David Mark,https://www.google.com/maps/contrib/109453917621135122906/reviews?hl=en-CA,a month ago,2021-06-24 02:47:58.387235,5.0,468,Nice place for a quick dip in the water.
12,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxeUszeTRnRRAB,Rasha Hanafy,https://www.google.com/maps/contrib/109627217132715327599/reviews?hl=en-CA,4 weeks ago,2021-06-24 02:47:58.388630,4.0,96,"Nice and calm place, your obstacle would be the parking thu!"
13,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSURjLWJiN2p3RRAB,Berto s.,https://www.google.com/maps/contrib/101400808457797115513/reviews?hl=en-CA,a year ago,2021-06-24 02:47:58.389929,4.0,145,Awesome spot in the neighborhood with lots of views of the river and plenty of green space. Nice to have such a place to go for a walk in the neighborhood. Can be tough to find parking nearby on the weekends in summer specially so if you can walk or take the bus to get to this park it would be best. Some fellow users should pay more attention to the garbage they leave in the place.
14,Parc de la Merci,ChdDSUhNMG9nS0VJQ0FnSUNxb01fTGdnRRAB,Dora C.,https://www.google.com/maps/contrib/104777252377973466670/reviews?hl=en-CA,a month ago,2021-06-24 02:47:58.391627,5.0,20,"Quiet, there's people but not extremely crowded, I love it!"
15,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSUNZNTRUT1V3EAE,Hiren Patel (Hirendex),https://www.google.com/maps/contrib/117706293960658312176/reviews?hl=en-CA,a month ago,2021-06-24 02:47:58.393303,4.0,34,"Clean park, perfect for a picnic with the family or a little walk with waterside paths."
16,Parc de la Merci,ChZDSUhNMG9nS0VJQ0FnSUNDbC1yOUNnEAE,Joan Mac Donald,https://www.google.com/maps/contrib/102616873494448299492/reviews?hl=en-CA,9 months ago,2021-06-24 02:47:58.394463,5.0,36,First time here. Lovely park. Pretty scenery. Lots of places to sit for quiet contemplation.
