,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSURLak1Xd0x3EAE,Lupa Duende,https://www.google.com/maps/contrib/114521513662502003983/reviews?hl=en-CA,a month ago,2021-06-24 20:08:12.846870,5.0,250,"A great oasis in the midst of the concrete jungle. People are friendly, covid19 responsible, and welcome visitors."
1,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSUN5emZMazRnRRAB,Michel Gilmour,https://www.google.com/maps/contrib/107221670782856913512/reviews?hl=en-CA,4 months ago,2021-06-24 20:08:12.848087,5.0,1,Best serviced oriented person I had to deal with in a long time. Extremely efficient person. Thanks again Mrs Miniaci.
2,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURRaHAzYzdBRRAB,Jason Chiasson,https://www.google.com/maps/contrib/105658883354021720742/reviews?hl=en-CA,2 years ago,2021-06-24 20:08:12.849573,5.0,48,"Love that park, I mean there is a lot of great parks in Montréal, but this one is surrounded by coffee places and its not too loud. The light is superb and you can focus on your work"
3,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSUNLdDRUYXhBRRAB,Cassandra A,https://www.google.com/maps/contrib/107904963400585294539/reviews?hl=en-CA,2 months ago,2021-06-24 20:08:12.850685,5.0,19,Very cute little park full of life
4,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURpdkpIcHhBRRAB,Mark Chevrier,https://www.google.com/maps/contrib/116796089110662854936/reviews?hl=en-CA,6 months ago,2021-06-24 20:08:12.852044,4.0,18,Had benches and some grass. Pretty good park 4/5 would sit in again.
5,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUNxMVpYbmZREAE,s Jcole,https://www.google.com/maps/contrib/107837318680975532517/reviews?hl=en-CA,a week ago,2021-06-24 20:08:12.853261,5.0,61,Niceee
6,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUNDOXR5NERBEAE,Libby Hopkinson,https://www.google.com/maps/contrib/100470392143314985559/reviews?hl=en-CA,10 months ago,2021-06-24 20:08:12.854273,5.0,2,It was lovely. I had a beer on the gazebo and ate cola gummy candy with my boyfriend. 10/10. Benches were sticky though.
7,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUNLdnR5OWRBEAE,Farshid Sadatsharifi,https://www.google.com/maps/contrib/114273762474100694076/reviews?hl=en-CA,a week ago,2021-06-24 20:08:12.855629,5.0,82,Full of good memories
8,Parc de la Petite-Italie,ChRDSUhNMG9nS0VJQ0FnSUN3cTlOORAB,Mirella,https://www.google.com/maps/contrib/109570833976332727207/reviews?hl=en-CA,3 years ago,2021-06-24 20:08:12.856673,5.0,18,"Cute park; lots of benches and picnic tables, and often has free events or entertainment in the gazebo and small skating rink in winter. Relaxed atmosphere."
9,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSURpOU9lWlJ3EAE,Tarik,https://www.google.com/maps/contrib/101160916335745447188/reviews?hl=en-CA,6 months ago,2021-06-24 20:08:12.857688,5.0,62,Awesome place to rest and play with squirrels
10,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSURjNWMzX2VnEAE,Alex D'Amico,https://www.google.com/maps/contrib/116286193735776372271/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.858730,5.0,121,Great place to meet with friends for a coffee when you need to social distance.
11,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSUNDa195LWhBRRAB,Sébastien Fullum,https://www.google.com/maps/contrib/114083931621894338732/reviews?hl=en-CA,9 months ago,2021-06-24 20:08:12.860321,4.0,131,Nice large gazebo available for shows.
12,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURNX0lpYXR3RRAB,The Heat Death Of The Universe,https://www.google.com/maps/contrib/105064780961951731594/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.862201,5.0,32,Love this park! Look around for Gary. Best heroin in town!!!🥴🤯😵 He’ll also do handies for a fiver!
13,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUNRMUtITVpnEAE,Yahya Alameddine,https://www.google.com/maps/contrib/114625375993510431309/reviews?hl=en-CA,4 years ago,2021-06-24 20:08:12.863382,3.0,282,A nice green space with some benches in the middle of the little Italy. Not too big though
14,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSUM4bXJ1U3J3RRAB,David Simon,https://www.google.com/maps/contrib/113520070941006825550/reviews?hl=en-CA,11 months ago,2021-06-24 20:08:12.864619,5.0,3,It's very accessible and perfect for picnics.
15,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSUNVd1pUMXZ3RRAB,Alanna Albert,https://www.google.com/maps/contrib/100584694090582962806/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.866009,3.0,412,Pretty. Not as clean as it could be.  Sometimes the individuals that hang around the park are hard to look at. Police or security presence is recommended.
16,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUNBNWZxbVdnEAE,Chelsea Patterson,https://www.google.com/maps/contrib/109126179657872261387/reviews?hl=en-CA,3 years ago,2021-06-24 20:08:12.869710,5.0,217,"The have this great bench we’re basically your feet are in the air. It is so relaxing to eat or take a break like that. It’s open but shaded, great for lunch time nature break or anytime nature play"
17,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUN3MGVINkN3EAE,Sam Totah (montrealsam),https://www.google.com/maps/contrib/106907973676461781259/reviews?hl=en-CA,3 years ago,2021-06-24 20:08:12.872448,4.0,361,Besides Jean talon market plenty of restaurants to discover from pizza to mama Mia and coffee houses a large expresso. All you need is time and the right companion. Italian language is not a necessity. The Italian community has added a special flair to the multicultural aspect of Quebec life. Be friendly and you will be rewarded! Enjoy your venture into this specific area called the little Italy!
18,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURJLV9MVDlBRRAB,Katarina L,https://www.google.com/maps/contrib/101937922512201546468/reviews?hl=en-CA,2 years ago,2021-06-24 20:08:12.874613,5.0,36,"So cozy and so alive! Lots of Activities, I love how they bring a trailer and create a mini skating ring every winter.Whit a changing room, bathroom and They refresh the ice on regular bases. A Great place to make a picnic or bring your take out from one of many great restaurants near by (Be awesome and bring your reusable Tupperware!!! ;D ;D) and enjoy the smell of the threes and the squirrels that are accustomed to humans beings. (PS: theres a great restaurant that even provides you a picnic basket with everything you need inside nearby to enjoy exactly this XD) Very clean the city takes good  care of their little Italy Park. Deft recommended !"
19,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURVX2NLaXl3RRAB,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.877461,4.0,680,"This smaller park is situated at the southern entrance of what is traditionally known in Montreal as Little Italy or Piccola Italia. After shopping around in the streets surrounding it, it's great to sit down under the shade of a tree. Occasionally, you still meet neighborhood dwellers who are of Italian descent, but this is becoming rarer since the younger generation has mostly moved away."
20,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSURVNG8tYkJ3EAE,Erminio Mastrofrancesco,https://www.google.com/maps/contrib/105811616958620851155/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.879391,4.0,48,The park has lots of space alot of seating available
21,Parc de la Petite-Italie,ChZDSUhNMG9nS0VJQ0FnSUMwblB5MUV3EAE,Abril Fernández,https://www.google.com/maps/contrib/108309900067118902236/reviews?hl=en-CA,a year ago,2021-06-24 20:08:12.881380,5.0,33,"Very nice park, with a pretty kiosk, comfortable sit banks, and a clean restroom."
22,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURRcF9DWi1nRRAB,Michael Di Rienzo,https://www.google.com/maps/contrib/111886869552759882502/reviews?hl=en-CA,2 years ago,2021-06-24 20:08:12.882441,5.0,60,Very cute spot across from Dante Pizzeria. A good spot to read..practise guitar..picnic..5 minutes from Jean Talon market
23,Parc de la Petite-Italie,ChdDSUhNMG9nS0VJQ0FnSURnM3NTN3BnRRAB,Georges Gignac,https://www.google.com/maps/contrib/109861348949438713299/reviews?hl=en-CA,3 years ago,2021-06-24 20:08:12.883771,5.0,73,Great park. Skating in winter and music in summer. An oasis on a hot day.
