,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSUNLdmItdlFBEAE,Don Dicker,https://www.google.com/maps/contrib/110758435396068423589/reviews?hl=en-CA,2 months ago,2021-06-20 22:39:35.825938,5.0,10,Great park that brought old memories....
1,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSURrN3ZIU1p3EAE,Marina Cebotaru,https://www.google.com/maps/contrib/111708013506201602081/reviews?hl=en-CA,a year ago,2021-06-20 22:39:35.827409,5.0,2,Nice park...
2,Parc de la Reine-Élisabeth,ChdDSUhNMG9nS0VJQ0FnSURBOUwyNDZRRRAB,Dasha Medvedeva,https://www.google.com/maps/contrib/102225173452428841538/reviews?hl=en-CA,2 years ago,2021-06-20 22:39:35.828965,5.0,65,"Great playground. Water games, swings, sand. A Perfect place for kids of any age."
3,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSURZMS0tVUN3EAE,Jillian Tatryn,https://www.google.com/maps/contrib/105565521126543733132/reviews?hl=en-CA,2 years ago,2021-06-20 22:39:35.830638,4.0,7,"Tennis courts, soccer and football fields, a playground and bathrooms. Good for the whole family"
4,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSUNneklxdkt3EAE,Robert Berube,https://www.google.com/maps/contrib/106745232859359008656/reviews?hl=en-CA,4 years ago,2021-06-20 22:39:35.835539,5.0,42,"Great park. There is a baseball diamond, soccer field, tennis courts, kids playground and small water park in the summer. In the winter they convert the baseball diamond into a hockey rink and also have a smaller donut shaped ice rink beside it. Bathrooms are present too."
5,Parc de la Reine-Élisabeth,ChdDSUhNMG9nS0VJQ0FnSURRME1YTXdRRRAB,Ken Oliver,https://www.google.com/maps/contrib/116886655854610735501/reviews?hl=en-CA,4 years ago,2021-06-20 22:39:35.837813,5.0,149,Great park for kids.  Great water games during the summer.  Always alot of fun
6,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSURBNE55SVFnEAE,Kat Maheu,https://www.google.com/maps/contrib/110483279428405971693/reviews?hl=en-CA,3 years ago,2021-06-20 22:39:35.839291,5.0,30,"Very secluded.
Very clean
Multiple water jets 4 summer"
7,Parc de la Reine-Élisabeth,ChdDSUhNMG9nS0VJQ0FnSUNvMk5iQXFBRRAB,manu bouclier,https://www.google.com/maps/contrib/108204792603304501606/reviews?hl=en-CA,2 years ago,2021-06-20 22:39:35.840967,4.0,13,Nice place with fun outdoor toys and cool ice rink
8,Parc de la Reine-Élisabeth,ChdDSUhNMG9nS0VJQ0FnSURBOEtQVm5nRRAB,Gianni Plescia,https://www.google.com/maps/contrib/112966956287327891004/reviews?hl=en-CA,3 years ago,2021-06-20 22:39:35.842469,4.0,176,Love this park. My kids love the water park
9,Parc de la Reine-Élisabeth,ChZDSUhNMG9nS0VJQ0FnSUMwdzZ2c2R3EAE,Jim Ogden,https://www.google.com/maps/contrib/100505671755564316200/reviews?hl=en-CA,a year ago,2021-06-20 22:39:35.844196,5.0,124,"The band Arcade Fire filmed their video for ""Sprawl II"" here."
