,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc de la place publique J.-Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURDNGF1NHRnRRAB,Kenneth McLaren,https://www.google.com/maps/contrib/114337669498032102299/reviews?hl=en-CA,8 months ago,2021-06-20 22:35:49.397886,5.0,30,Nice place for children to walk and see nature . Place for young to bike on trailr
1,Parc de la place publique J.-Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNJaTVMSTdnRRAB,A P,https://www.google.com/maps/contrib/104004465445714284873/reviews?hl=en-CA,2 years ago,2021-06-20 22:35:49.400599,5.0,164,"Good variety, I seldom go there.

You can find stuff that you cannot find in some other places.

Good quality stuff!

I would go there every time in the future.

You should look at what they offer and choose what is best for you!

Very nice place and I will go there again in the future, I like that is not far from where I live and it’s not very busy in the week-ends.

I’m sure you’ll find it pleasant easy accessible and comforting."
2,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSURvcE9XYldnEAE,carlos e rodriguez,https://www.google.com/maps/contrib/113801324596633722144/reviews?hl=en-CA,2 years ago,2021-06-20 22:35:49.402266,5.0,149,I like this place for walking more when it is summer
3,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUN3MVlMUU53EAE,Olivier Monfet,https://www.google.com/maps/contrib/114760276225859216951/reviews?hl=en-CA,3 years ago,2021-06-20 22:35:49.404084,1.0,2,"(Translated by Google) Nothing

(Original)
Nulle"
4,Parc de la place publique J.-Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUR5NE9fZjl3RRAB,Pavel Lisunov,https://www.google.com/maps/contrib/108636279897430356486/reviews?hl=en-CA,4 months ago,2021-06-20 22:35:49.405974,5.0,1,
5,Parc de la place publique J.-Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURnMEpuMXBBRRAB,Cosmic Turtle,https://www.google.com/maps/contrib/117394519194534083045/reviews?hl=en-CA,3 years ago,2021-06-20 22:35:49.407776,3.0,25,
6,Parc de la place publique J.-Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNpME5YRGpRRRAB,Mariana Jereghi,https://www.google.com/maps/contrib/118308677882558604644/reviews?hl=en-CA,8 months ago,2021-06-20 22:35:49.413111,5.0,7,
7,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNDNnJidWNREAE,Amel Djedid,https://www.google.com/maps/contrib/115266151875283714203/reviews?hl=en-CA,10 months ago,2021-06-20 22:35:49.415113,5.0,0,
8,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNVaEw3X1NBEAE,Jocelyn Plante,https://www.google.com/maps/contrib/109206088680270093022/reviews?hl=en-CA,a year ago,2021-06-20 22:35:49.416791,5.0,54,
9,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNLbVp2V01nEAE,Ali Sulaiman,https://www.google.com/maps/contrib/104496920706060668426/reviews?hl=en-CA,2 months ago,2021-06-20 22:35:49.419180,5.0,87,
10,Parc de la place publique J.-Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNVeDV1YUV3EAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-20 22:35:49.421739,5.0,140,
