,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Anciens-Combattants,ChRDSUhNMG9nS0VJQ0FnSURLOWRrQxAB,Alexander O'Brien,https://www.google.com/maps/contrib/109800889612143686237/reviews?hl=en-CA,a month ago,2021-06-24 08:03:04.345918,5.0,240,"Small parc on the back river believe its called in English Vétérans Parc. Not many picnic tables but some. Good view of the River and can launch a motor boat, but the gate has a lock so should get in touch if you have a boat, with the City of Pierrefonds or City of Montréal. Take from Blvd. Gouin then east on Lalande blvd to Parc."
1,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUNxa29pellREAE,Eugenia Negruta,https://www.google.com/maps/contrib/116012950416084986719/reviews?hl=en-CA,3 weeks ago,2021-06-24 08:03:04.346950,5.0,51,Nice place to spend your time in family ! It's a wild park! :)
2,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUNDMHZYWFZnEAE,Jasmin G.,https://www.google.com/maps/contrib/117366626289458110984/reviews?hl=en-CA,10 months ago,2021-06-24 08:03:04.347879,5.0,319,"The landscaping here is phenomenal. It also features excercise equipment, youth ""ninja"" playground, shuffleboard, volleyball, a floating dock and has a nearby marina boat launch.  I passed by around 8pm but I'd like to see it in the daytime, but it was well lit. The park had been closed off to public for renovations I think. Glad to see it open and being used by locals. There is also 2 parking lots."
3,Parc des Anciens-Combattants,ChdDSUhNMG9nS0VJQ0FnSURLamFlWmdnRRAB,Kehinde Mustapha,https://www.google.com/maps/contrib/116501668253857987800/reviews?hl=en-CA,a month ago,2021-06-24 08:03:04.348819,5.0,4,Nice place to hangout with family and friends Very neat and clean.
4,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSURDOUppbld3EAE,David Bourget,https://www.google.com/maps/contrib/114234713489256414652/reviews?hl=en-CA,9 months ago,2021-06-24 08:03:04.350277,5.0,36,"Very nice access to the water front. Nice volleyball court. Post Covid there should be nice indoor bathrooms. 2 playset for toddlers with wood chips (no sand, yay!)
Plenty of space"
5,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUN5eEpHdlhBEAE,Gurpreet Singh,https://www.google.com/maps/contrib/115626078978788364430/reviews?hl=en-CA,5 months ago,2021-06-24 08:03:04.351863,5.0,42,I visited when the snowy season was on its peak. The whole river was covered with ice..... Beautiful place
6,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUR5bXEzX2NnEAE,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,3 months ago,2021-06-24 08:03:04.352872,4.0,118,Good spot to enjoy sunset by a river with open view.
7,Parc des Anciens-Combattants,ChdDSUhNMG9nS0VJQ0FnSURLdGFXb2tBRRAB,Nadine Eid,https://www.google.com/maps/contrib/107072558520949255230/reviews?hl=en-CA,a month ago,2021-06-24 08:03:04.354334,5.0,29,My kids love playing there
8,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUNxNE5yblNnEAE,Majd Badaoui,https://www.google.com/maps/contrib/112365964741530857780/reviews?hl=en-CA,a month ago,2021-06-24 08:03:04.355312,5.0,32,Place to workout and go for a swim after
9,Parc des Anciens-Combattants,ChZDSUhNMG9nS0VJQ0FnSUNjcjlyRFZBEAE,Roli Amori,https://www.google.com/maps/contrib/109128094060187841810/reviews?hl=en-CA,a year ago,2021-06-24 08:03:04.356390,5.0,31,"Beautiful location, I recommend you go there during sunset 🌆"
