,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Açores,ChZDSUhNMG9nS0VJQ0FnSURLM1BtMWJBEAE,Ramin Eshraghi-Yazdi (Nur Films),https://www.google.com/maps/contrib/117745242193245334409/reviews?hl=en-CA,a month ago,2021-06-20 22:57:19.485257,4.0,158,Nice spot to grab some Portuguese chicken and have a lunch. Kids park is a little old but still fun for the young ones.
1,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURRaFpQV3JnRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-20 22:57:19.487155,4.0,755,Nice park to sit and relax.
2,Parc des Açores,ChZDSUhNMG9nS0VJQ0FnSUNVN05tdWJBEAE,Rob Green,https://www.google.com/maps/contrib/103747989011835424869/reviews?hl=en-CA,a year ago,2021-06-20 22:57:19.501964,5.0,95,We really enjoyed this park. It was right near our airbnb location and so easy to get to. It has lots of trees for shade which you don't often see in parks. The climbing structures are pretty new and the kids really enjoyed them. We had a picnic in the park (along with other people) and it was nice and cool and comfortable even though it was a hot day.
3,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUNDZ05qQ2xRRRAB,Ab M,https://www.google.com/maps/contrib/112252915871363186611/reviews?hl=en-CA,10 months ago,2021-06-20 22:57:19.503642,3.0,41,Too bad they don't allow dogs
4,Parc des Açores,ChZDSUhNMG9nS0VJQ0FnSUN3bk5fMFR3EAE,Tarek Riman,https://www.google.com/maps/contrib/106120173787459731214/reviews?hl=en-CA,4 years ago,2021-06-20 22:57:19.505281,5.0,297,Nice park :) a great spot to relax or grab some thing to eat and have it there.
5,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUR3N3VTaTZnRRAB,jeremy petrus,https://www.google.com/maps/contrib/100827602389068680856/reviews?hl=en-CA,2 years ago,2021-06-20 22:57:19.510917,3.0,83,A strange space but a classic in the neighborhood
6,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUNBMmJ6b3lRRRAB,mazen sharqawi,https://www.google.com/maps/contrib/106219230722434129684/reviews?hl=en-CA,3 years ago,2021-06-20 22:57:19.512339,5.0,156,New place it ok
7,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURTazlDcDl3RRAB,Julien Constantineau,https://www.google.com/maps/contrib/103205357947121983774/reviews?hl=en-CA,5 months ago,2021-06-20 22:57:19.514044,5.0,7,"(Translated by Google) There are whales it's too great I have never seen that !!

(Original)
Il y a des baleines c'est trop super bien j'ai jamais vu ça!!"
8,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUNpcHQ2LXZBRRAB,Raphaël Van der Heyden,https://www.google.com/maps/contrib/108993692401617620638/reviews?hl=en-CA,7 months ago,2021-06-20 22:57:19.516358,3.0,22,"(Translated by Google) Excessively dirty park. Lots of broken glass, empty bottles, rubbish ...

(Original)
Parc excessivement sale. Beaucoup de vitre cassée, bouteilles vides, détritus..."
9,Parc des Açores,ChZDSUhNMG9nS0VJQ0FnSURjMGNTR0dnEAE,Hélia Tremblay-de Mestral,https://www.google.com/maps/contrib/107868364073506712211/reviews?hl=en-CA,a year ago,2021-06-20 22:57:19.518074,4.0,5,"(Translated by Google) Pretty decorations of marine mammals.

(Original)
Jolies décorations de mammifères marins."
10,Parc des Açores,ChZDSUhNMG9nS0VJQ0FnSURvak9HYUx3EAE,Patricia Aylwin,https://www.google.com/maps/contrib/117777219748016438272/reviews?hl=en-CA,2 years ago,2021-06-20 22:57:19.519530,3.0,115,"(Translated by Google) Cute little neighborhood park.

(Original)
Mignon petit parc de quartier."
11,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUN3cy0zXzlRRRAB,Jean-Philippe Alepins,https://www.google.com/maps/contrib/100018878075941722992/reviews?hl=en-CA,3 years ago,2021-06-20 22:57:19.520920,3.0,37,"(Translated by Google) Beautiful little park with a gazebo, a haven of greenery in the city

(Original)
Beau petit parc avec un belvédère, havre de verdure en pleine ville"
12,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURvaE4zSjd3RRAB,Blanche Marcheterre,https://www.google.com/maps/contrib/102753242055849458203/reviews?hl=en-CA,2 years ago,2021-06-20 22:57:19.526934,5.0,7,
13,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUMwb3ZDNzd3RRAB,Christophe Martin,https://www.google.com/maps/contrib/105347140427713717292/reviews?hl=en-CA,a year ago,2021-06-20 22:57:19.529459,5.0,0,
14,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURDNnJETDVBRRAB,evandest1983,https://www.google.com/maps/contrib/108044759144336734563/reviews?hl=en-CA,8 months ago,2021-06-20 22:57:19.531782,4.0,2,
15,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURzMmNqVTRBRRAB,Laurent Sauvage,https://www.google.com/maps/contrib/110802955753605336768/reviews?hl=en-CA,a year ago,2021-06-20 22:57:19.533190,5.0,3,
16,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUNxdTREMDBBRRAB,Albano Coutinho,https://www.google.com/maps/contrib/113471906429229827954/reviews?hl=en-CA,19 hours ago,2021-06-20 22:57:19.534694,5.0,55,
17,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURRMC16V3hnRRAB,Nabil Bakkar,https://www.google.com/maps/contrib/108942346565840563341/reviews?hl=en-CA,3 years ago,2021-06-20 22:57:19.536951,5.0,23,
18,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUQ4dmYzS3V3RRAB,Robert Keaghan Jennings,https://www.google.com/maps/contrib/111802468886902466576/reviews?hl=en-CA,10 months ago,2021-06-20 22:57:19.544537,5.0,0,
19,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSUNVeC1mZnR3RRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-20 22:57:19.546022,5.0,140,
20,Parc des Açores,ChdDSUhNMG9nS0VJQ0FnSURBcTRuTXJnRRAB,Étienne Garant,https://www.google.com/maps/contrib/109653849842484575867/reviews?hl=en-CA,3 years ago,2021-06-20 22:57:19.548920,5.0,20,
