,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Cageux,ChZDSUhNMG9nS0VJQ0FnSUM4cXY2YUd3EAE,Carolane Trudel,https://www.google.com/maps/contrib/113848501251865937921/reviews?hl=en-CA,11 months ago,2021-06-24 08:09:13.535799,5.0,4,Nice relaxing place next to the water.
1,Parc des Cageux,ChZDSUhNMG9nS0VJQ0FnSUQwb0lhVkp3EAE,Dàwéi Hēiér,https://www.google.com/maps/contrib/112117892544472295469/reviews?hl=en-CA,a year ago,2021-06-24 08:09:13.548730,4.0,161,Parc close to my house ! It’s a great parc !  The best parc !
2,Parc des Cageux,ChdDSUhNMG9nS0VJQ0FnSUNFeEpLdzlBRRAB,Don Redmond,https://www.google.com/maps/contrib/114861642908366363035/reviews?hl=en-CA,2 years ago,2021-06-24 08:09:13.550598,5.0,131,Love this park! Great for all ages picnics BBQs fishing you name it you can do it here
3,Parc des Cageux,ChZDSUhNMG9nS0VJQ0FnSUNVc1BMaE1BEAE,emy Caz,https://www.google.com/maps/contrib/111717991612653383635/reviews?hl=en-CA,a year ago,2021-06-24 08:09:13.552577,5.0,1,Relaxing
4,Parc des Cageux,ChdDSUhNMG9nS0VJQ0FnSUNxbmRPdndBRRAB,Nanz MTL,https://www.google.com/maps/contrib/102174332787199800732/reviews?hl=en-CA,a week ago,2021-06-24 08:09:13.554541,4.0,65,"La piste cyclable a été améliorée quelque peu, c'est un gros plus, il en reste à faire mais la vue vaut le trajet!"
5,Parc des Cageux,ChZDSUhNMG9nS0VJQ0FnSUN5b0puc2JnEAE,Pascal Daoust,https://www.google.com/maps/contrib/115102341327911438253/reviews?hl=en-CA,5 months ago,2021-06-24 08:09:13.555516,4.0,16,"(Translated by Google) Beautiful green place to escape the hustle and bustle of the city despite its proximity

(Original)
Bel endroit de verdure pour échapper au tourbillon de la ville malgré sa proximité"
6,Parc des Cageux,ChdDSUhNMG9nS0VJQ0FnSUNLdzV6aGhnRRAB,Ti_ Lou__,https://www.google.com/maps/contrib/112066585799699241752/reviews?hl=en-CA,2 months ago,2021-06-24 08:09:13.557241,5.0,17,"(Translated by Google) Very nice bike ride

(Original)
Très belle ride en vélo"
7,Parc des Cageux,ChZDSUhNMG9nS0VJQ0FnSURLbHByLVRREAE,Jerry Pantal,https://www.google.com/maps/contrib/108931323251171178532/reviews?hl=en-CA,a month ago,2021-06-24 08:09:13.559167,4.0,9,"(Translated by Google) Not bad

(Original)
Pas mal"
8,Parc des Cageux,ChdDSUhNMG9nS0VJQ0FnSUM4M3A2eHdRRRAB,Salame Ali,https://www.google.com/maps/contrib/107186051222001875214/reviews?hl=en-CA,11 months ago,2021-06-24 08:09:13.560871,5.0,53,"(Translated by Google) A very beautiful park in mtl it lacks a little bench seat but very clean and very beautiful

(Original)
Un très beau parc a mtl il manque un peu de banquette mais très propre et très beau"
9,Parc des Cageux,ChdDSUhNMG9nS0VJQ0FnSUQwdzd6YjRRRRAB,Alain Charest,https://www.google.com/maps/contrib/112988559963722524267/reviews?hl=en-CA,a year ago,2021-06-24 08:09:13.562782,4.0,7,"(Translated by Google) Good service, good food, good portion

(Original)
Bon service, bonne nourriture, bonne portion"
