,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSUNxelppcHV3RRAB,Paolo Vissani,https://www.google.com/maps/contrib/114977297261863882608/reviews?hl=en-US,a week ago,2021-06-23 12:54:37.127205,5.0,8,Nice little hill overlooking a good parrt of the city.
1,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSURZOF9mMTVBRRAB,Jim Mayal,https://www.google.com/maps/contrib/107251741732876029278/reviews?hl=en-US,2 years ago,2021-06-23 12:54:37.130253,5.0,51,"Very beautiful place. During the Spring, Summer and Fall you can go there for a walk, meditate or just sit and relax; also, good place for a picnic. They have some gym equipments where you can stretch yourself. The playground for kids is a bit limited in terms of numbers of activities (I guess one slide and two sets of swing 4 and 4). During the winter, prepare your board because this park has one of the best toboggan ever, very open, high and long(you can slide for something like 50 meters) Worth visiting"
2,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSUNLLWVmMGl3RRAB,Alessandro Cianfarano,https://www.google.com/maps/contrib/101334246716022973233/reviews?hl=en-US,2 months ago,2021-06-23 12:54:37.135371,5.0,1,A beautiful Place. Lovely view from on-top of the mountain
3,Parc des Hirondelles,ChZDSUhNMG9nS0VJQ0FnSURTZ19yTmVBEAE,Brian Knoepfel,https://www.google.com/maps/contrib/108236597836709345686/reviews?hl=en-US,5 months ago,2021-06-23 12:54:37.138309,4.0,100,"It's a great him for tobogganing but it was packed with people, which is not ideal in a Covid situation, and people do not reflect any kind of safety recommendations.  People walk straight up the middle of the hill without paying attention to people coming down.  Others stand at the bottom for extended periods of time so you're always worried you're going to sleep into someone when you're coming down the hill."
4,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSUQ4bmZxSmhnRRAB,Kevin Chau,https://www.google.com/maps/contrib/115684706520678505318/reviews?hl=en-US,10 months ago,2021-06-23 12:54:37.141852,4.0,26,"There's a lot of people and always going to have people, day and night. If you plan to use the football field, I'd suggest you to come early is super late. It's a good park for a walk or a picnic. You have a nice view of Montreal downtown from the top of the hill and the people respect the environment, no trash on the ground. Good lightning if you go in the night. Overall good, just too many people during peak hours."
5,Parc des Hirondelles,ChZDSUhNMG9nS0VJQ0FnSUNxb01HaVZBEAE,BLCK BURD,https://www.google.com/maps/contrib/101203881825944657699/reviews?hl=en-US,a month ago,2021-06-23 12:54:37.145450,5.0,20,Nice place have a bathroom inside the park
6,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSURDeUtXWDNRRRAB,Marcel Guérin,https://www.google.com/maps/contrib/113629123095557971553/reviews?hl=en-US,9 months ago,2021-06-23 12:54:37.148845,5.0,58,"I have so much fun playing there as a kid, it's almost been 20 years.

So long in fact, I remember when the giant arrow had 4 segments instead of 3.

Still a great place for a nice walk."
7,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSURTdm8zVnRRRRAB,Mostafa kamel Benhaddia,https://www.google.com/maps/contrib/115679586561659120059/reviews?hl=en-US,5 months ago,2021-06-23 12:54:37.150391,4.0,139,"It's a wonderful park, fast and clean... it misses only the bathroom. 😁"
8,Parc des Hirondelles,ChZDSUhNMG9nS0VJQ0FnSUN5LTlyS0NBEAE,Laura Martinez,https://www.google.com/maps/contrib/104744689592068152736/reviews?hl=en-US,4 months ago,2021-06-23 12:54:37.152311,5.0,19,Really nice place to have fun in the snow with the family 😉
9,Parc des Hirondelles,ChdDSUhNMG9nS0VJQ0FnSURrdWMtVG1RRRAB,Boudi Boudi,https://www.google.com/maps/contrib/110879207000346400979/reviews?hl=en-US,a year ago,2021-06-23 12:54:37.154963,5.0,45,"Honestly it's a Good place, and there is a spot for the kids"
