,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUNxcE8tQzJ3RRAB,Pierre Haly vital,https://www.google.com/maps/contrib/110902100067055122556/reviews?hl=en-CA,3 weeks ago,2021-06-24 08:27:29.098844,4.0,15,Nice
1,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUNpbkktZmx3RRAB,Francois Ethier,https://www.google.com/maps/contrib/110281979496206448173/reviews?hl=en-CA,7 months ago,2021-06-24 08:27:29.100024,4.0,210,"(Translated by Google) The pine park

I have lots of memories here of when there was a baseball field and a swimming pool

Now everything has been replaced by play modules, water games and green spaces for playing and picnicking

The park is beautiful and very well located very close to the forest

The place is perfect for having a good time with family

(Original)
Le parc des pins

J'ai pleins de souvenirs ici du temps où il y avait un terrain du Baseball et une piscine

Maintenant le tout a été remplacé par des modules de jeux , des jeux d'eau et des espaces verts pour jouer et pic-niquer

Le parc est magnifique et très bien situé tout près de la forêt

L'endroit est parfait pour avoir du bon temps en famille"
2,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUNxaGZXeHlRRRAB,Nathalie Dorion,https://www.google.com/maps/contrib/115038277885691875448/reviews?hl=en-CA,a week ago,2021-06-24 08:27:29.100987,5.0,31,C'est  une belle place pour faire un pique-nique en famille
3,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUM4eHRIUnpRRRAB,Ariane Castonguay-Crevier,https://www.google.com/maps/contrib/104313766051606431827/reviews?hl=en-CA,11 months ago,2021-06-24 08:27:29.101951,4.0,21,"(Translated by Google) Big park. Water sports. Game modules. Lots of trees and tables for those who want shade.
Flat. No toilet

(Original)
Grand parc. Jeux d'eau. Modules de jeux. Beaucoup d'arbre et de table pour ceux qui désirent de l'ombre.
Bémol.  Aucune toilette"
4,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUNDdE9mWDdnRRAB,Jose,https://www.google.com/maps/contrib/117438617015024329879/reviews?hl=en-CA,10 months ago,2021-06-24 08:27:29.102887,5.0,18,"(Translated by Google) Great for children. In addition, the park has equipment for training.

(Original)
Génial pour les enfants. De plus, le parc possède de l’équipement pour s’entrainer."
5,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSUQ0alB6LW5RRRAB,Ziyout Najia,https://www.google.com/maps/contrib/112823835726623102025/reviews?hl=en-CA,2 years ago,2021-06-24 08:27:29.103826,4.0,33,"(Translated by Google) With sports modules interesting for both teenagers and adults. In addition to a large playground for children.

(Original)
Avec des modules de sport intéressant aussi bien pour les ado que pour les adultes. En plus que un grand espace de jeux pour les enfants."
6,Parc des Pins,ChZDSUhNMG9nS0VJQ0FnSUNnd00yU2FREAE,Sylvie Dusseault,https://www.google.com/maps/contrib/115409700122152969416/reviews?hl=en-CA,3 years ago,2021-06-24 08:27:29.105064,3.0,12,"(Translated by Google) Beautiful park, water games and modules for children, pleasant to walk there when dogs without a leash do not wander there. Very unpleasant especially in the company of young children to be followed by dogs who run freely.

(Original)
Beau parc, jeux d'eau et modules pour les enfants agréable s'y promener quand des chiens sans laisse ne s'y baladent pas. Très désagréables​ surtout en compagnie de jeunes enfants de se faire suivre par des chiens qui courent  en toute liberté."
7,Parc des Pins,ChZDSUhNMG9nS0VJQ0FnSUNVNXB1QllREAE,Stéphanie Bouchard,https://www.google.com/maps/contrib/114106362288143017627/reviews?hl=en-CA,a year ago,2021-06-24 08:27:29.106039,4.0,19,"(Translated by Google) Just his mark !! Wonderful place to go when it's very hot with children

(Original)
Juste sa coche!! Merveille place a aller quand il fait tres chaud avec de enfants"
8,Parc des Pins,ChdDSUhNMG9nS0VJQ0FnSURBcEw2U3FBRRAB,Henri Marquis,https://www.google.com/maps/contrib/108789448087077082413/reviews?hl=en-CA,3 years ago,2021-06-24 08:27:29.107335,5.0,150,"(Translated by Google) This park is well laid out with beautiful sliding and climbing games suitable for children from 5 to 12 years old.

(Original)
Ce parc est bien aménagé avec de très beaux jeux de glisse et d'escalade adaptés pour les enfants de 5 à 12 ans."
9,Parc des Pins,ChZDSUhNMG9nS0VJQ0FnSURremRLM0lREAE,Coumba Simal,https://www.google.com/maps/contrib/106660224903666289829/reviews?hl=en-CA,a year ago,2021-06-24 08:27:29.108351,4.0,12,"(Translated by Google) Wonderful with jets of water

(Original)
Merveilleux  avec  des jets d'eau"
