,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNxdkpfUGhBRRAB,Jessica Ren,https://www.google.com/maps/contrib/113783354074920003995/reviews?hl=en-CA,3 weeks ago,2021-06-24 08:30:16.525250,4.0,71,"Short rive shoreline to take a walk or have a rest. The river at this point is pretty narrow, and you can see the housea across the river very clearly. Water is not that clear, and since the river bank on the other side is filled with houses, there is not much nature view. It is a quiet place in a neighborhood though."
1,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNLNV82T3B3RRAB,Mitch Harroche,https://www.google.com/maps/contrib/100434903346996582009/reviews?hl=en-CA,2 months ago,2021-06-24 08:30:16.526508,4.0,16,Pleasant park. Could use some tlc though.
2,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURLal95ZFVBEAE,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,a month ago,2021-06-24 08:30:16.528268,5.0,118,"Wild woods by a river bank, under protection environmental diverse area.
It is a habitat for rabbit, squirrel, snake , duck, goose and even herons. Visitor to the area should be accompanied by adults. The place has its name because of the rapids. Depending on condition, the area could be flooded or this time I can even walk on the river bed.
Looking north is Saint Dorothee , west is Ile Bizards.
Underneath the rapid is a geographical fault line."
3,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNDcS1ETDRnRRAB,s. t.,https://www.google.com/maps/contrib/109160851240526858095/reviews?hl=en-CA,9 months ago,2021-06-24 08:30:16.529387,3.0,52,"A pleasant walk although not much to see other than the highlights of seeing attractive graffiti art under a bridge and the waterflow control dikes.
Perhaps there are other hiking routes that I have yet to discover. Great for a Sunday stroll."
4,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNDeDl5VW9RRRAB,Alexander O'Brien,https://www.google.com/maps/contrib/109800889612143686237/reviews?hl=en-CA,9 months ago,2021-06-24 08:30:16.531069,5.0,240,"Beautiful river front site to hear the rapides and enjoy the motor boats going up the designated marked water right of way up and down the back river. Have no idea where to park, but believe the only parking is on the street. Bring a lunch and drink to enjoy. Place Riviera is the development at end of chemin des sources, and down towards the water."
5,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURJX3JpQVlBEAE,Osk,https://www.google.com/maps/contrib/104731599680498418954/reviews?hl=en-CA,2 years ago,2021-06-24 08:30:16.533049,5.0,51,"Beautiful nature parc with an incredible view. It has lots of grass to play all kinds of sports like frisbee, football, soccer, volleyball. There's some trails you can enter on either side to walk through the woods. And depending on the water level, you can go right next to the water. Highly recommend to get out and explore!"
6,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSURLN2VTbjBBRRAB,Dimitri Dimitris,https://www.google.com/maps/contrib/114219081344153116191/reviews?hl=en-CA,a month ago,2021-06-24 08:30:16.535594,5.0,10,Quiet place without many people.
7,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUN5dXRQc0RnEAE,Patrick Perico,https://www.google.com/maps/contrib/104742477463635806721/reviews?hl=en-CA,4 months ago,2021-06-24 08:30:16.537730,5.0,25,Incredible little green spot that transporta you to the Bridge of Therabithia
8,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNpMmFyVVlREAE,abhishek verma,https://www.google.com/maps/contrib/115689723245484049179/reviews?hl=en-CA,7 months ago,2021-06-24 08:30:16.545690,5.0,46,Very open and near to river .. good to enjoy natural beauty
9,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUQwaGVfVTNBRRAB,Alexandra Osei Mills,https://www.google.com/maps/contrib/111779911611820559531/reviews?hl=en-CA,a year ago,2021-06-24 08:30:16.547912,5.0,42,"I love the environment, the place was very clean things inside was orderly placed teachers there were very friendly and respectful. Kids there were in good moods, some of the kids were sleeping others were having lunch and the bigger once were doing activities. My tour at Mulan was a pleasant one i give them 5 stars due to their well arranged and disciplined place.👍👌🏿👏🏿"
10,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNxeGJXODlBRRAB,morteza salaripor,https://www.google.com/maps/contrib/105076428417560757535/reviews?hl=en-CA,a week ago,2021-06-24 08:30:16.550694,5.0,1,good
11,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNDdU03SVl3EAE,Aso Eng,https://www.google.com/maps/contrib/108081218341448071035/reviews?hl=en-CA,10 months ago,2021-06-24 08:30:16.552411,4.0,232,nice place.
12,Parc des Rapides-du-Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNRaWVtRXN3RRAB,Dan Alexandru,https://www.google.com/maps/contrib/108390673787837386099/reviews?hl=en-CA,3 years ago,2021-06-24 08:30:16.553642,4.0,139,"Serene location with beautiful views of the saint-laurent. It's not super developped, but that's probably a good thing. It's usually quite clean and there's a small forest to explore."
13,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURVazVDTll3EAE,daniel zhang,https://www.google.com/maps/contrib/104360533856809830257/reviews?hl=en-CA,a year ago,2021-06-24 08:30:16.555079,4.0,483,"Quiet park, don't near the water"
14,Parc des Rapides-du-Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURraDZIQ0R3EAE,Erica L,https://www.google.com/maps/contrib/117114308931951972858/reviews?hl=en-CA,a year ago,2021-06-24 08:30:16.557606,5.0,13,Great place to relax with family and friends
