,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNvODZTSkJnEAE,Benoit Gagnon-Hart,https://www.google.com/maps/contrib/102352775400555287549/reviews?hl=en-CA,2 years ago,2021-06-24 08:37:42.548846,5.0,18,Nice park
1,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNpMnRHZlRREAE,Fauzia Gandhi,https://www.google.com/maps/contrib/100795817851168614433/reviews?hl=en-CA,7 months ago,2021-06-24 08:37:42.551321,5.0,14,Beautiful sunset and peaceful place to be of your own and feel the light waves.
2,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUNpM0tIU3lnRRAB,Kevin Patterson,https://www.google.com/maps/contrib/105815890704758302223/reviews?hl=en-CA,7 months ago,2021-06-24 08:37:42.554918,3.0,56,Some interesting views.
3,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNpbFpDOUlBEAE,Dean Leonard,https://www.google.com/maps/contrib/107548249065671355405/reviews?hl=en-CA,7 months ago,2021-06-24 08:37:42.557257,5.0,73,"Great walking, great view"
4,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUNVMFlHTHp3RRAB,RobertTS,https://www.google.com/maps/contrib/100013467752040980738/reviews?hl=en-CA,a year ago,2021-06-24 08:37:42.561479,3.0,198,"A small green public oasis, nice for children"
5,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSURBN2VIbnVRRRAB,Stephen Toy,https://www.google.com/maps/contrib/115261804452260468840/reviews?hl=en-CA,3 years ago,2021-06-24 08:37:42.564623,4.0,37,"Small-ish and quiet, good place to take a break along the bike path"
6,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSURJekkyUW9RRRAB,Nessa,https://www.google.com/maps/contrib/101818043464635053303/reviews?hl=en-CA,2 years ago,2021-06-24 08:37:42.566407,5.0,416,Love the scenery
7,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNRMnJ2cWN3EAE,Paul Van Buren,https://www.google.com/maps/contrib/107447753863572124074/reviews?hl=en-CA,4 years ago,2021-06-24 08:37:42.595623,5.0,140,Fascinating place to take a tour.
8,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSURBc2RyTFJREAE,Manu,https://www.google.com/maps/contrib/102164188603022802777/reviews?hl=en-CA,2 years ago,2021-06-24 08:37:42.601693,5.0,3,a break while biking
9,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSURnZ28tSlZREAE,Navin Jawanda,https://www.google.com/maps/contrib/116557278747868980139/reviews?hl=en-CA,4 years ago,2021-06-24 08:37:42.607410,5.0,222,"Nice, scenic area to relax and enjoy the view"
10,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUN3cF9lRmt3RRAB,Seren Dagdeviren,https://www.google.com/maps/contrib/117110068101629087412/reviews?hl=en-CA,3 years ago,2021-06-24 08:37:42.610010,5.0,336,Nice bike path.
11,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUNLdi1pdjNRRRAB,Kamaelle McKay,https://www.google.com/maps/contrib/110551447286259878602/reviews?hl=en-CA,a month ago,2021-06-24 08:37:42.611980,4.0,33,"(Translated by Google) Park of great beauty. Small flat a slight lack of maintenance undoubtedly due to the lack of personnel versus the number of hippies who come to make fires there without collecting their waste

(Original)
Parc d'une grande beauté. Petit bémol un léger manque d'entretien due sans doute au manque de personnel versus le nombre de hippies qui viennent y faire des feux sans ramasser leurs déchets"
12,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSURjMExTMnRBRRAB,peter b.,https://www.google.com/maps/contrib/115061291463346644729/reviews?hl=en-CA,a year ago,2021-06-24 08:37:42.613570,5.0,33,"(Translated by Google) A descent to the river and a peaceful place

(Original)
Une descente vers le fleuve et un endroit paisible"
13,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUNxaVB5WXlBRRAB,Gerald Chartre,https://www.google.com/maps/contrib/103504362973697433694/reviews?hl=en-CA,4 weeks ago,2021-06-24 08:37:42.615469,2.0,147,"(Translated by Google) Small Park. Beautiful view of the river.
No accommodations.

(Original)
Petit Parc .Belle vue sur le fleuve .
Aucune accommodations."
14,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNLLWRfTFpBEAE,Gerald Chartre,https://www.google.com/maps/contrib/100827137481480453826/reviews?hl=en-CA,2 months ago,2021-06-24 08:37:42.617952,1.0,149,"(Translated by Google) Quiet place with a view of the river.
No lighting
No security

(Original)
Endroit tranquille avec vue sur le fleuve .
Aucun éclairage
Aucune securite"
15,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSURLamRUdGF3EAE,Vicente Gutiérrez,https://www.google.com/maps/contrib/103804110507113008702/reviews?hl=en-CA,a month ago,2021-06-24 08:37:42.621810,5.0,69,"(Translated by Google) Very pretty park. 🌸🌸

(Original)
Très jolie parc. 🌸🌸"
16,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUNpaGEyb0JnEAE,Marwan Tomeh,https://www.google.com/maps/contrib/112235484450845618934/reviews?hl=en-CA,7 months ago,2021-06-24 08:37:42.624719,5.0,28,"(Translated by Google) Nice place to meditate alone in front of the river and be quiet in your corner.

(Original)
Bel endroit pour méditer seul devant le fleuve et être tranquille dans son coin."
17,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSURDanNHLWVBEAE,Rebecca Leveille,https://www.google.com/maps/contrib/105088033621243647451/reviews?hl=en-CA,8 months ago,2021-06-24 08:37:42.626776,5.0,20,"(Translated by Google) Beautiful place

(Original)
Belle endroit"
18,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSUNNbmE3bDFRRRAB,Khady DIOP,https://www.google.com/maps/contrib/116842031246880496003/reviews?hl=en-CA,a year ago,2021-06-24 08:37:42.627772,3.0,35,"(Translated by Google) Good view of the Saint Lawrence River

(Original)
Bonne vue sur le fleuve Saint Laurent"
19,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUN3LWNXR2V3EAE,Jéremy Bolduc,https://www.google.com/maps/contrib/108003027668822571461/reviews?hl=en-CA,3 years ago,2021-06-24 08:37:42.628845,3.0,16,"(Translated by Google) It is a very calm park ...

However, it's at the water's edge and there are a lot of little flies ...

(Original)
C'est un parc très calme...

Cependant, c'est au bord de l'eau et il y a beaucoup de petites mouches..."
20,Parc des Saints-Anges,ChdDSUhNMG9nS0VJQ0FnSURRaUxIcS1nRRAB,taoufik bousselham,https://www.google.com/maps/contrib/114137884248582999311/reviews?hl=en-CA,3 years ago,2021-06-24 08:37:42.629913,5.0,209,"(Translated by Google) Small park ... very quiet ... well maintained

(Original)
Petit parc ...très calme ...bien entretenu"
21,Parc des Saints-Anges,ChZDSUhNMG9nS0VJQ0FnSUMwNjdMbUlREAE,Alexandre Rainville,https://www.google.com/maps/contrib/114512141354266306603/reviews?hl=en-CA,a year ago,2021-06-24 08:37:42.630875,4.0,131,"(Translated by Google) Soothing!

(Original)
Apaisant!"
