,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSURDOXREZ1RnEAE,Ricardo Ruffino,https://www.google.com/maps/contrib/107102328522202799427/reviews?hl=en-CA,8 months ago,2021-06-24 08:39:41.456956,1.0,27,"Its a shame how the city is managing this park. Zero maintenance , mud and unleveled ground are a hazard for the kids."
1,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSUM4aWNYWjZ3RRAB,PabloFas,https://www.google.com/maps/contrib/104890966899128280134/reviews?hl=en-CA,11 months ago,2021-06-24 08:39:41.459072,3.0,55,"(Translated by Google) Small but cool for this hot day

(Original)
Pequeño pero fresco para este dia caluroso"
2,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSURVcmZiSUtnEAE,Atik Blues,https://www.google.com/maps/contrib/109102194507708733625/reviews?hl=en-CA,a year ago,2021-06-24 08:39:41.460777,5.0,92,"(Translated by Google) Quiet park in the shade of trees.

(Original)
Parc tranquille à l'ombre des arbres."
3,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSURJOTdfdV9BRRAB,Alexis Davidson,https://www.google.com/maps/contrib/103258840916213130650/reviews?hl=en-CA,2 years ago,2021-06-24 08:39:41.464748,5.0,46,"(Translated by Google) I do not remember being the 🤔🤔

(Original)
Jme rapelle.pas avoir été la 🤔🤔"
4,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSUN3aDhEZ2h3RRAB,Nicolas Dufresne,https://www.google.com/maps/contrib/113555318155015745033/reviews?hl=en-CA,4 years ago,2021-06-24 08:39:41.466786,3.0,9,"(Translated by Google) Very good, for the little ones.

(Original)
Très bien, pour les tous petits."
5,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSUNNOGMtcFBnEAE,Chloe Huang,https://www.google.com/maps/contrib/101578918885406866845/reviews?hl=en-CA,a year ago,2021-06-24 08:39:41.469023,1.0,20,"(Translated by Google) LAMEEEER

(Original)
LAMEEEER"
6,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSURBcTVLY1R3EAE,Jacques Pilotte,https://www.google.com/maps/contrib/118103796477781564711/reviews?hl=en-CA,4 years ago,2021-06-24 08:39:41.470875,3.0,73,"(Translated by Google) Very breau

(Original)
Des très breau"
7,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSURnd3MzQXVRRRAB,Igor S.,https://www.google.com/maps/contrib/116110142397820124361/reviews?hl=en-CA,2 years ago,2021-06-24 08:39:41.472665,5.0,4,"(Translated by Google) Cozy, shady, quiet place.

(Original)
Уютное, тенистое тихое место."
8,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSUR3dHZlUjJRRRAB,Luc-André Grégoire,https://www.google.com/maps/contrib/107264667194346278937/reviews?hl=en-CA,2 years ago,2021-06-24 08:39:41.476157,3.0,50,
9,Parc des Sittelles,ChdDSUhNMG9nS0VJQ0FnSUM4eG9lSnpnRRAB,mina babahaji,https://www.google.com/maps/contrib/105817826747268793787/reviews?hl=en-CA,11 months ago,2021-06-24 08:39:41.477831,5.0,58,
10,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSURZXzlEMk1BEAE,Sylvain Bédard,https://www.google.com/maps/contrib/100259831637882757176/reviews?hl=en-CA,2 years ago,2021-06-24 08:39:41.478865,5.0,379,
11,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSUM0d09LTURBEAE,Kirill A.,https://www.google.com/maps/contrib/109553085909048586425/reviews?hl=en-CA,2 years ago,2021-06-24 08:39:41.479815,5.0,75,
12,Parc des Sittelles,ChZDSUhNMG9nS0VJQ0FnSURRMXI2S0J3EAE,MisterPat 11,https://www.google.com/maps/contrib/110267237760232766280/reviews?hl=en-CA,3 years ago,2021-06-24 08:39:41.480756,4.0,1,
