,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc des Écluses,ChdDSUhNMG9nS0VJQ0FnSUNxaU5xLTlBRRAB,Jake Green,https://www.google.com/maps/contrib/103467471832729820311/reviews?hl=en-CA,4 weeks ago,2021-06-23 10:41:58.854901,1.0,22,Not a park... unless 3 trees and a patch of dead grass is a park...
1,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSUNLa19PSldREAE,Consitia Wisdom,https://www.google.com/maps/contrib/113430407455954234330/reviews?hl=en-CA,2 months ago,2021-06-23 10:41:58.856392,5.0,3,It was  beautiful and relaxing
2,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSUR5Nk9fWUZnEAE,Eric Keable,https://www.google.com/maps/contrib/100250702464163095882/reviews?hl=en-CA,4 months ago,2021-06-23 10:41:58.858497,4.0,65,"(Translated by Google) Nice places for a Picnic

(Original)
Belle endroits pour un Picnic"
3,Parc des Écluses,ChdDSUhNMG9nS0VJQ0FnSUNDOHQyOWd3RRAB,Colette Martel,https://www.google.com/maps/contrib/116729042521505404422/reviews?hl=en-CA,10 months ago,2021-06-23 10:41:58.859849,5.0,14,"(Translated by Google) Very nice place to take romantic walks.

(Original)
Très belle place pour prendre des marches en amoureux."
4,Parc des Écluses,ChdDSUhNMG9nS0VJQ0FnSUNLbVpYejdBRRAB,Annie Joubert,https://www.google.com/maps/contrib/100930491131631120146/reviews?hl=en-CA,2 months ago,2021-06-23 10:41:58.861007,4.0,10,
5,Parc des Écluses,ChdDSUhNMG9nS0VJQ0FnSUNDbDdfeG9nRRAB,Gabrielle Grenier,https://www.google.com/maps/contrib/109311473704439685676/reviews?hl=en-CA,9 months ago,2021-06-23 10:41:58.863244,5.0,51,
6,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSUNxMF92eGNnEAE,Billy “BC2021” Courty,https://www.google.com/maps/contrib/101819045050305814682/reviews?hl=en-CA,5 days ago,2021-06-23 10:41:58.864989,5.0,7,
7,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSURDc0xUVVpBEAE,Martin Juneau,https://www.google.com/maps/contrib/116960218919003834436/reviews?hl=en-CA,9 months ago,2021-06-23 10:41:58.866243,5.0,89,
8,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSUNpeGVUbU9BEAE,F. Ras,https://www.google.com/maps/contrib/106596606188373851389/reviews?hl=en-CA,7 months ago,2021-06-23 10:41:58.867257,3.0,16,
9,Parc des Écluses,ChZDSUhNMG9nS0VJQ0FnSUNDcDV6SkVREAE,Diaa Mostafa,https://www.google.com/maps/contrib/114351193274233649476/reviews?hl=en-CA,9 months ago,2021-06-23 10:41:58.868545,4.0,9,
