,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNpd0lQMTVBRRAB,Luk Célestes,https://www.google.com/maps/contrib/104999003703387316050/reviews?hl=en-CA,8 months ago,2021-06-20 23:44:07.979992,5.0,44,Ok
1,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNZb19qMXFnRRAB,Giuliano De Michele,https://www.google.com/maps/contrib/102080500639253114327/reviews?hl=en-CA,2 years ago,2021-06-20 23:44:07.980928,5.0,31,Pretty SlICC.
2,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNpaTZiRmRBEAE,RaRa T,https://www.google.com/maps/contrib/109336874707017608143/reviews?hl=en-CA,7 months ago,2021-06-20 23:44:07.981849,4.0,53,"(Translated by Google) Nice little space to rest on the edge of the river to watch the time go by. It's perfect for a short stop while riding on the magnificent Gouin cycle path. There are 'double swings' and benches which are generally available.

(Original)
Beau petit espace pour se reposer sur le bord de la rivière à observer le temps passer. C'est parfait pour un petit arrêt lorsqu'on roule sur la magnifique piste cyclable de Gouin. Il y a des 'balançoires doubles' et des bancs qui sont généralement disponibles."
3,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNDbnRuLXVBRRAB,Pingouins Dansant,https://www.google.com/maps/contrib/106061708698754129741/reviews?hl=en-CA,9 months ago,2021-06-20 23:44:07.982779,4.0,17,"(Translated by Google) Beautiful riverside park, beautiful cycle path nearby. Limited river view. Peaceful area.

(Original)
Beau parc riverain, belle piste cyclable à proximité. Vue sur la rivière limitée. Secteur paisible."
4,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSUNjMllpYTF3RRAB,Monique Cayer,https://www.google.com/maps/contrib/107655027735284204522/reviews?hl=en-CA,a year ago,2021-06-20 23:44:07.983703,3.0,50,"(Translated by Google) Place to see sunset pretty good summer but small park

(Original)
Endroit pour voir coucher soleil assez bien été mais petit parc"
5,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSURZcC1lbTFnRRAB,Simon Letourneau,https://www.google.com/maps/contrib/112081893369568557492/reviews?hl=en-CA,2 years ago,2021-06-20 23:44:07.984766,5.0,42,
6,Parc du Cheval-Blanc,ChdDSUhNMG9nS0VJQ0FnSURDMHE2UmxBRRAB,khaldoun boutraba,https://www.google.com/maps/contrib/113595162068325700254/reviews?hl=en-CA,9 months ago,2021-06-20 23:44:07.985701,5.0,1,
7,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNnNnU3aGZ3EAE,Rosemary Peragine,https://www.google.com/maps/contrib/102733389111180482141/reviews?hl=en-CA,2 years ago,2021-06-20 23:44:07.986651,5.0,3,
8,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURVOE5ubGNREAE,Medgina Molin,https://www.google.com/maps/contrib/118117626252075908761/reviews?hl=en-CA,a year ago,2021-06-20 23:44:07.987570,4.0,3,
9,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNVcFpEY1F3EAE,mike macneil555668978,https://www.google.com/maps/contrib/113977628922925731468/reviews?hl=en-CA,a year ago,2021-06-20 23:44:07.988539,4.0,26,
10,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNxN09DOUlnEAE,Charlyne Lefebvre,https://www.google.com/maps/contrib/102480465738315188705/reviews?hl=en-CA,3 weeks ago,2021-06-20 23:44:07.990390,5.0,0,
11,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSURJbU9lUkNnEAE,André Dody,https://www.google.com/maps/contrib/104225605011044744506/reviews?hl=en-CA,2 years ago,2021-06-20 23:44:07.992395,5.0,18,
12,Parc du Cheval-Blanc,ChZDSUhNMG9nS0VJQ0FnSUNLLWF2c0F3EAE,Jacques,https://www.google.com/maps/contrib/117575024768919323781/reviews?hl=en-CA,2 months ago,2021-06-20 23:44:07.993481,4.0,67,
