,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUNLeTlHa21BRRAB,Angus Martelli,https://www.google.com/maps/contrib/113309288530947488001/reviews?hl=en-US,2 months ago,2021-06-24 09:38:17.437976,2.0,23,"Not a big park, few chairs to sit down, people walk there dogs there, seems to be used for young kids who play soccer there, sometimes they have a fruit market set up in the parking lot, that's pretty cool.."
1,Parc du Château-Pierrefonds,ChZDSUhNMG9nS0VJQ0FnSURLeDVLUmZnEAE,Malak Mamdouh,https://www.google.com/maps/contrib/112084284611938607200/reviews?hl=en-US,a month ago,2021-06-24 09:38:17.439892,5.0,54,Very nice for kids. Parking as well
2,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUNxMlp2VHVRRRAB,Kassandra Loiseau Dieumercy,https://www.google.com/maps/contrib/118053266455672343561/reviews?hl=en-US,a week ago,2021-06-24 09:38:17.443482,5.0,67,Nice and big park.
3,Parc du Château-Pierrefonds,ChZDSUhNMG9nS0VJQ0FnSURDNnNYVk1REAE,Adam Grechan,https://www.google.com/maps/contrib/104846628509841263838/reviews?hl=en-US,9 months ago,2021-06-24 09:38:17.445478,5.0,81,Small park for kids with soccer fields and jungle gym.
4,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSURNNC1ldjNRRRAB,will savoie,https://www.google.com/maps/contrib/106942359933127160578/reviews?hl=en-US,a year ago,2021-06-24 09:38:17.447763,5.0,442,"(Translated by Google) Quiet

(Original)
Tranquille"
5,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUNpM3ZpSDRRRRAB,Jean-Paul Boucher,https://www.google.com/maps/contrib/115403016223517621122/reviews?hl=en-US,7 months ago,2021-06-24 09:38:17.450710,5.0,2,
6,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUNDbDVtRzFBRRAB,Arie Reiser,https://www.google.com/maps/contrib/112277150211350926038/reviews?hl=en-US,9 months ago,2021-06-24 09:38:17.452444,5.0,114,
7,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUNpM1BxbG1BRRAB,S. P. POV,https://www.google.com/maps/contrib/114364865007983086793/reviews?hl=en-US,7 months ago,2021-06-24 09:38:17.453520,5.0,11,
8,Parc du Château-Pierrefonds,ChdDSUhNMG9nS0VJQ0FnSUMwel95eWlnRRAB,Alvic Parise,https://www.google.com/maps/contrib/115095931680936869606/reviews?hl=en-US,a year ago,2021-06-24 09:38:17.456349,4.0,141,
9,Parc du Château-Pierrefonds,ChZDSUhNMG9nS0VJQ0FnSUNpMlpUdVh3EAE,Edward Henderson,https://www.google.com/maps/contrib/117566394338356279268/reviews?hl=en-US,7 months ago,2021-06-24 09:38:17.458806,5.0,8,
