,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Mail,ChdDSUhNMG9nS0VJQ0FnSURRMHE2aTJRRRAB,Alexandre “꧁丂†R҉卂†乇G̴ɨҜ꧂” Bernier,https://www.google.com/maps/contrib/109140484191098008487/reviews?hl=en-US,4 years ago,2021-06-23 12:31:41.814424,5.0,10,BEST geamn
1,Parc du Mail,ChdDSUhNMG9nS0VJQ0FnSURRMS1UcGlnRRAB,Ivan Morrison (ivanmor),https://www.google.com/maps/contrib/106800646967135105683/reviews?hl=en-US,4 years ago,2021-06-23 12:31:41.815570,5.0,143,Great park - and a little little wooded area to bring the kids to explore nature!
2,Parc du Mail,ChZDSUhNMG9nS0VJQ0FnSUMwekpERkh3EAE,Mary-Lynds Syllion,https://www.google.com/maps/contrib/117954813998955896963/reviews?hl=en-US,a year ago,2021-06-23 12:31:41.816589,5.0,83,Very clean
3,Parc du Mail,ChZDSUhNMG9nS0VJQ0FnSURBM3ZYZFp3EAE,maurd,https://www.google.com/maps/contrib/100846496232029035911/reviews?hl=en-US,4 years ago,2021-06-23 12:31:41.817821,2.0,61,tiny green space
4,Parc du Mail,ChdDSUhNMG9nS0VJQ0FnSUNxNk0yRWtnRRAB,julio montano,https://www.google.com/maps/contrib/116482368816167500448/reviews?hl=en-US,4 weeks ago,2021-06-23 12:31:41.818992,2.0,537,"(Translated by Google) He is handsome

(Original)
Il est beau"
5,Parc du Mail,ChZDSUhNMG9nS0VJQ0FnSURTcWJ5NU93EAE,Hala Madrid,https://www.google.com/maps/contrib/101339314762721484679/reviews?hl=en-US,5 months ago,2021-06-23 12:31:41.820184,5.0,139,"(Translated by Google) Snow

(Original)
Neige"
6,Parc du Mail,ChZDSUhNMG9nS0VJQ0FnSURZdXBIaUFnEAE,Mical Keza,https://www.google.com/maps/contrib/103979807935647890354/reviews?hl=en-US,2 years ago,2021-06-23 12:31:41.821129,3.0,3,"(Translated by Google) It's a small green space

(Original)
C'est un petit espace vert"
7,Parc du Mail,ChZDSUhNMG9nS0VJQ0FnSURVNjRIR1BnEAE,Bryan Castillo,https://www.google.com/maps/contrib/104796614490193794403/reviews?hl=en-US,a year ago,2021-06-23 12:31:41.822071,5.0,33,"(Translated by Google) Nice ah

(Original)
Ah agradable"
8,Parc du Mail,ChdDSUhNMG9nS0VJQ0FnSUNZbV9fRjd3RRAB,Sid Toews,https://www.google.com/maps/contrib/113446303429265087724/reviews?hl=en-US,2 years ago,2021-06-23 12:31:41.823005,5.0,129,"(Translated by Google) Beautiful park

(Original)
Beau parc"
9,Parc du Mail,ChdDSUhNMG9nS0VJQ0FnSUN3OWVqTXdnRRAB,Karim Bichri,https://www.google.com/maps/contrib/113764281217064938082/reviews?hl=en-US,3 years ago,2021-06-23 12:31:41.823943,5.0,322,"(Translated by Google) Anjou, a good family district!

(Original)
Anjou, un bon arrondissement familial !"
