,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSURLMWEzdlB3EAE,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-US,a month ago,2021-06-23 12:13:49.304843,3.0,680,"There's probably little reason for most Montrealers or visitors to come to this park, unless they happen to be in the neighborhood. Its views could potentially be good, but are very often blocked by metal containers and freight trains that …"
1,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUNDcm9hT0h3EAE,Gobind Singh,https://www.google.com/maps/contrib/111600531424080160154/reviews?hl=en-US,10 months ago,2021-06-23 12:13:49.306078,5.0,453,"Amazing place to hangout out of Riverside Ships train tracks awesome vibes small small eating spots, people's taking precautions to covid, loved the place I recommend you to visit it's the best place to visit in evening with your friends.  Beautiful view of Jacques Cartier Bridge Saint Laurent River"
2,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUM0ek1fSUxnEAE,Jung Eun Jennifer Lee,https://www.google.com/maps/contrib/108749623141722322099/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.307163,4.0,16,"I found out about this place through a website, but it was such a great call to go. It is a bit far from other things, but I’d go back and stay in the evening for some shows or just the vibe itself. There is a sense of community and …"
3,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSURrMTZmbklnEAE,David Hsieh,https://www.google.com/maps/contrib/105919649452568847314/reviews?hl=en-US,a year ago,2021-06-23 12:13:49.308238,2.0,77,"Sandy, often wet, crowded and LOTS of smokers, also, don't watch the fireworks there, the music is not in sync but delayed. And even though there's a non-smoking area, since it's an open space, smoke gets carried by the wind... and I wouldn't bring kids there because of the loud music also. Nice ambiance but not for everyone."
4,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUNxb3N5V0hBEAE,Dane Richards,https://www.google.com/maps/contrib/110836627163561389543/reviews?hl=en-US,3 weeks ago,2021-06-23 12:13:49.309754,5.0,30,Cute rollerblading spot freshly paved seen a whale there once
5,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSURBNXNIZGtnRRAB,Amina Meniai,https://www.google.com/maps/contrib/114759543029116369099/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.310995,4.0,195,"This is becoming a staple in Montreal summer scene.
Very easy access, river view. Excellent vantage point for summer fireworks.

Plenty of room to play, dance and relax.
Very kid friendly.

Food and drinks available.

The afrotonik night is the best one."
6,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUNVd2Y3SXNRRRAB,박성희,https://www.google.com/maps/contrib/113578147416058885940/reviews?hl=en-US,a year ago,2021-06-23 12:13:49.313562,5.0,55,"If you want to enjoy the fireworks comfortably with your family, go here.If you take a mat and a camping chair, it will be more enjoyable.Alcoholic beverages are not allowed during the fireworks."
7,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSURDbVA3ZHdRRRAB,Mathias Ranft,https://www.google.com/maps/contrib/117468070949354527695/reviews?hl=en-US,3 months ago,2021-06-23 12:13:49.315408,4.0,216,Fun place to go to. They have different restaurants where to eat and a bar. A stage where some groups can perform and beach like vibes.
8,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUM0bEtfMnZRRRAB,Anonymous,https://www.google.com/maps/contrib/112207647667181639978/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.317474,4.0,408,"Been coming here the last 3 years but the space isn't as exciting this year. No second floor, no hammocks in the back so 1 star off.

Still, a cool free outdoor space and when the fireworks restart again it'll be really fun to go Saturdays. …"
9,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSURrazkyZnp3RRAB,DanielleACM,https://www.google.com/maps/contrib/106967818198424453811/reviews?hl=en-US,a year ago,2021-06-23 12:13:49.319603,4.0,52,"Perfect spot to watch the fireworks, always fun things to check out, concerts, food trucks,"
10,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUNvbnF2SmlBRRAB,Yesmine Boukhili,https://www.google.com/maps/contrib/105580828895952991057/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.321591,5.0,197,"It's an awesome project built by a highly motivated organism called La Pépinière | Espaces Collectifs. Le Village au Pied-du-Courant is a reinvented public space built anew every year during summer by a collective effort.

The place …"
11,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUNnc05pcWhRRRAB,Lyne Desir,https://www.google.com/maps/contrib/113669019877693553478/reviews?hl=en-US,4 years ago,2021-06-23 12:13:49.323421,5.0,51,"Will definitely be going there many times this summer. I love the recycled pieces of fun and funky furniture and art installements all around. So many cool things to see. It's such a Montreal thing to do, but it's why you have to love this …"
12,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUN3emVTMGV3EAE,Silvisabel Fajardo Bernal,https://www.google.com/maps/contrib/106284139378305892439/reviews?hl=en-US,3 years ago,2021-06-23 12:13:49.324443,4.0,48,"Had a great night at the event, was full because it was the last Saturday of fireworks. People danced on the sand and chilled with the great views. A little prices but it's a good location, the only thing is they cut the music exactly at the time they have stated. Guess they stick with the rules."
13,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUM4Z3Z6SWZ3EAE,Victoire K,https://www.google.com/maps/contrib/103913614418998611761/reviews?hl=en-US,11 months ago,2021-06-23 12:13:49.325739,5.0,50,Great place to go to chill with friends! During the day it is family friendly and at night they sometimes are DJ sets that are really enjoyable! Make sure to check their schedule before going!
14,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUNBcElLUkZ3EAE,Chaim Shoham,https://www.google.com/maps/contrib/100526254274817487750/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.326937,4.0,71,Lovely little beach party near the water with railway background noise from trains passing by to make for a unique atmosphere. All paid for (beside your choice of poison) by the tax payers so basically... free ;)
15,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSURrdzhTVGhnRRAB,Rachel Proulx,https://www.google.com/maps/contrib/112289060866891644610/reviews?hl=en-US,a year ago,2021-06-23 12:13:49.327965,5.0,18,Maybe I shouldn't write this review to keep this gem all to myself! What a wonderful spot to watch the fireworks!!
16,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUN3X1A2VkR3EAE,Clara Paquette,https://www.google.com/maps/contrib/105898452863631452945/reviews?hl=en-US,3 years ago,2021-06-23 12:13:49.329160,4.0,78,"It's a very pretty place, good for insta pics. It's nice that there are always parked food trucks. But I went for the boogie night and the music wasn't at all what I expected (it was electro and not 80's )…"
17,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUNBd01HcENBEAE,DIego CAstro,https://www.google.com/maps/contrib/105451446790980533567/reviews?hl=en-US,3 years ago,2021-06-23 12:13:49.330259,5.0,16,It has some great live music and an amazing energy! It is also a great place to watch some fireworks from
18,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUNRN3UtUXh3RRAB,Philip,https://www.google.com/maps/contrib/116959174273583323017/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.331578,4.0,224,"good place for many event: watching fireworks, DJ performance, food ..."
19,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUNpMmRuZmRnEAE,Sunny Logo,https://www.google.com/maps/contrib/113052247935901635413/reviews?hl=en-US,7 months ago,2021-06-23 12:13:49.332586,5.0,157,"Beauriful scenic area, Montreal is just stunning"
20,Parc du Pied-du-Courant,ChdDSUhNMG9nS0VJQ0FnSUQ4dy1LSnRnRRAB,Matt Fish,https://www.google.com/maps/contrib/107096399072213667579/reviews?hl=en-US,10 months ago,2021-06-23 12:13:49.333906,5.0,41,Great for warm summer days. They have food and drinks too.
21,Parc du Pied-du-Courant,ChZDSUhNMG9nS0VJQ0FnSUM0bVlxNmR3EAE,Marlon Noneyobidness,https://www.google.com/maps/contrib/113476434210148445710/reviews?hl=en-US,2 years ago,2021-06-23 12:13:49.335320,4.0,100,Awesome outdoor venue for a summer night! There is food and drinks available and lots of seating areas. There's sand in a lot of areas too making it almost like a beach. There's a small stage where they play music. It's like having an open air bar. If you want to have fun outside on a warm night this should be one of your first options!
