,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSUNLdjRIOGNBEAE,David Larouche,https://www.google.com/maps/contrib/102107784634236922077/reviews?hl=en-CA,a month ago,2021-06-20 23:55:25.964751,5.0,36,"This place is awesome, and very very huge. They have added a few young trees last year and it's going to be a very nice park in a couple of years. The park would need some love though, and it is a bit monofunctional. The first Avenue could be also more integrated and secure with the park, but it's going there.

P.S - big hill to slip during winter ! Very enjoyable for kids."
1,Parc du Pélican,ChdDSUhNMG9nS0VJQ0FnSUNxNWFlUThRRRAB,Louis-Philippe Trempe,https://www.google.com/maps/contrib/105815614361945276813/reviews?hl=en-CA,a week ago,2021-06-20 23:55:25.966230,5.0,31,"Nice park, multiple activity like baseball, dog park, water fountain for kid, public swimming pool and more."
2,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSUNxeVpIR1Z3EAE,M M,https://www.google.com/maps/contrib/108107689889180477203/reviews?hl=en-CA,a week ago,2021-06-20 23:55:25.967237,4.0,271,Cozy greenary park. There is a place for dogs.
3,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSURTMGItTENREAE,ultraviolet light,https://www.google.com/maps/contrib/104844479845696368101/reviews?hl=en-CA,5 months ago,2021-06-20 23:55:25.968234,3.0,352,Two wide lanes plus adventurous sledding off the side
4,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSUR5dHJ1NWJREAE,Rob Denton,https://www.google.com/maps/contrib/100238632616579188358/reviews?hl=en-CA,3 months ago,2021-06-20 23:55:25.969231,5.0,41,Really good sledding hill and safety personnel / first responders were on site today just in case.
5,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSUN5MHJuaVd3EAE,Jean-François Fréchette,https://www.google.com/maps/contrib/109262730731985870257/reviews?hl=en-CA,4 months ago,2021-06-20 23:55:25.970930,5.0,82,"Even though it was a very cold day, the sun was with us and the 2 skating rinks were ready.  Slides are also ready so bring the kids or friends to enjoy some nice winter fun."
6,Parc du Pélican,ChdDSUhNMG9nS0VJQ0FnSURTNWVDbjhBRRAB,World News,https://www.google.com/maps/contrib/107129109997728327075/reviews?hl=en-CA,5 months ago,2021-06-20 23:55:25.971949,5.0,181,"I loved,  there is a very fast tobogganing,  very nice for kids. Open until midnight."
7,Parc du Pélican,ChdDSUhNMG9nS0VJQ0FnSURBcVBMYzl3RRAB,Raphael Lanouette,https://www.google.com/maps/contrib/109079622512794237759/reviews?hl=en-CA,3 years ago,2021-06-20 23:55:25.973001,5.0,82,"Great park with a public pool, multiple softball fields, kids playground and nice green grass. The park is also known for the sheeps eating the grass there in the summer. Definitely a nice place for good family time"
8,Parc du Pélican,ChdDSUhNMG9nS0VJQ0FnSUNnaE5YMG9nRRAB,Cristina Mihutescu,https://www.google.com/maps/contrib/100737467947030610767/reviews?hl=en-CA,a year ago,2021-06-20 23:55:25.973998,5.0,7,"Cool dog park, nice big tires for dogs to jump on, benches to sit in the shade and a water fountain."
9,Parc du Pélican,ChZDSUhNMG9nS0VJQ0FnSURJNEtTNkpREAE,David Carter,https://www.google.com/maps/contrib/100848637909983013587/reviews?hl=en-CA,10 months ago,2021-06-20 23:55:25.979227,3.0,42,Very few picnic tables in the park. But it is a nice place to visir
