,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNxc0lIS29BRRAB,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,3 weeks ago,2021-06-21 00:30:44.364666,4.0,679,"Verdun is a town that does not lack public spaces, especially the long green stretches that run along the St-Lawrence. People who live in the town or don't have that long to drive use Turtle Wharf Park regularly, be it for walks along the river, bike rides along its very long and very spacious bicycle paths, as a picnic site with the family, for its petanque courts,  or simply as a place to relax and watch the world go by."
1,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURLbnJQTlVBEAE,Daniel Barbeau,https://www.google.com/maps/contrib/113276303289477270208/reviews?hl=en-CA,a month ago,2021-06-21 00:30:44.368168,5.0,23,Great big park. Great for cooling off on a hot summer day or to have a picnic. A beautiful walk or a bike ride!
2,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUN5Z2ZmcklBEAE,C C,https://www.google.com/maps/contrib/102607708048360696485/reviews?hl=en-CA,4 months ago,2021-06-21 00:30:44.369994,5.0,76,Beautiful cold Canadian day.
3,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNxOExEa3FBRRAB,Jonathan Leger,https://www.google.com/maps/contrib/104223713303153236698/reviews?hl=en-CA,3 weeks ago,2021-06-21 00:30:44.371650,4.0,15,"Really relaxing here, they took away the dock from. Here though!. But always people here. Fishing and chilling 😌"
4,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUR5dUp6TXh3RRAB,Cedric de Concordia,https://www.google.com/maps/contrib/112116443949769334437/reviews?hl=en-CA,3 months ago,2021-06-21 00:30:44.373438,5.0,4,"Beautiful place to enjoy strolling with friends and family all four seasons. Yup, even in the winter !"
5,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURjMTZMS1B3EAE,Christina HITEVA,https://www.google.com/maps/contrib/101193062821012072357/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.375503,5.0,15,"Spacious, very accessible by car and public transit, nicely situated near the river. There is everything that you need to organize a picnic, outdoor games and so much more. The bicycle path makes it easy access and fun for the seekers of an active lifestyle and exercise. The playground is nice, safe to use for the young children and the sprinklers are very appreciated by the kids of every age."
6,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURLbU1LTFRnEAE,Michel Masionneuve,https://www.google.com/maps/contrib/110921979501520169810/reviews?hl=en-CA,a month ago,2021-06-21 00:30:44.379854,4.0,113,Great to spend time with love ones
7,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUNpNDR5cldnEAE,Saranaz Mohammadi,https://www.google.com/maps/contrib/100359253107556463209/reviews?hl=en-CA,7 months ago,2021-06-21 00:30:44.384408,5.0,119,Beaitiful spot to witness the sun rise or the moon rise. Magic every morning waiting for you to discover. Stay blessed. Stay grateful.
8,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURDMk5LZFRnEAE,michael morin,https://www.google.com/maps/contrib/106931825464065140461/reviews?hl=en-CA,9 months ago,2021-06-21 00:30:44.387755,5.0,29,I live in the area and love it. There are kilometers of trail along the waterfront that you can take advantage of.
9,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURjcHQzNUJ3EAE,Pratik Kalani,https://www.google.com/maps/contrib/100490000283968683592/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.391291,5.0,16,"Beautiful place to walk, relax or to have meal."
10,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUQ4enVLd2p3RRAB,Luan & Peggy,https://www.google.com/maps/contrib/114108692398762058737/reviews?hl=en-CA,11 months ago,2021-06-21 00:30:44.395806,5.0,165,Really a great park with water splash for kids
11,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNxNE9HWTJ3RRAB,Neha Kumari,https://www.google.com/maps/contrib/103212914122110969912/reviews?hl=en-CA,4 weeks ago,2021-06-21 00:30:44.397622,4.0,63,Good for outing.
12,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUNLZ0xITEp3EAE,Aila Jane,https://www.google.com/maps/contrib/109216892769067195769/reviews?hl=en-CA,2 months ago,2021-06-21 00:30:44.402544,5.0,24,Great view of the moon rise
13,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUQ4dlpXMUtBEAE,T,https://www.google.com/maps/contrib/114237728988481898761/reviews?hl=en-CA,10 months ago,2021-06-21 00:30:44.404310,4.0,52,Great place for a pique nique. Lots of room for everyone and social distancing is not a challenge. Also the grounds are usually quite clean and haven't seen any broken glass or any other dangers on the ground.
14,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURjdHRUUUVREAE,Ariana L,https://www.google.com/maps/contrib/100485494484242710666/reviews?hl=en-CA,11 months ago,2021-06-21 00:30:44.406425,4.0,54,Really lovely area. Bit of a strong current but still quite nice ^_^
15,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUNpOTZ2OWNnEAE,Jean Pierre,https://www.google.com/maps/contrib/115547510095232094005/reviews?hl=en-CA,7 months ago,2021-06-21 00:30:44.408872,5.0,10,Beautiful place to see the sunset with a special someone.
16,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURNc05qNllBEAE,Genevieve Jessy Sarazin,https://www.google.com/maps/contrib/116962848292862323159/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.416704,5.0,83,"The nature in the city! A walk will conquer you. In all season this place has charms. When tired from the busy life, this place will free your mind. A walk along the shore is like magic."
17,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUM4dHBYNjNBRRAB,Chris E,https://www.google.com/maps/contrib/111114533379713382477/reviews?hl=en-CA,11 months ago,2021-06-21 00:30:44.419495,5.0,1,Saw the Solar and Lunar eclipse ascend over the waters horizon. It was beautiful
18,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNpMmJqTW9BRRAB,Carlos Denner,https://www.google.com/maps/contrib/110653986973039891181/reviews?hl=en-CA,7 months ago,2021-06-21 00:30:44.421170,5.0,83,"Beautiful outdoors for picnic, sports, and ALL else"
19,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSURLek1IcFhnEAE,Michael -O- Adesanya,https://www.google.com/maps/contrib/113966260032022744940/reviews?hl=en-CA,a month ago,2021-06-21 00:30:44.423784,5.0,51,Spectacular 😊
20,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNLNTlHdjZ3RRAB,Ali Hussain,https://www.google.com/maps/contrib/117860366814667875004/reviews?hl=en-CA,a month ago,2021-06-21 00:30:44.428761,5.0,28,Nice views
21,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNNemYtU3lRRRAB,Daniel Blanchard,https://www.google.com/maps/contrib/103176656912023598686/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.436875,5.0,88,"Walk this place almost daily year 'round. Love it. The best part outside the summer season is that there is almost nobody, it is clean(no thrash left behind by all these summer people) and ...there is absolutely no bugs!"
22,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUNpcXVEV0xBEAE,Leonor Daigneault,https://www.google.com/maps/contrib/107378948604523824106/reviews?hl=en-CA,7 months ago,2021-06-21 00:30:44.438978,5.0,6,Is a very peaceful place.
23,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSUNLcnBDTnRnRRAB,Amir Bathaei,https://www.google.com/maps/contrib/111580528843521432957/reviews?hl=en-CA,2 months ago,2021-06-21 00:30:44.442589,5.0,16,Nice place
24,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUM4bHU3SGV3EAE,Roberta Paulez (non),https://www.google.com/maps/contrib/110473903624099339656/reviews?hl=en-CA,11 months ago,2021-06-21 00:30:44.447079,4.0,12,Great place to chill
25,Parc du Quai-de-la-Tortue,ChZDSUhNMG9nS0VJQ0FnSUMwN2R6YlR3EAE,Yahya El Baba,https://www.google.com/maps/contrib/102203904318358262017/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.451012,4.0,100,"Its one of many parcs stretched  on verdun  river area,  often quit and good for biking and long walks."
26,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSURBOHNUUXFnRRAB,Juan Francisco Leyva,https://www.google.com/maps/contrib/107929317592442026800/reviews?hl=en-CA,3 years ago,2021-06-21 00:30:44.452732,5.0,27,"This park is great in the summer. Locals in the area gather for some rest and relaxation, or just to have fun. There's a long and scenic bicycle path that extends all the way to Lachine. There are also a couple of public pools, a skate park, and public art installations. I love coming here in the summer to hang in my hammock next to the Saint Lawrence. The best of all is that it's tourist-free."
27,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSURNaDZPSXNBRRAB,Aman Deep,https://www.google.com/maps/contrib/104039783911572082300/reviews?hl=en-CA,a year ago,2021-06-21 00:30:44.454712,5.0,59,"Good place to relax in summer
It also has cycling track"
28,Parc du Quai-de-la-Tortue,ChdDSUhNMG9nS0VJQ0FnSURpbEotU2p3RRAB,Mathieu Despatis,https://www.google.com/maps/contrib/107723796113678172368/reviews?hl=en-CA,6 months ago,2021-06-21 00:30:44.457913,5.0,104,Best park in the west
