,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUR5dThiT0hBEAE,Gérémy Desnoyers,https://www.google.com/maps/contrib/102746250591355553613/reviews?hl=en-CA,3 months ago,2021-06-21 00:32:08.600924,5.0,26,Maybe not the best season while I write this but while living on St-Hubert near Sherbrooke station I would often skate there and then relaxe in this beautiful space white an enormous fountain when I wanted a différents parcours than the park LaFontaine in which I skated à lot during my summer there.
1,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNpamZ2TGRnEAE,David Bainbridge,https://www.google.com/maps/contrib/103339608564840500963/reviews?hl=en-CA,7 months ago,2021-06-21 00:32:08.601853,3.0,62,"A park by the traffic lights. Squirrels, pigeons, benches and tables with chess boards. Not bad as a place to eat lunch in the open air."
2,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSUNxLUlQMzZnRRAB,Dar,https://www.google.com/maps/contrib/105237857110570367442/reviews?hl=en-CA,3 weeks ago,2021-06-21 00:32:08.602791,5.0,11,Beautiful trees and birds singing
3,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURRaGZLaTRRRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-21 00:32:08.603781,4.0,755,Nice park with a fountain filled with bubbles.
4,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSURZaTgtckZnEAE,Catherine,https://www.google.com/maps/contrib/117214922683140090244/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.604716,5.0,33,Small park that usually has a lot of people. For the amount of people it's pretty clean and there's a children's playground nearby. This block is great when playing Pokemon go.
5,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURZLTY2eHJBRRAB,lt4277@gmail.com Solo/che/42,https://www.google.com/maps/contrib/116271283485761871594/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.605667,5.0,184,"Annual Ypres Parade, many Verdun boys fought at Ypres Belgium.       first GAS attack ww1).my regiment The Black Watch (Royal Highland Regiment) front and center at this battle  many Verdun lads were in the ""Watch.""   We attend every year we will never forget their Sacrifice"
6,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSUNJN05HUWlBRRAB,Christopher Alonso,https://www.google.com/maps/contrib/115840911286219348920/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.606593,4.0,65,"A cute little park by the metro, though as it's right by a metro entrance you do tend to see some strange characters.
That aside, a nice little park with a pleasant fountain."
7,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURnbzdQWnJBRRAB,Mac Sketch,https://www.google.com/maps/contrib/112422905620722116265/reviews?hl=en-CA,3 years ago,2021-06-21 00:32:08.607509,5.0,142,It is even Good for movie seen very smart
8,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNFNXZLYkF3EAE,Camilo Martinez,https://www.google.com/maps/contrib/106601907269581729645/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.608880,4.0,49,"Cute , place to eat lunch during your break time."
9,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURvOEtYZl9BRRAB,Reznik 78,https://www.google.com/maps/contrib/114180461729509941891/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.610419,4.0,15,Nice little sitting area right next to the metro.
10,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSURZckpYaWJnEAE,Déconfiture En canne,https://www.google.com/maps/contrib/108723521226972731693/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.612062,3.0,319,"Pigeons, teenagers and other irritents. But the city is working on the diversity issue."
11,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSURnMVllTWRREAE,Jennifer C.,https://www.google.com/maps/contrib/116557052624134987693/reviews?hl=en-CA,4 years ago,2021-06-21 00:32:08.613214,3.0,118,Cute little park. Sometimes in the summer people will fill the fountain with bubbles.
12,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNvbWEzdk93EAE,Melanie LS,https://www.google.com/maps/contrib/115697321453334808159/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.614147,5.0,54,Nice little park nearby Verdun metro station
13,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURvNEphWDl3RRAB,Chris Cussen,https://www.google.com/maps/contrib/109327470061969358459/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.615064,4.0,56,The war memorial is a nice piece to show today's kids the role Canada in the 2 world wars
14,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNZcU9fRmZ3EAE,Tara King,https://www.google.com/maps/contrib/106052084510309630091/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.616101,5.0,68,Went at night it was beautiful.
15,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNvZzlYbGRBEAE,Derek Wilkinson,https://www.google.com/maps/contrib/116719244230096422130/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.617031,1.0,8,I have no idea where this place is.
16,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSURZMTg3WFRnEAE,Sev Ldjag,https://www.google.com/maps/contrib/101186392937462674526/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.618005,5.0,86,nice park
17,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUQweWNYQUhnEAE,Izak Smart,https://www.google.com/maps/contrib/102939959384347037815/reviews?hl=en-CA,a year ago,2021-06-21 00:32:08.618926,4.0,185,Great
18,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNJa2RDU1Z3EAE,Ivonne Coronado Perez,https://www.google.com/maps/contrib/106340764608645343906/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.619849,4.0,52,A niece little park.
19,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNVOGNpZ0V3EAE,محمود الكحلوت,https://www.google.com/maps/contrib/102325394035443955725/reviews?hl=en-CA,a year ago,2021-06-21 00:32:08.620767,5.0,80,Wow
20,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNncnJXSEFnEAE,Maru Cisneros,https://www.google.com/maps/contrib/110697501997848489957/reviews?hl=en-CA,2 years ago,2021-06-21 00:32:08.621690,5.0,109,Great!!! always... we must to push our happines!!!!
21,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSURBdmJLLW9RRRAB,Frederick Belanger,https://www.google.com/maps/contrib/110136401691458794595/reviews?hl=en-CA,4 years ago,2021-06-21 00:32:08.622637,5.0,34,Not much to say other than great park to visit.
22,Parc du Souvenir,ChdDSUhNMG9nS0VJQ0FnSUNpdzQtYmpRRRAB,Michell Guo,https://www.google.com/maps/contrib/106687874088258991370/reviews?hl=en-CA,7 months ago,2021-06-21 00:32:08.623656,5.0,14,"(Translated by Google) Cherry blossoms in spring and maple leaves in autumn 🍁The beautifully landscaped park is just at the exit of the subway station

(Original)
春季樱花盛开，秋季赏枫叶🍁四季风景优美的公园，就在地铁站的出口"
23,Parc du Souvenir,ChZDSUhNMG9nS0VJQ0FnSUNxaFlDekdREAE,André Lauzon,https://www.google.com/maps/contrib/113654877151974839722/reviews?hl=en-CA,a week ago,2021-06-21 00:32:08.624962,4.0,7,Le paec à Lola
