,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUNxM2RhOEZnEAE,Hans Villarpando,https://www.google.com/maps/contrib/117974933051049198489/reviews?hl=en-US,a week ago,2021-06-24 12:08:44.251244,4.0,414,Nice place to take a relax
1,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSUNLbHMtYnZBRRAB,unibrowbaby,https://www.google.com/maps/contrib/105434731937466414703/reviews?hl=en-US,2 months ago,2021-06-24 12:08:44.252481,4.0,55,Cute place to chill but gets packed quick especially when the weather is nice :^)
2,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUNLbTZIbUJREAE,azadeh kheirandish,https://www.google.com/maps/contrib/118007684397529677782/reviews?hl=en-US,2 months ago,2021-06-24 12:08:44.253680,5.0,59,"Have a really nice path for walking, running and cycling"
3,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUNLM19UZUlnEAE,L Wilkins,https://www.google.com/maps/contrib/113622804138822653749/reviews?hl=en-US,a month ago,2021-06-24 12:08:44.254855,5.0,39,Good park
4,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSURDako2bDdBRRAB,Leonardo G Grinberg,https://www.google.com/maps/contrib/114995914690645897509/reviews?hl=en-US,9 months ago,2021-06-24 12:08:44.256265,5.0,211,Very nice park with the graffiti on the wall
5,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSURLekx5YnBBRRAB,David Eduardo Cortina Gueto,https://www.google.com/maps/contrib/109672664399631268341/reviews?hl=en-US,a month ago,2021-06-24 12:08:44.257443,4.0,3,Amazing!
6,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUM4cWU2bWZnEAE,Juan Manuel Pardo,https://www.google.com/maps/contrib/103369950272374019403/reviews?hl=en-US,11 months ago,2021-06-24 12:08:44.258657,4.0,35,Cool. Good place for sports
7,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUNFdTVPbEp3EAE,Julie ducharme,https://www.google.com/maps/contrib/101585235909476188386/reviews?hl=en-US,2 years ago,2021-06-24 12:08:44.259778,5.0,11,"Grâce place to relax, have lunch and work out"
8,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSURDcXRqcnpBRRAB,GG,https://www.google.com/maps/contrib/116111020533564392279/reviews?hl=en-US,9 months ago,2021-06-24 12:08:44.261160,5.0,26,Nice!
9,Parc linéaire du Réseau-Vert,ChZDSUhNMG9nS0VJQ0FnSUNDdWRMbFZREAE,David Vadoud Naderi,https://www.google.com/maps/contrib/114647071628635090677/reviews?hl=en-US,9 months ago,2021-06-24 12:08:44.262450,4.0,188,Normal
10,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSUR5MjltSHNnRRAB,Karina Pourreaux,https://www.google.com/maps/contrib/114027068174654065861/reviews?hl=en-US,3 months ago,2021-06-24 12:08:44.263693,4.0,111,"(Translated by Google) I'm going to walk my dog ​​there. In winter there are fewer people and that gives us a little walk. Unfortunately, people often leave their waste and that of their dog lying around ...

(Original)
Je vais y promener mon chien. L'hiver il y a moins de monde et ça nous fait une petite balade. Malheureusement, les gens laissent souvent trainer leurs déchets et ceux de leur chien..."
11,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSUN5eUxiWHZ3RRAB,Laurence Morel,https://www.google.com/maps/contrib/101170312822447376445/reviews?hl=en-US,5 months ago,2021-06-24 12:08:44.264855,5.0,79,"(Translated by Google) Better in winter covered with snow than in summer with holes, dust and puddles. Perfect for cross-country skiing: 6 km flat. In summer, a quick link from Beaubien to Iberville without a car.

(Original)
Mieux en hiver recouvert de neige qu'en été avec des trous, de la poussière et des flaques.  Parfait pour le ski de fond : 6 km à plat.  En été, un lien rapide de Beaubien à Iberville sans voiture."
12,Parc linéaire du Réseau-Vert,ChdDSUhNMG9nS0VJQ0FnSUQwNk9qN2p3RRAB,mamoun galzim,https://www.google.com/maps/contrib/101762541762206648908/reviews?hl=en-US,a year ago,2021-06-24 12:08:44.266083,5.0,58,"(Translated by Google) Very nice track to walk around

(Original)
Piste fort sympathique pour se promener"
