,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Édouard-Raymond-Fabre,ChZDSUhNMG9nS0VJQ0FnSURRaGZDX0pREAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-24 10:10:30.241164,3.0,755,This is a small neighborhood park to relax.
1,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSUNLM19xTm1RRRAB,The Great,https://www.google.com/maps/contrib/118296807087458867409/reviews?hl=en-US,a month ago,2021-06-24 10:10:30.243335,5.0,142,"(Translated by Google) Callisthenia with graphics. Excellent.

(Original)
Callisthénie avec graphiques. Excellent."
2,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSURjNnVhXzZnRRAB,Josee Paradis,https://www.google.com/maps/contrib/116808611389334333970/reviews?hl=en-US,a year ago,2021-06-24 10:10:30.246930,4.0,2,"(Translated by Google) Super nice place to train

(Original)
Super bel endroit pour s'entraîner"
3,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSURVNG9Hcnh3RRAB,France Kirouette,https://www.google.com/maps/contrib/101121618620712185826/reviews?hl=en-US,a year ago,2021-06-24 10:10:30.249569,4.0,5,"(Translated by Google) Nice place to get back in shape

(Original)
Belle endroit pour se remettre en forme"
4,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSURBb1BXeDBRRRAB,Sébastien Chagnon-Jean,https://www.google.com/maps/contrib/114083788684346635739/reviews?hl=en-US,2 years ago,2021-06-24 10:10:30.252455,5.0,30,"(Translated by Google) Excellent calisthenic park.

(Original)
Excellent parc de callisthénie."
5,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSURjeW9URTh3RRAB,Jaime Hernandez,https://www.google.com/maps/contrib/104957227051553384831/reviews?hl=en-US,a year ago,2021-06-24 10:10:30.253726,5.0,1,
6,Parc Édouard-Raymond-Fabre,ChdDSUhNMG9nS0VJQ0FnSUNVbmRpVzFnRRAB,carole grenier,https://www.google.com/maps/contrib/109277748297135089926/reviews?hl=en-US,a year ago,2021-06-24 10:10:30.255003,5.0,1,
7,Parc Édouard-Raymond-Fabre,ChZDSUhNMG9nS0VJQ0FnSURrcS11dWNREAE,Georges Claudio,https://www.google.com/maps/contrib/113522049006611050389/reviews?hl=en-US,a year ago,2021-06-24 10:10:30.256523,4.0,18,
8,Parc Édouard-Raymond-Fabre,ChZDSUhNMG9nS0VJQ0FnSUNxLWRXTVhBEAE,Maximilien Bianchi,https://www.google.com/maps/contrib/105773120903535075228/reviews?hl=en-US,a week ago,2021-06-24 10:10:30.257606,4.0,9,
9,Parc Édouard-Raymond-Fabre,ChZDSUhNMG9nS0VJQ0FnSUNDczhPZEZnEAE,dontaco86,https://www.google.com/maps/contrib/111101997789192373682/reviews?hl=en-US,9 months ago,2021-06-24 10:10:30.258620,5.0,219,
