,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSURLNWJ1ck9BEAE,Mohammed Shaikul Islam,https://www.google.com/maps/contrib/103608971237402362728/reviews?hl=en-CA,a month ago,2021-06-24 21:38:59.865382,5.0,23,"Excellent park, quite & peaceful..."
1,Parc Île Haynes,ChdDSUhNMG9nS0VJQ0FnSURLam9LcDVnRRAB,DeayonSG,https://www.google.com/maps/contrib/101427092076031628175/reviews?hl=en-CA,a month ago,2021-06-24 21:38:59.866575,5.0,1,It was very beautiful
2,Parc Île Haynes,ChdDSUhNMG9nS0VJQ0FnSURjMk9lcnhRRRAB,John Prince Deras,https://www.google.com/maps/contrib/102529045811247874870/reviews?hl=en-CA,a year ago,2021-06-24 21:38:59.867816,4.0,3,Nice place
3,Parc Île Haynes,ChdDSUhNMG9nS0VJQ0FnSURLck5LR3pBRRAB,Yvan Lejnev,https://www.google.com/maps/contrib/115680722140046883632/reviews?hl=en-CA,a month ago,2021-06-24 21:38:59.869336,5.0,32,"(Translated by Google) Nice place for bbq or fishing spot.

(Original)
Belle place pour bbq ou  fishing spot."
4,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSUNxbGEyZExREAE,Tony Haddad,https://www.google.com/maps/contrib/100705692105818400284/reviews?hl=en-CA,a week ago,2021-06-24 21:38:59.870543,4.0,134,Beau paysage. Dans la ville mais très dépaysant.
5,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSUNDbGNQTURBEAE,Richard Daunais,https://www.google.com/maps/contrib/104186454881506496267/reviews?hl=en-CA,9 months ago,2021-06-24 21:38:59.871638,3.0,100,"(Translated by Google) Like a little windy today.

(Original)
Comme un peux venteux aujourd hui."
6,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSUM4aUl2dmZnEAE,Renard frak,https://www.google.com/maps/contrib/115992367660534405482/reviews?hl=en-CA,a year ago,2021-06-24 21:38:59.872738,5.0,211,"(Translated by Google) Beautiful spot! The locals are lucky!

(Original)
Beau spot ! Les habitants du coin sont chanceux !"
7,Parc Île Haynes,ChdDSUhNMG9nS0VJQ0FnSUNxMjlmWDRnRRAB,ken Block,https://www.google.com/maps/contrib/101147709208651525303/reviews?hl=en-CA,4 days ago,2021-06-24 21:38:59.873846,4.0,5,
8,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSUNLdWZHNGJ3EAE,Jessica P,https://www.google.com/maps/contrib/114925700446082914906/reviews?hl=en-CA,2 months ago,2021-06-24 21:38:59.875088,5.0,13,
9,Parc Île Haynes,ChZDSUhNMG9nS0VJQ0FnSURLLW9iaVhnEAE,Myriam Martel,https://www.google.com/maps/contrib/114638776222203191744/reviews?hl=en-CA,a month ago,2021-06-24 21:38:59.876184,5.0,40,
