,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSURTMTRqLVdBEAE,Demetra Darsaklis,https://www.google.com/maps/contrib/101550592588529408201/reviews?hl=en-CA,5 months ago,2021-06-22 12:18:31.736008,5.0,73,One of the best Trail Parks in Montreal.
1,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSUR5cDlPU0hREAE,Achyut P. Adhhikari,https://www.google.com/maps/contrib/117468102634211171767/reviews?hl=en-CA,3 months ago,2021-06-22 12:18:31.737404,5.0,130,"Amazing park. You can find an amalgamation of forest, Park, hiking, big river and an awesome view of the city. If you are planning to spend your whole day together with your family, friends and kids don’t miss it. You won’t know how time flies when you get in the river view podium. Slightly blowing cool air, fantastique river views after a bit of tiredness of forest walk OMG...... amazing. I don’t have words to explain........ just can say go and get experience"
2,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSUNDMjUzTlNREAE,Ghaliah K,https://www.google.com/maps/contrib/107509368130472494833/reviews?hl=en-CA,9 months ago,2021-06-22 12:18:31.738543,4.0,31,"I like this park, it has great views..❤"
3,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSURLd0puUWZREAE,Jean-Francois Gagnon,https://www.google.com/maps/contrib/115614905735175680097/reviews?hl=en-CA,a month ago,2021-06-22 12:18:31.739525,5.0,88,"(Translated by Google) Nature oasis in the heart of the city. Varied flora and fauna. Many spaces are picnics. Trails and cycle path. Site of historical value. The view of the river contributes to the feeling of being out of touch.

(Original)
Oasis de nature au cœur de la ville. Faune et flore variée. Nombreux espaces se picnics. Sentiers et piste cyclable. Emplacement à valeur historique. La vue sur la rivière contribue au sentiment de décrochement."
4,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSURTaXZITGZ3EAE,Kim Nethersole,https://www.google.com/maps/contrib/110064668692508997759/reviews?hl=en-CA,6 months ago,2021-06-22 12:18:31.740480,5.0,287,"(Translated by Google) A great place for a walk in nature to clear your mind ...
An ideal place for a nature walk to clear your mind ...

(Original)
A great place for a walk in nature to clear your mind...
Un endroit idéal pour une promenade dans la nature pour se vider l'esprit..."
5,Parc-nature de l'Île-de-la-Visitation,ChdDSUhNMG9nS0VJQ0FnSURDX09DLTJRRRAB,Paul Andrei Delos Reyes,https://www.google.com/maps/contrib/103522866341219989204/reviews?hl=en-CA,9 months ago,2021-06-22 12:18:31.741681,5.0,0,
6,Parc-nature de l'Île-de-la-Visitation,ChdDSUhNMG9nS0VJQ0FnSURDNF9iR3R3RRAB,Duc C. Nguyên,https://www.google.com/maps/contrib/105132606869252480414/reviews?hl=en-CA,8 months ago,2021-06-22 12:18:31.742704,4.0,9,
7,Parc-nature de l'Île-de-la-Visitation,ChdDSUhNMG9nS0VJQ0FnSURDdWMtYXRnRRAB,Lamia Said,https://www.google.com/maps/contrib/113438042793888184073/reviews?hl=en-CA,8 months ago,2021-06-22 12:18:31.743655,4.0,36,
8,Parc-nature de l'Île-de-la-Visitation,ChdDSUhNMG9nS0VJQ0FnSUN5cG9ESXNnRRAB,Cynthia B.,https://www.google.com/maps/contrib/102978423931314971520/reviews?hl=en-CA,4 months ago,2021-06-22 12:18:31.744644,4.0,6,
9,Parc-nature de l'Île-de-la-Visitation,ChdDSUhNMG9nS0VJQ0FnSUNLbnNhbmpRRRAB,Carla Reis,https://www.google.com/maps/contrib/104169838357976215046/reviews?hl=en-CA,2 months ago,2021-06-22 12:18:31.745608,5.0,19,
10,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSURLOTVLWWRnEAE,Ngalula Mubengay,https://www.google.com/maps/contrib/104272337996824643391/reviews?hl=en-CA,a month ago,2021-06-22 12:18:31.746518,4.0,2,
11,Parc-nature de l'Île-de-la-Visitation,ChZDSUhNMG9nS0VJQ0FnSURLZ1A2WFp3EAE,Reginald Bouchard,https://www.google.com/maps/contrib/115354172594840653952/reviews?hl=en-CA,a month ago,2021-06-22 12:18:31.747511,4.0,10,
