,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNLOVlpNFJnEAE,Mehedi al Hasib,https://www.google.com/maps/contrib/101182200454000907480/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.641095,5.0,119,"Such a quiet place for spending time with yourself and friends...
you will feel refreshed. It’s a good idea to bring some food."
1,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNxbGVLbElREAE,Alexei Buza,https://www.google.com/maps/contrib/114416947219107858994/reviews?hl=en-CA,a week ago,2021-06-22 13:15:59.642108,5.0,24,Nice path for bike and walk. Unfortunately not many view spots and middle section closed. At evening time mosquitos can be a problem. Everything else is nice. There are bio-toilets at each official parking spots.
2,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUR5MTZ5c2x3RRAB,Marie-Pier Comeau,https://www.google.com/maps/contrib/114805481527215864415/reviews?hl=en-CA,3 months ago,2021-06-22 13:15:59.643137,5.0,49,"Such a beautiful place, it is well maintained the trails are easy to walk yet amazingly pretty. The welcome center is closed due to covid but there is a toilet available if needed.

Highly recommended for bird watching, we saw many woodpeckers and some owls!

The parking is 7,50 for 2h or 9,50$ for the day but the use of the park is free"
3,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNxLWR5SXlRRRAB,Jan Eurelson,https://www.google.com/maps/contrib/101438406673546592436/reviews?hl=en-CA,a week ago,2021-06-22 13:15:59.643923,4.0,715,"Good dessert spot

Try out the lotus or that Nutella

You can't go wrong"
4,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNxNWZhRmVREAE,Cuto Reed,https://www.google.com/maps/contrib/112618465905869706455/reviews?hl=en-CA,a week ago,2021-06-22 13:15:59.644702,5.0,27,"Nice to make a bbq besides a lake. The beach is small, so get early if you want a good spot"
5,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNLMVp1bG5BRRAB,Jean-Rene Auger,https://www.google.com/maps/contrib/103545799906314280009/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.645874,5.0,60,"Really nice by the water on the northern side of the island. The walkway has been under re-construction for a couple years now, which makes it difficult to walk decent distance from there though."
6,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNLeWJLaWF3EAE,Jabason Stanley,https://www.google.com/maps/contrib/103667568206543825919/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.646663,5.0,259,"Beautiful view of the sunset in the evening. Nice walking trails, but the trails get muddy during rain. Parking is 7.50 for two hours and 9.50 Cad for complete day. Pretty quite and small park."
7,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNpeTk2a09BEAE,Beatrice Ungaro Lanni,https://www.google.com/maps/contrib/108659340838452290882/reviews?hl=en-CA,7 months ago,2021-06-22 13:15:59.647435,5.0,34,"It is a beautiful and serene area,  not overpopulated. Great to breath the fresh air cleansed by the trees, restful and peaceful. Fantastic place for birdwatchers to take stunning photographs. To take a bike ride or a simple walk feels rewarding to the soul. The waterside of the park is remarkable. I adore the sounds of the river running its course. Its healthy to be in nature. Worthy of a visit."
8,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUN5dGVqVnVRRRAB,Claire Lu,https://www.google.com/maps/contrib/110571762000886569741/reviews?hl=en-CA,4 months ago,2021-06-22 13:15:59.648205,4.0,26,Very spacious park with lots of trails. Sightseeing during the winter: the downy woodpecker! There were many little buddies during my walk. Sadly couldn’t get a close enough picture.
9,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNxM3RPWHZBRRAB,Tanya Swain,https://www.google.com/maps/contrib/118039276627896827347/reviews?hl=en-CA,2 weeks ago,2021-06-22 13:15:59.649137,5.0,48,"Great trails for biking ,hiking etc love it here"
10,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNLNnRpaUZBEAE,Doug Robinson,https://www.google.com/maps/contrib/110351674580562547506/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.649950,5.0,10,"Beautiful park year round lovely trails through the woods. Please note that the pictured long wooden boardwalk through one marsh has been dismantled. There is a new one however that gives great views of the wildlife. If you come by bike, enter the park by the de l'Eglise entrance and it's an amazing downhill coast down to the marsh!"
11,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNxM3VPQWh3RRAB,Santiago MONTES,https://www.google.com/maps/contrib/108603879819666945307/reviews?hl=en-CA,2 weeks ago,2021-06-22 13:15:59.650846,3.0,65,"Very nice place to walk and/or ride your bicycle... However, it's a pity that a family place is used for people to smoke weed freely without caring if there are children, or simply other people who are not supposed to to ""enjoy your taste""."
12,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSURTbzdpanVRRRAB,ckylx,https://www.google.com/maps/contrib/109380328063338456080/reviews?hl=en-CA,5 months ago,2021-06-22 13:15:59.651705,4.0,75,"Came here thinking we'd see the beautiful pathways from the photos, but I believe that it no longer exists. Besides that, this park is well maintained, beautiful walking trails in winter, not slushy, veryyy big and people are super nice and welcoming here. A big PLUS is that this park is not super crowded. Recommend this park to families to come for a good walk in nature. Underrated park ! Would come back for sure"
13,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUR5Z3AtTEpBEAE,Charles Olivier Savignac,https://www.google.com/maps/contrib/112260036969466187477/reviews?hl=en-CA,3 months ago,2021-06-22 13:15:59.652485,5.0,73,Very nice and peaceful park. High recommended to take in the peaceful nature that surrounds Montreal.
14,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNxbTdqbFZ3EAE,Kerry Howard,https://www.google.com/maps/contrib/112259058635726818318/reviews?hl=en-CA,2 days ago,2021-06-22 13:15:59.653539,5.0,22,We wnt biking with our kids.  Easy and fun beginner trail!
15,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNLMmR6YXpRRRAB,Faria Zarrin,https://www.google.com/maps/contrib/111392000062436306925/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.654349,5.0,50,It's nice for easy trekking and walk...they have 7 km long trek.  The island is nice.
16,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSURTcDZILTl3RRAB,Ernest Westphal,https://www.google.com/maps/contrib/106302333793904990175/reviews?hl=en-CA,5 months ago,2021-06-22 13:15:59.655393,4.0,12,"A great spot to take a hike and ""leave"" the city behind you, while still in the city."
17,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNDc2NlVFdREAE,Hazzel D. Derige,https://www.google.com/maps/contrib/109499568882634742976/reviews?hl=en-CA,9 months ago,2021-06-22 13:15:59.656483,5.0,61,First time being here and I’m very thankful to have stepped in to this place. It’s a hidden forgotten place. I heard it has been renovated that’s why it’s looking very pretty. The trail is long and a bit confusing so it’s better to bike it than to walk it. You won’t regret this magical place. It’s one of the best spot to paddle boat and catch the sunset!
18,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNLaFpiSWJnEAE,Eric T,https://www.google.com/maps/contrib/102797491629275374036/reviews?hl=en-CA,2 months ago,2021-06-22 13:15:59.657262,5.0,205,"Great place to spend a day walking or cycling in the fresh air, among the woods, a lol Ong well kept pathways"
19,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSUNpeTY3TU5nEAE,Ken C,https://www.google.com/maps/contrib/109340966136391495183/reviews?hl=en-CA,7 months ago,2021-06-22 13:15:59.658352,3.0,74,"Disappointing. Unfortunately, the beautiful boardwalk pictured no longer exists. It had begun to buckle years ago, as has another boardwalk in the park. As a result, access to some of the best areas of the park is no longer possible. The park is cut in two.

As someone who loved this park, it is a shame. The main boardwalk has not been replaced, and the large, expansive marsh it crossed is no longer accessible. We have been hoping it would have been replaced long ago."
20,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSURDcDlfdmRBEAE,Natalia Dubrovina,https://www.google.com/maps/contrib/116412124765858685935/reviews?hl=en-CA,8 months ago,2021-06-22 13:15:59.659180,5.0,47,"I enjoyed the rabbit trial , very beautiful scenery and pleasant 11 km, sunset on the waterfront was fantastic, area for picnics and free parking"
21,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSURLdEktS2JnEAE,Flavio Das Chagas Dias,https://www.google.com/maps/contrib/103512860317937596975/reviews?hl=en-CA,a month ago,2021-06-22 13:15:59.660312,4.0,34,Very pleasant and relaxing environment. The parking is not available.
22,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNpd0otTnJnRRAB,Ayser R Almufleh,https://www.google.com/maps/contrib/114786159387589366886/reviews?hl=en-CA,8 months ago,2021-06-22 13:15:59.661154,5.0,349,One of the best hiking places near Montreal
23,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSURLdXJxY0l3EAE,Kev S,https://www.google.com/maps/contrib/103461212235771588667/reviews?hl=en-CA,a month ago,2021-06-22 13:15:59.661975,5.0,5,Good park for dogs. Has poo bags and water
24,Parc-nature du Bois-de-L'Île-Bizard,ChdDSUhNMG9nS0VJQ0FnSUNpZ3UyTG9BRRAB,Russell Lloyd,https://www.google.com/maps/contrib/101247725327425696249/reviews?hl=en-CA,7 months ago,2021-06-22 13:15:59.662853,5.0,56,Perfect trails for cycling and hiking. Plenty of benches to enjoy a meal or two on. Several lookouts where if you're quiet and patient enough you can see some cool wildlife. Love this park!
25,Parc-nature du Bois-de-L'Île-Bizard,ChZDSUhNMG9nS0VJQ0FnSURLaC1iVUlREAE,Ali Hajebrahimi,https://www.google.com/maps/contrib/112285908177671848805/reviews?hl=en-CA,a month ago,2021-06-22 13:15:59.663926,2.0,39,There is no a wide space to chill out. All the tables are close to each other. Not recommended to spend your weekend there.
