,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSUNxeDlTWENBEAE,Israa Hilles,https://www.google.com/maps/contrib/106548226609957230244/reviews?hl=en-CA,a day ago,2021-06-22 13:31:43.882168,5.0,177,"Amazing for photoshotgun and Good for walking, not for staying a long time, I take my friend there for taking a photos 📸"
1,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSUNLeEt1QW9BRRAB,Mo Aldoboni,https://www.google.com/maps/contrib/116217762039487136718/reviews?hl=en-CA,2 months ago,2021-06-22 13:31:43.883064,5.0,60,"Same hour: saw red bellied woodpecker, a  male mallard duck and his wife swimming in the semi frozen swamps, a hawk, a squirrel thinking he's a flying squirrel. Wild-life bio students or zoology students would have a field trip if they visited this place, literally. I really was just hoping for funky growths in the waters and definitely found some. So much tweeting, so many birds' mating rituals and ceremonies. Highly recommended if you're looking for a little magic away from the chaos."
2,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURLdXI3VmVBEAE,Vasiliki Michalakopoulos,https://www.google.com/maps/contrib/106087623733374225214/reviews?hl=en-CA,a month ago,2021-06-22 13:31:43.883887,4.0,1,"It's absolutely beautiful, a hidden gem in the city."
3,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSURDNVp6c25BRRAB,Steeven G (POPE),https://www.google.com/maps/contrib/108182405496004679749/reviews?hl=en-CA,8 months ago,2021-06-22 13:31:43.884667,4.0,32,"The broken fence meant not to adventure a this spot. But search for ""passerelle japonaise"" that was spectacular! lost in the wood."
4,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURjbExEU013EAE,maryam re,https://www.google.com/maps/contrib/102897185932840288587/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.885825,5.0,42,"I fall in love with this nature... Peaceful, virgin... I visited in spring and everywhere was green"
5,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURTcGNfLVRREAE,Flavio Romani,https://www.google.com/maps/contrib/103146828282520986624/reviews?hl=en-CA,5 months ago,2021-06-22 13:31:43.886616,5.0,43,Great place to cross x ski snowshoe and walk. Kid friendly
6,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSUQ4MGFhUVhBEAE,Yahya El Baba,https://www.google.com/maps/contrib/102203904318358262017/reviews?hl=en-CA,11 months ago,2021-06-22 13:31:43.887411,4.0,101,Good for walking but not for picnic.
7,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSUNpZ01uaHlnRRAB,luc fournier,https://www.google.com/maps/contrib/107132284586207213720/reviews?hl=en-CA,8 months ago,2021-06-22 13:31:43.888257,5.0,34,Beautiful walk in the middle of the city. Soothing!
8,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSUQwMk1EZW93RRAB,Placido 7 Cordas & Amigos Músicos,https://www.google.com/maps/contrib/115493659382889913152/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.889037,5.0,24,"Very peaceful place, nature beauty everywhere. The fall color are outstanding!"
9,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSUNxM05DMy1BRRAB,Jean Jean,https://www.google.com/maps/contrib/111140876026131205539/reviews?hl=en-CA,3 weeks ago,2021-06-22 13:31:43.889865,4.0,44,Great outdoors
10,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURjb3UzbVJnEAE,Matteo Vitale,https://www.google.com/maps/contrib/108317045988917677625/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.890761,4.0,20,"Beautiful, clean great views. Ducks everywhere, bike path walking path, walk along the riverside."
11,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURVd3FyckhREAE,g k,https://www.google.com/maps/contrib/100775199832089259775/reviews?hl=en-CA,10 months ago,2021-06-22 13:31:43.891586,4.0,114,Very pretty spot.
12,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSURpdUxDMHZRRRAB,Arman Ayva,https://www.google.com/maps/contrib/101688463845078568963/reviews?hl=en-CA,6 months ago,2021-06-22 13:31:43.892364,5.0,136,Love my neighborhood
13,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSUMwa3ZyTExnEAE,Tone Trentino,https://www.google.com/maps/contrib/106007311939914849762/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.893140,4.0,23,Very nice parc to walk into...or ride your bike!!!
14,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSUN3MmZ2Z3VBRRAB,Louis Jezsik,https://www.google.com/maps/contrib/105936703814111260715/reviews?hl=en-CA,5 years ago,2021-06-22 13:31:43.893919,4.0,365,A really very pleasant park for a country walk. Not many people know about this place (compared to the more refined parks elsewhere in the city). Great spot for a long walk and picnic.
15,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSUNVMEpLQ1dREAE,Jonnathan Koonings,https://www.google.com/maps/contrib/113838156333455681098/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.894694,1.0,54,So many mosquitos. Don’t go here unless you’re fully covered and took at bath in 100% DEET.
16,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSUNNc2ZqdENREAE,charif haidar,https://www.google.com/maps/contrib/106297955214955951250/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.895596,5.0,361,Great urban park for a walk and jogging
17,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURJcTlyMUVREAE,C W.,https://www.google.com/maps/contrib/110280833199181095844/reviews?hl=en-CA,2 years ago,2021-06-22 13:31:43.896387,5.0,138,"Great nature park around the neighborhood.
Easy access"
18,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSURnXy1hRGpnRRAB,Jean-François Daignault,https://www.google.com/maps/contrib/117938614534347291973/reviews?hl=en-CA,4 years ago,2021-06-22 13:31:43.897327,5.0,46,"Wonderful park, amazing flora and fauna. Paths recently overhauled to allow flow of water and keep them dry. Just beautiful."
19,Parc-nature du Bois-de-Saraguay,ChdDSUhNMG9nS0VJQ0FnSURrcmUtNTVRRRAB,Frankie Laffie,https://www.google.com/maps/contrib/100157215123223629100/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.898111,1.0,41,This place would be better if bicycle were allowed. Thanks to the people who  voted for this .Not!
20,Parc-nature du Bois-de-Saraguay,ChZDSUhNMG9nS0VJQ0FnSURVanRMQldREAE,mahmut kacar,https://www.google.com/maps/contrib/108977250396931485246/reviews?hl=en-CA,a year ago,2021-06-22 13:31:43.898885,5.0,18,Very nice and beautiful place to visit.
