,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNxNTdTUFN3EAE,Danielle Rousseau,https://www.google.com/maps/contrib/108961263519181019412/reviews?hl=en-CA,23 hours ago,2021-06-22 13:42:58.305717,4.0,91,This little-known but quite large park in North East Montreal provides a total natural forest setting. It lacks benches to sit or garbage bins to put your dog poop bags. The little brook down steep inclines is pretty and the fall colours are stupendous. The city is planning a complete overhaul of the area in the near future.
1,Parc-nature du Ruisseau-De Montigny,ChdDSUhNMG9nS0VJQ0FnSURLM042YjN3RRAB,Claudia,https://www.google.com/maps/contrib/100144974139188836438/reviews?hl=en-CA,a month ago,2021-06-22 13:42:58.307989,3.0,108,"Certainly not in my top 10 picks, nonetheless worth mentioning.  It does have some charm thanks to the slow cascading brook deep below.  Careful how you get to appreciate this water feature because the area is not the easiest to manoever.  The path is a very good one to walk.  Other than two uncomfortable picnic tables, there is very little seating capacity.  Looking forward to this small nature park by the autoroute blossom in years to come.  Note: There is another entrance point from Boulevard Perras."
2,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURDbThLdE93EAE,Patrick Nguyen,https://www.google.com/maps/contrib/113500172282875534142/reviews?hl=en-CA,5 days ago,2021-06-22 13:42:58.309096,5.0,1,Wow. Amazing place. Not a national big park but you absolutely feel a pure beauty of the nature with minimal human touches...where relaxing soothing sound of stream... clear water downstreaming and clapping gently on rocks... A gift from nature for us just right there in town.
3,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNLdVlfN1pREAE,Robby,https://www.google.com/maps/contrib/117755788158579648567/reviews?hl=en-CA,2 months ago,2021-06-22 13:42:58.310038,4.0,156,Much better than anticipated. A big forest with a small river and waterfall in the middle of city? I never expected to find such a thing!
4,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURLOTdhS2J3EAE,Chris Archambault,https://www.google.com/maps/contrib/102937659716294726032/reviews?hl=en-CA,a month ago,2021-06-22 13:42:58.310969,5.0,1,"Super calm, great riverside natural trail."
5,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNxcHFTU0l3EAE,Wellington Leite,https://www.google.com/maps/contrib/115820781367403667117/reviews?hl=en-CA,2 weeks ago,2021-06-22 13:42:58.312029,5.0,156,What else to say? Enjoy it!
6,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNDN3ZPREZREAE,Melissa Claisse,https://www.google.com/maps/contrib/107240633094627178481/reviews?hl=en-CA,9 months ago,2021-06-22 13:42:58.313017,5.0,5,"This is a hidden gem, if you are willing to get off the main trail and hike through the woods. The paths are narrow with a lot of overgrowth, but lovely and the little river is such a delight with the small waterfalls. I saw some interesting birds here as well. I suggest long pants or bug spray and good shoes."
7,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNpOFB6dWRBEAE,Maria Lipari,https://www.google.com/maps/contrib/117949075081477038023/reviews?hl=en-CA,8 months ago,2021-06-22 13:42:58.313938,5.0,9,Nice park in city for a walk. Dogs allowed!
8,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURLaDg2VEFREAE,Gary Hunting,https://www.google.com/maps/contrib/111986129089906488873/reviews?hl=en-CA,a month ago,2021-06-22 13:42:58.314855,5.0,3,Love walking along the paths and visiting the water falls
9,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUR5azdHUVhBEAE,Roberto Ronca,https://www.google.com/maps/contrib/101885859586912824591/reviews?hl=en-CA,2 months ago,2021-06-22 13:42:58.315771,5.0,3,Best Robin Hood style forest in the heart of Montreal-Nord...👍
10,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURTdlpLdURREAE,Ryan Ea,https://www.google.com/maps/contrib/117138084934799490923/reviews?hl=en-CA,5 months ago,2021-06-22 13:42:58.316876,5.0,6,"Hidden Gem, amazing walk and best worth if you decide to take the kind of a hidden track. A go to place if your in the area"
11,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURDbTktaGRnEAE,Thai & Triduc N Trinh,https://www.google.com/maps/contrib/118401989533089968593/reviews?hl=en-CA,8 months ago,2021-06-22 13:42:58.318005,5.0,7,"It's very beautiful park! Special in Fall.
It's good for relaxed and hiking.
Love the water fall!"
12,Parc-nature du Ruisseau-De Montigny,ChdDSUhNMG9nS0VJQ0FnSURLcGRQcjVBRRAB,Luis Peluso,https://www.google.com/maps/contrib/113242967566659021204/reviews?hl=en-CA,a month ago,2021-06-22 13:42:58.319424,5.0,59,Beautiful and peaceful great for walking and relaxing
13,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNxbGNiWE1REAE,Jean-Philippe Laverdure,https://www.google.com/maps/contrib/116032065875809955791/reviews?hl=en-CA,a week ago,2021-06-22 13:42:58.320901,2.0,119,Not really worth the detour..
14,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSUNDc3REcmVnEAE,Mark Botelho,https://www.google.com/maps/contrib/101435208820052817326/reviews?hl=en-CA,10 months ago,2021-06-22 13:42:58.322027,4.0,5,Nice little walk just watch out for speedy cyclists
15,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURnOU9tVEl3EAE,Linda Pettas,https://www.google.com/maps/contrib/106765900469955082815/reviews?hl=en-CA,2 years ago,2021-06-22 13:42:58.323364,5.0,20,Beautiful park!? Its one of the smaller parks in montreal but this one has a beautiful waterfall thats not easily attainable but well worth it once you've seen it. Although I wouldn't trust the bench that's there.
16,Parc-nature du Ruisseau-De Montigny,ChZDSUhNMG9nS0VJQ0FnSURTXy0zMkVnEAE,Amiria V,https://www.google.com/maps/contrib/114478699546676986275/reviews?hl=en-CA,5 months ago,2021-06-22 13:42:58.324508,5.0,11,My go to place to relax 🧘🏻‍♀️ Mini gem
