,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNRNzZQb1h3EAE,RxphxelG,https://www.google.com/maps/contrib/102531959558809745329/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.093050,5.0,11,The Memorys I Had In This School Omg From 2013-2015 Was Epic Good Times Good Times........
1,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSURRd182cU13EAE,Israt Noor Kazi,https://www.google.com/maps/contrib/111639559486137297174/reviews?hl=en-CA,4 years ago,2021-06-21 12:13:25.093865,4.0,6,The BEST high school  and the greatest teachers to help the students to succeed
2,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3dG9tQ1hBEAE,Rap MTL,https://www.google.com/maps/contrib/109311780578104015394/reviews?hl=en-CA,2 years ago,2021-06-21 12:13:25.094665,1.0,7,"(Translated by Google) It is a school of mentally retarded. The educators do not help in any case, half of the professors are all corrupt and very bizzare, (especially the professor of French allijean). Note this: Do not register your child at this school.

(Original)
C'est une ecole d'attardé mentaux. Les educateurs n'aident en aucun cas, la moitié des professeurs sont tous corrompus et tres bizzare, (surtout le professeur de francais allijean). Notez bien ca: N'inscrivez pas votre enfant a cet ecole."
3,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNRcWZUQUpnEAE,Nathalie Glaude,https://www.google.com/maps/contrib/113686644823652817400/reviews?hl=en-CA,4 years ago,2021-06-21 12:13:25.095526,1.0,990,"(Translated by Google) 1983 would not have said a prison. Chain in the student doors. OMG. I who came from the countryside. Oufffff, very hard.

(Original)
1983 on n'aurait dit une prison. Chaîne dans les portes étudiantes. OMG. Moi qui venait de campagne. Oufffff, très dur."
4,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSURRcnFQa05nEAE,Mike Sli,https://www.google.com/maps/contrib/109179269662659921738/reviews?hl=en-CA,4 years ago,2021-06-21 12:13:25.096326,5.0,48,"(Translated by Google) A very beautiful schools with climbing wall.

(Original)
Une très belle écoles avec mur d'escalade."
5,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSURDbzgzUjdRRRAB,GERGDFBE RGEHG,https://www.google.com/maps/contrib/106763365222056374665/reviews?hl=en-CA,8 months ago,2021-06-21 12:13:25.097226,1.0,0,
6,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSUNBdy1xVDVBRRAB,Kev Denis,https://www.google.com/maps/contrib/112406123605384130081/reviews?hl=en-CA,7 years ago,2021-06-21 12:13:25.098190,4.0,0,
7,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSURVOWFUZjRRRRAB,AngryBoy,https://www.google.com/maps/contrib/102161604955460130418/reviews?hl=en-CA,a year ago,2021-06-21 12:13:25.099071,5.0,0,
8,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSUM4cExxYTFBRRAB,Alain Ouellette,https://www.google.com/maps/contrib/101117189238393110755/reviews?hl=en-CA,11 months ago,2021-06-21 12:13:25.099931,5.0,0,
9,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSURRMDlLa213RRAB,Sassou Jules,https://www.google.com/maps/contrib/100596348716872000409/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.100794,5.0,0,
10,Parc-école Pierre-Dupuy,ChdDSUhNMG9nS0VJQ0FnSURjeHRxVmd3RRAB,Habibi Slimani,https://www.google.com/maps/contrib/100269141328326494350/reviews?hl=en-CA,a year ago,2021-06-21 12:13:25.101568,3.0,2,
11,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3Z09tUWV3EAE,Helal Uddin,https://www.google.com/maps/contrib/104023989743319578204/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.102388,5.0,37,
12,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3NDYya2VREAE,Sergei Guzenko,https://www.google.com/maps/contrib/105005490547508725044/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.103197,3.0,50,
13,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNRNU9LMWRBEAE,Carl Derome,https://www.google.com/maps/contrib/109072910290917478356/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.104062,1.0,0,
14,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNRcjRDSVVREAE,William Tarte,https://www.google.com/maps/contrib/101589426032831802156/reviews?hl=en-CA,2 years ago,2021-06-21 12:13:25.104930,1.0,0,
15,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNVM1pQclR3EAE,Alioune Ba,https://www.google.com/maps/contrib/118102743420341062546/reviews?hl=en-CA,a year ago,2021-06-21 12:13:25.105705,5.0,194,
16,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3NG9YelFBEAE,Mehran Islam,https://www.google.com/maps/contrib/112565369817984461426/reviews?hl=en-CA,4 years ago,2021-06-21 12:13:25.106478,5.0,11,
17,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNBb3ZiN0x3EAE,Yin YU,https://www.google.com/maps/contrib/103936429525607340818/reviews?hl=en-CA,5 years ago,2021-06-21 12:13:25.107272,5.0,7,
18,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUM4MC1YMUtREAE,NoMask,https://www.google.com/maps/contrib/106402194816388203839/reviews?hl=en-CA,11 months ago,2021-06-21 12:13:25.108101,1.0,1,
19,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3bDhQS0RnEAE,ly ri,https://www.google.com/maps/contrib/100397433749013000416/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.109124,1.0,0,
20,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUN3bDdHYURBEAE,Natacha Roy,https://www.google.com/maps/contrib/110489836471168193492/reviews?hl=en-CA,4 years ago,2021-06-21 12:13:25.109928,5.0,1,
21,Parc-école Pierre-Dupuy,ChZDSUhNMG9nS0VJQ0FnSUNRN0xyOEJBEAE,Annica Trudel,https://www.google.com/maps/contrib/104283898060131203272/reviews?hl=en-CA,3 years ago,2021-06-21 12:13:25.110703,5.0,3,
