,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSURLLUpLRHFRRRAB,Ved O,https://www.google.com/maps/contrib/102156789281369672642/reviews?hl=en-US,a month ago,2021-06-24 09:57:16.960992,5.0,162,"Small park. It's the access to the marina and curling club. There's access to the river. Some places to sit. And free parking. Popular place! Nearer the water, there's a small strip of land where you cab sit down and relax with a great view of Lac Deux Montagnes."
1,Parc-école du Grand-Chêne,ChZDSUhNMG9nS0VJQ0FnSURDeUpPTlBBEAE,Marwa Yahia,https://www.google.com/maps/contrib/106587037211731455842/reviews?hl=en-US,9 months ago,2021-06-24 09:57:16.961825,4.0,89,very nice place for relax front of the lake.
2,Parc-école du Grand-Chêne,ChZDSUhNMG9nS0VJQ0FnSUNLdG9hTEdREAE,Bhargav G,https://www.google.com/maps/contrib/104034425704257497845/reviews?hl=en-US,2 months ago,2021-06-24 09:57:16.963071,5.0,96,Great view during sunset
3,Parc-école du Grand-Chêne,ChZDSUhNMG9nS0VJQ0FnSUQ4aWJIcWFBEAE,Hussein Mounir,https://www.google.com/maps/contrib/113991746557572552257/reviews?hl=en-US,11 months ago,2021-06-24 09:57:16.964217,5.0,50,Small but nice place to enjoy voice of nature
4,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSURVM3N2Mmd3RRAB,Yan Teor,https://www.google.com/maps/contrib/112076744727941678041/reviews?hl=en-US,a year ago,2021-06-24 09:57:16.965165,4.0,53,Very lovely. During the sunset it can definitely get crowded but totally worth it.
5,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSUM4b2JibDFBRRAB,frank bleau,https://www.google.com/maps/contrib/103613344131647269070/reviews?hl=en-US,11 months ago,2021-06-24 09:57:16.967209,5.0,36,Great chill out spot by the water :)
6,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSUNDNHFtUWhBRRAB,Martin Leclerc,https://www.google.com/maps/contrib/103268711037381252885/reviews?hl=en-US,10 months ago,2021-06-24 09:57:16.968615,4.0,48,New tennis courts are great
7,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSUNDOTcySnlnRRAB,Ravi Gopalan,https://www.google.com/maps/contrib/103993336792848048139/reviews?hl=en-US,9 months ago,2021-06-24 09:57:16.969611,5.0,6,Beautiful place.
8,Parc-école du Grand-Chêne,ChZDSUhNMG9nS0VJQ0FnSUNzX19uUlhBEAE,Dronda Gardner,https://www.google.com/maps/contrib/113940007276961495686/reviews?hl=en-US,a year ago,2021-06-24 09:57:16.970520,4.0,37,Great place for sunset
9,Parc-école du Grand-Chêne,ChdDSUhNMG9nS0VJQ0FnSUNLZ2RtNHNBRRAB,360vMedia. com,https://www.google.com/maps/contrib/101533107860473093834/reviews?hl=en-US,2 months ago,2021-06-24 09:57:16.971792,5.0,71,Wow
