,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place Roy,ChZDSUhNMG9nS0VJQ0FnSUNNMDhmYVl3EAE,Jahn Ha yes,https://www.google.com/maps/contrib/108478833247094932537/reviews?hl=en-CA,a year ago,2021-06-22 20:06:59.986041,5.0,25,i love this place
1,Place Roy,ChdDSUhNMG9nS0VJQ0FnSUM0OEtlOXVnRRAB,U GN,https://www.google.com/maps/contrib/113781538674399369067/reviews?hl=en-CA,2 years ago,2021-06-22 20:06:59.987472,4.0,492,"(Translated by Google) Cool little park in a beautiful corner of the plateau

(Original)
Cool petit parc dans un beau coin du plateau"
2,Place Roy,ChdDSUhNMG9nS0VJQ0FnSUNBNHVTdmh3RRAB,David Mongeau-Petitpas,https://www.google.com/maps/contrib/116818425593236780580/reviews?hl=en-CA,3 years ago,2021-06-22 20:06:59.988731,4.0,229,"(Translated by Google) Perfect park to quickly pass by bike at night and kill yourself by rushing on the sculptures.

(Original)
Parc parfait pour passer rapidement en vélo la nuit et se tuer en fonçant sur les sculptures."
3,Place Roy,ChZDSUhNMG9nS0VJQ0FnSUNrdllqT1lREAE,Stephanie Belisle Nadon,https://www.google.com/maps/contrib/113583159234643151246/reviews?hl=en-CA,a year ago,2021-06-22 20:06:59.990012,2.0,106,"(Translated by Google) Decaying place ...

(Original)
Lieu en décomposition..."
4,Place Roy,ChdDSUhNMG9nS0VJQ0FnSURVZ3YzMTJ3RRAB,evandest1983,https://www.google.com/maps/contrib/108044759144336734563/reviews?hl=en-CA,a year ago,2021-06-22 20:06:59.991287,3.0,2,
5,Place Roy,ChdDSUhNMG9nS0VJQ0FnSURnME1pWDBBRRAB,leandro miguel,https://www.google.com/maps/contrib/104138814123739161407/reviews?hl=en-CA,3 years ago,2021-06-22 20:06:59.997419,5.0,0,
6,Place Roy,ChdDSUhNMG9nS0VJQ0FnSUNxbWZHX3NRRRAB,Elizabeth Verol,https://www.google.com/maps/contrib/111794605361828133036/reviews?hl=en-CA,a week ago,2021-06-22 20:06:59.999622,4.0,5,
7,Place Roy,ChdDSUhNMG9nS0VJQ0FnSUNBNVB2MnBnRRAB,Legion Onefifty,https://www.google.com/maps/contrib/110062095056388039915/reviews?hl=en-CA,4 years ago,2021-06-22 20:07:00.002077,5.0,0,
8,Place Roy,ChdDSUhNMG9nS0VJQ0FnSURLeHJ1cmp3RRAB,Renaud Lemieux,https://www.google.com/maps/contrib/113828121668050412077/reviews?hl=en-CA,a month ago,2021-06-22 20:07:00.004210,5.0,3,
9,Place Roy,ChdDSUhNMG9nS0VJQ0FnSUM0enU3QmpRRRAB,luc anthony,https://www.google.com/maps/contrib/110020369901115186306/reviews?hl=en-CA,2 years ago,2021-06-22 20:07:00.005234,4.0,37,
10,Place Roy,ChdDSUhNMG9nS0VJQ0FnSURTc3BTTGh3RRAB,Said “Aitakdias” k,https://www.google.com/maps/contrib/109067619939002321220/reviews?hl=en-CA,6 months ago,2021-06-22 20:07:00.006308,5.0,3,
11,Place Roy,ChZDSUhNMG9nS0VJQ0FnSURndk9ENWR3EAE,Cheng Zhang,https://www.google.com/maps/contrib/109004487983435151252/reviews?hl=en-CA,4 years ago,2021-06-22 20:07:00.007382,5.0,19,
12,Place Roy,ChZDSUhNMG9nS0VJQ0FnSURBMnZIQ2NnEAE,Sten Dur,https://www.google.com/maps/contrib/109584754122748036123/reviews?hl=en-CA,4 years ago,2021-06-22 20:07:00.009726,3.0,0,
13,Place Roy,ChZDSUhNMG9nS0VJQ0FnSUNxaE5MM1VnEAE,Michael Malone,https://www.google.com/maps/contrib/111688945165591346095/reviews?hl=en-CA,3 weeks ago,2021-06-22 20:07:00.011245,5.0,277,
14,Place Roy,ChZDSUhNMG9nS0VJQ0FnSUR5am9HSE9BEAE,Marc DeBlois,https://www.google.com/maps/contrib/117601371864785600045/reviews?hl=en-CA,3 months ago,2021-06-22 20:07:00.012666,5.0,0,
15,Place Roy,ChZDSUhNMG9nS0VJQ0FnSUR5d1kyWkZ3EAE,Pascal Levesque,https://www.google.com/maps/contrib/106413830612229233151/reviews?hl=en-CA,3 months ago,2021-06-22 20:07:00.014030,5.0,1,
16,Place Roy,ChRDSUhNMG9nS0VJQ0FnSUNVX2E1cxAB,Patrice Moss,https://www.google.com/maps/contrib/117486684763595513382/reviews?hl=en-CA,a year ago,2021-06-22 20:07:00.015763,1.0,50,
