,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSURDMU1LdmhBRRAB,Allegra Carpenter,https://www.google.com/maps/contrib/112771120918290001457/reviews?hl=en-CA,9 months ago,2021-06-24 17:40:35.779099,5.0,17,This is a beautiful square and where I fell in love with Montreal.  This photo is from 2006 when I was 7 months pregnant with my son.  We have had a place in Montreal now for 13 years.  It is a wondeful city filled with wonderful people.
1,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUNVMHBISUhBEAE,F Rod,https://www.google.com/maps/contrib/109544389911541728432/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.780940,5.0,113,"Oh please take me back what a beautiful experience. This place was gorgeous and full of history I truly recommend it , bring your family or come on a solo trip but you can't be living without coming here is like going to Europe."
2,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUNZeVllbFRnEAE,Nelson L Urgiles,https://www.google.com/maps/contrib/115455698126138925965/reviews?hl=en-CA,2 years ago,2021-06-24 17:40:35.783302,4.0,340,"Had a nice walk around this area that offered a cool lively ambiance full of people and places to shop and visit. There were street performers that made the experience fun and entertaining, a variety of shops and restaurants around to try the local cuisine. In the afternoon when the sun sets is where this place offers one of the best views in the city. So much do to, so little time."
3,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUNROWR5VzdRRRAB,Jinsun Ha,https://www.google.com/maps/contrib/102225555405371286404/reviews?hl=en-CA,3 years ago,2021-06-24 17:40:35.785219,5.0,71,"Nice view, with nice buildings. In summer, the view is amazing. Peoples always only want to go Old Port, but this place is good also!"
4,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSURraFpuSHd3RRAB,somkietr rojanasathit,https://www.google.com/maps/contrib/116130681940453681399/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.796719,4.0,430,Nice little square next to the city hall with fountains and statutes.
5,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUNzaTVDV3ZBRRAB,David,https://www.google.com/maps/contrib/107492693475944720312/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.798865,5.0,142,"Nice place for a break to admire the story of this historical place, I suggest you visit this place by night (I will add other pictures soon)"
6,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSURncmZ6dkN3EAE,visionksn,https://www.google.com/maps/contrib/115098467387989240385/reviews?hl=en-CA,3 years ago,2021-06-24 17:40:35.800361,5.0,40,"After having dinner at the Jaques-Cartier square, I just cross the street for finding a station. I found an open place(park) on the top of stairs. Good to relax!"
7,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUNRdjdEamtnRRAB,Yizu Lulu Yeh,https://www.google.com/maps/contrib/110532676613295612027/reviews?hl=en-CA,3 years ago,2021-06-24 17:40:35.801874,5.0,600,Nice Plaza with the city hall one side and the statue of Jean vauquelin who came to Canada as a part of seven year's war. You can walk a little further and see champ de Mars. Very green and scenic.
8,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSURrajRXZUtBEAE,Satish Kanta,https://www.google.com/maps/contrib/100672643425418582388/reviews?hl=en-CA,4 months ago,2021-06-24 17:40:35.804691,4.0,62,A public square with a fountain facing the place jacque cartier. Great place to watch the crowd and unwind.
9,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUMwdTctaVlBEAE,Julian Wong,https://www.google.com/maps/contrib/114601476244901732902/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.806433,5.0,567,"A gorgeous place in Montreal with all the landmarks right next to each others. A great place to sit and enjoy the view, the people and even the waterfront from a distance. There are old buildings like the Service des Finances de la Ville de Montréal and Montreal City Hall, Nelson's Column and Place Jacques-Cartier is full of shops, restaurant and vendors. If you still have time, you can walk down to the waterfront."
10,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSURVNmJUSFVBEAE,Hariom Arora,https://www.google.com/maps/contrib/109996185832864141546/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.807917,3.0,36,Place is located nice in the center of the market. Good service but the food was pricey. I understand that it's a tourist spot and not many repeat customers but the food quality and quantity compare to prices were not justified. It's not even that the food was outstanding. Its average food. You can find better choices all around.
11,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUM0LWZmYm93RRAB,Pinki L,https://www.google.com/maps/contrib/112032489500585037010/reviews?hl=en-CA,2 years ago,2021-06-24 17:40:35.809974,4.0,16,It was a pleasant place to rest a bit and had a nice view of the old port.
12,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSURBMkliTldnEAE,Ben Comin,https://www.google.com/maps/contrib/115289305967340496154/reviews?hl=en-CA,3 years ago,2021-06-24 17:40:35.821998,5.0,37,"Super nice area to hang around, dip your feet in the wading pool and listen in on a few tour guides."
13,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUNDOGNmamJ3EAE,أبو عمران,https://www.google.com/maps/contrib/111910869044821051940/reviews?hl=en-CA,9 months ago,2021-06-24 17:40:35.824098,4.0,180,Amazing in the night 🌙 ✨ 👌 💕 💛 💙 🌙
14,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUMwb2V5TDlRRRAB,taous fezoui,https://www.google.com/maps/contrib/100789161058914888232/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.826175,5.0,22,So pretty and joyful in every season. Great vantage point in old town.
15,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUQwdkoyTU9BEAE,Kelly Clement,https://www.google.com/maps/contrib/117434115218986018816/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.828105,5.0,69,Good for a few moments of entertainment.
16,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUNVbEp2T1ZBEAE,E Lins,https://www.google.com/maps/contrib/102689953783032579406/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.829904,5.0,161,"Summer is so much fun to visit this place! It is a young crowd, family-oriented environment. Go on a slow motion to capture the grandeur of the scenery."
17,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSURJdk5EVGh3RRAB,Jun Song,https://www.google.com/maps/contrib/106973170082935702959/reviews?hl=en-CA,2 years ago,2021-06-24 17:40:35.831700,3.0,111,Don' be visit christmas season
18,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUNVOXV2dDJ3RRAB,Ariel “Ariel” R,https://www.google.com/maps/contrib/114042341407496349148/reviews?hl=en-CA,a year ago,2021-06-24 17:40:35.834830,4.0,72,"Cute little fountain and park. Nice safe place to stop and rest or read, on the edges of the old port of Montreal."
19,Place Vauquelin,ChdDSUhNMG9nS0VJQ0FnSUNRbExMdGt3RRAB,Discovering Destinations,https://www.google.com/maps/contrib/101331681950298273515/reviews?hl=en-CA,4 years ago,2021-06-24 17:40:35.838211,4.0,787,"Where: Vauquelin Place, Montreal
What: A square with fountains just beside City hall
How was it: It's a nice place to check out while you are heading towards the Old Port.  It's especially nice if you are coming from Champ de Mars and you climb up the stairs.
Sadly this year there are huge renovations and you cannot go through.  It was nice before and it will be again...
Grade: Eli = 3+, Serge = 4
Recommend : Yeah."
20,Place Vauquelin,ChZDSUhNMG9nS0VJQ0FnSUNBeWRhc1RREAE,Vishal Chaturvedi,https://www.google.com/maps/contrib/108305486651841208941/reviews?hl=en-CA,2 years ago,2021-06-24 17:40:35.848324,4.0,52,Nice place to spend an evening! While we were in canada; the temperature touched 96 F ; truly a good place during this time. I liked the overall feel of the old Montreal.
