,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURnOHBpT1BREAE,Justin Ng,https://www.google.com/maps/contrib/105989240712905837969/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.479974,5.0,92,"Would I come back: Yes!

Value: Shady, quiet spot in the midst of the old city.

The Good: Great area to catch your breath on the picnic benches. There's also access to water and you can hear the street performers from here."
1,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURDMkkyVUNREAE,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,9 months ago,2021-06-24 16:29:53.481049,5.0,680,"Being the neighbor of the most famous square in Montreal is not easy. Place de la Dauversiere is ignored by most, but you shouldn't. If you are looking for a little shade and a place to relax, just a few feet away from the hustle and bustle of Place Jacques Cartier, this public garden will do just fine. The garden contains the statue of Jean Drapeau, the most famous local mayor in the modern history of Montreal. Mr. Drapeau's statue is strategically placed in the square that is right in front of city hall."
2,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNVNmJfMm5BRRAB,Mohammed El oumairi,https://www.google.com/maps/contrib/110012037081377853802/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.481998,5.0,46,Breath-taking architecture... Just wonderful.
3,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSUR5ajQ2cEhBEAE,Pierre-Luc Mercier,https://www.google.com/maps/contrib/101310589279850450980/reviews?hl=en-CA,3 months ago,2021-06-24 16:29:53.482944,4.0,269,"Nice place, very busy"
4,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURnNy1qZVR3EAE,Anoja Muthucumaru,https://www.google.com/maps/contrib/113255916937683621239/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.483886,4.0,79,This is a small park with a view of city hall.
5,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURJd2FyODBBRRAB,Ahmed Shehab,https://www.google.com/maps/contrib/111431226957112853058/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.484834,4.0,277,Great family area
6,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURBak1pQW1BRRAB,Andrea Paganini,https://www.google.com/maps/contrib/116177950356434070858/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.486210,4.0,480,nice place inside the old Montreal; view on the town hall; there are a lot of small restaurants where to eat
7,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUMwcE9HOG53RRAB,Paul Ellinger,https://www.google.com/maps/contrib/107874344122735528603/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.487155,4.0,483,Great historical place to visit
8,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURVanREVjZRRRAB,John Livernois,https://www.google.com/maps/contrib/117241884901513365573/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.488092,3.0,119,It was ok
9,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURZcDctbkxnEAE,Rene Apariccio,https://www.google.com/maps/contrib/111795796760865879744/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.489048,5.0,59,Bellisimo
10,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRNWR5eDdBRRAB,Joseph Porrovecchio,https://www.google.com/maps/contrib/111614359622840808188/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.489991,4.0,201,Right across Montreal's Cit Hall in the heart of old Montreal. Common meeting place for City Tours.
11,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURTX3Rudkl3EAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-CA,5 months ago,2021-06-24 16:29:53.490927,3.0,3,"(Translated by Google) They added a nice level descent near Château Ramezay. A small green space created before the 2000s where you can admire one of the city's most iconic mayors, Jean Drapeau.

(Original)
Ils ont ajoutés une jolie descente en palier près du Château Ramezay. Un petit espace de verdure créé avant les années 2000s où on peut admirer un des maires de la ville les plus iconiques, Jean Drapeau."
12,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURzb2RhcU5REAE,Pierre Beaulieu,https://www.google.com/maps/contrib/116416463604658345336/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.492030,5.0,53,"(Translated by Google) Right across from Montreal city hall, a pretty square.

(Original)
Juste en face de l’hôtel de ville de Montréal, un joli square."
13,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURNbTVQdzl3RRAB,OMAR benz,https://www.google.com/maps/contrib/103620235856848212531/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.492970,4.0,105,"(Translated by Google) Very pretty

(Original)
Très jolie"
14,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSUM0MGNtZlhnEAE,La fée Influenceuse,https://www.google.com/maps/contrib/102169971534568910815/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.493904,5.0,75,"(Translated by Google) All a beautiful place, there are beautiful people and good atmosphere!

(Original)
Tout un bel endroit, on y trouve du beau monde et de la bonne ambiance!"
15,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURnMnNmYm1RRRAB,Rick Vo,https://www.google.com/maps/contrib/116050083542823834615/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.494843,3.0,247,"(Translated by Google) Small garden, nice to see! What I liked the least is that you cannot photograph with a professional camera! Advertising is free and yet it is prohibited!

(Original)
Petit jardin, agréable de voir! Ce que j'ai moins aimé c'est qu'on ne peut pas photographier avec un appareil de photo professionnel! La publicité est gratuite et pourtant c'est interdit!"
16,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUM0eWY3ZDJBRRAB,Fernando Samuel Méndez Díaz,https://www.google.com/maps/contrib/102855337068417154546/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.495783,5.0,557,"(Translated by Google) Wonderful architectural work near Cartier Street.

(Original)
Maravillosa obra arquitectónica cerca de la calle Cartier."
17,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUN3c09MUmpRRRAB,Ndèya Ndiaye,https://www.google.com/maps/contrib/101393835610520834569/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.496722,4.0,232,"(Translated by Google) Nice nice place at the end of the day I liked the pure and pleasant air

(Original)
Belle place agréable en fin de journée j ai bien aime l air pure et agreable"
18,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURZdC1faDFBRRAB,Herman,https://www.google.com/maps/contrib/107006823964952844331/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.497839,2.0,50,"(Translated by Google) Nothing special. Birthday Celebration City of Montreal actually it was not worth it to go

(Original)
Rien de spécial. Célébration anniversaire ville de Montréal réellement ça n'a pas valu la peine y aller"
19,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRMVB6eXVnRRAB,Sergio Vazquez,https://www.google.com/maps/contrib/116015329679328265274/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.498792,4.0,18,"(Translated by Google) Excellent place to walk and eat in the small restaurants and if you want to eat delicious I recommend Nelson garden

(Original)
Excelente  lugar   para caminar y comer en los pequeños restaurantes y si quieren comer rico les recomiendo Nelson garden"
20,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNnanBLQjdBRRAB,mamjon,https://www.google.com/maps/contrib/117985486138892589389/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.499732,5.0,265,"(Translated by Google) As everywhere ...... anti-racism manifestation.

(Original)
Como en todos lados......manifestacion antiracismo."
21,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUM0eVk3N3JBRRAB,Clermont Lavoie (Cuneran),https://www.google.com/maps/contrib/112709462897531060950/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.500743,5.0,56,"(Translated by Google) Very good

(Original)
Très bien"
22,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSUNnNXNMVVJREAE,Alex Cournoyer,https://www.google.com/maps/contrib/101893484882593890082/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.501686,4.0,1,"(Translated by Google) Facing Montreal City Hall. Beautiful place with bronze Jean Drapeau

(Original)
Face à l'hôtel de ville de Montréal.  Belle place avec bronze de Jean Drapeau"
23,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNvdTZITXp3RRAB,Gaetan Matte,https://www.google.com/maps/contrib/106107317324753846007/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.502624,4.0,929,"(Translated by Google) Very nice place in OLD Montreal ... where we can relax .... summer.

(Original)
Très bel endroit dans le VIEUX Montréal...où l ' on peux relaxer ....l ' été."
24,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURnMnVPWHN3RRAB,Nicola,https://www.google.com/maps/contrib/109713982246272721687/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.503569,5.0,2,"(Translated by Google) A very beautiful square.

(Original)
Una piazza molto bella."
25,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSUN3X2NEbVNnEAE,Adel Ghemri,https://www.google.com/maps/contrib/113534164403171524492/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.504508,5.0,114,"(Translated by Google) Clean

(Original)
Propre"
26,Place de la Dauversière,ChZDSUhNMG9nS0VJQ0FnSURBbmZHREF3EAE,Julien Paquier-Galliard,https://www.google.com/maps/contrib/102591920577692288246/reviews?hl=en-CA,5 years ago,2021-06-24 16:29:53.505446,4.0,1,"(Translated by Google) A nice little place

(Original)
Une jolie petite place"
27,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNpdHY2Mi13RRAB,Laurence A. Lamarre,https://www.google.com/maps/contrib/111593515980454272164/reviews?hl=en-CA,7 months ago,2021-06-24 16:29:53.506384,4.0,37,
28,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUQ0MXIzNzlRRRAB,Deliciouz Deli,https://www.google.com/maps/contrib/105827741155312340847/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.507322,5.0,42,
29,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURnenRhWjlBRRAB,Anabel OIivero,https://www.google.com/maps/contrib/116427615802811010322/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.508261,4.0,1,
30,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUM0NTZEcTVRRRAB,Vanessa Rose,https://www.google.com/maps/contrib/113745320665033121021/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.509193,5.0,23,
31,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURZalpiTzVRRRAB,Martin Juneau,https://www.google.com/maps/contrib/116960218919003834436/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.510139,5.0,89,
32,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRZ2ZUNTRBRRAB,Chris Cooper,https://www.google.com/maps/contrib/101311977806418853540/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.511071,4.0,352,
33,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUQwN29uTzNnRRAB,Etiene Moreira,https://www.google.com/maps/contrib/102163318927185020200/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.512002,5.0,61,
34,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRNnZHaTJRRRAB,Sylvain Blanchard,https://www.google.com/maps/contrib/117113881345496012021/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.512929,4.0,1,
35,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURzZ01fZzJBRRAB,Simon Bullock,https://www.google.com/maps/contrib/102288258036590904607/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.513859,5.0,53,
36,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURRb3VyVzB3RRAB,Roderick Pascual,https://www.google.com/maps/contrib/106110499821696690884/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.514791,4.0,7,
37,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRMXJpMzB3RRAB,Matthew Janzen,https://www.google.com/maps/contrib/102652305556138380918/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.515720,4.0,8,
38,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURROXR5cTBRRRAB,Johnny Lebrun,https://www.google.com/maps/contrib/115943614013025642043/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.516653,4.0,47,
39,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUM0aEozdXpBRRAB,원주TV,https://www.google.com/maps/contrib/113561878212588290404/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.517599,5.0,526,
40,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURrX3VpendRRRAB,Elle Campbell,https://www.google.com/maps/contrib/101388532709003632112/reviews?hl=en-CA,a year ago,2021-06-24 16:29:53.518554,4.0,155,
41,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUN3Nlkzb3dBRRAB,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.519491,4.0,321,
42,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSURRck1QLXZnRRAB,Ghost Ghost,https://www.google.com/maps/contrib/101550154874183898662/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.520424,3.0,58,
43,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUN5MWZldHZRRRAB,Ola La,https://www.google.com/maps/contrib/105558503542641369134/reviews?hl=en-CA,4 months ago,2021-06-24 16:29:53.521355,5.0,82,
44,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNRM19DbHV3RRAB,Michel Gendron,https://www.google.com/maps/contrib/111597170724999658395/reviews?hl=en-CA,3 years ago,2021-06-24 16:29:53.522302,3.0,9,
45,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNnMzdPMnRnRRAB,Cristian,https://www.google.com/maps/contrib/103898230301502945718/reviews?hl=en-CA,4 years ago,2021-06-24 16:29:53.523239,5.0,55,
46,Place de la Dauversière,ChdDSUhNMG9nS0VJQ0FnSUNvMjRxMHN3RRAB,CdeG,https://www.google.com/maps/contrib/104892397934587447671/reviews?hl=en-CA,2 years ago,2021-06-24 16:29:53.524191,5.0,8,
