,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSURrMmJuM3hBRRAB,Mark Rymill,https://www.google.com/maps/contrib/102174870025986348505/reviews?hl=en-CA,a year ago,2021-06-24 16:31:46.416219,5.0,15,Beautiful area in old Montreal.
1,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSURnN3NIeTBBRRAB,Ray Swiderek,https://www.google.com/maps/contrib/105693032263244242659/reviews?hl=en-CA,3 years ago,2021-06-24 16:31:46.417212,5.0,228,Excellent exhibition of the archeological dig of Canada's first Parliament building. Very informative
2,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSURLbXJEZTZ3RRAB,Yiannis Moschov,https://www.google.com/maps/contrib/100150579326491506289/reviews?hl=en-CA,a month ago,2021-06-24 16:31:46.418144,4.0,93,Nice place
3,Place de la Grande-Paix-de-Montréal,ChZDSUhNMG9nS0VJQ0FnSUQwd09uWVZ3EAE,Glen E. Grant,https://www.google.com/maps/contrib/106095515634635075805/reviews?hl=en-CA,a year ago,2021-06-24 16:31:46.419088,5.0,379,A historic symbol thou missed by many for what it is and the foundation of roots to Montréal it is still a worthy stop for anyone in the city.
4,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSURRdHVmSmxBRRAB,Stephen Welton,https://www.google.com/maps/contrib/103850779465056732692/reviews?hl=en-CA,3 years ago,2021-06-24 16:31:46.420023,4.0,115,"Almost everywhere you turn in Old Montreal you will find some history and a place to take a time out in the park if you are on the move. I stopped here in April of 2018 so their wasn't much green on the ground but I imagine the summer months this is a beautiful spot. You are within steps of all kinds of coffee shops, stores and restaurants."
5,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSUNBbzd6ZW13RRAB,Dana Westermark,https://www.google.com/maps/contrib/107373520042407220447/reviews?hl=en-CA,2 years ago,2021-06-24 16:31:46.421293,3.0,293,"Small museum with a brief rather dull description of the history of Montreal. 2nd floor is another small and rather dull description of Expo 67. Given the dramatic history of Montreal and the huge surprise success that was Expo 67, there is no excuse for this lame presentation of either subject. There are so many great things to see and do in Montreal, give this one a miss."
6,Place de la Grande-Paix-de-Montréal,ChZDSUhNMG9nS0VJQ0FnSUNVcmFQdE9REAE,Saya Gofferaiw,https://www.google.com/maps/contrib/108658976317325842397/reviews?hl=en-CA,a year ago,2021-06-24 16:31:46.422268,3.0,45,"History, not bad but you know: white pll history allways gets dark lol...killing Natives and taking their land...prepare for that kind of ish"
7,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSUNzMzZMdHd3RRAB,Sherry Malik,https://www.google.com/maps/contrib/106959100560282154633/reviews?hl=en-CA,a year ago,2021-06-24 16:31:46.423206,5.0,61,Fun place to walk around
8,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSUQwN3NxZXBBRRAB,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-CA,a year ago,2021-06-24 16:31:46.424143,5.0,2,Scenic and quiet corner in the historic center.
9,Place de la Grande-Paix-de-Montréal,ChdDSUhNMG9nS0VJQ0FnSURRel9IOHF3RRAB,M Robson,https://www.google.com/maps/contrib/105839667272270965751/reviews?hl=en-CA,3 years ago,2021-06-24 16:31:46.425100,4.0,82,"Place de la Grande Paix is where the ""grand peace"" was signed between the French habitants and over 30 Amer-indian tribes.  It finally made Montreal and the surrounding area safe for settlement.

The Montreal Pioneers Monument and some commemorative plaques can be found in the ""place"".

The Montreal History Museum is located at one end (very good and inexpensive)."
