,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURDeTk2QWJBEAE,Patrick Savard,https://www.google.com/maps/contrib/107959269560597585039/reviews?hl=en-CA,8 months ago,2021-06-24 16:37:17.456813,4.0,60,"(Translated by Google) Very good

(Original)
Très bien"
1,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSURreEtlNjV3RRAB,Yeja Morales,https://www.google.com/maps/contrib/116522795542549533430/reviews?hl=en-CA,a year ago,2021-06-24 16:37:17.457716,4.0,178,"(Translated by Google) Nice atmosphere and good things around

(Original)
Belle ambiance et de bonnes choses autour"
2,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURrbU5XZFJnEAE,Michele Gagne,https://www.google.com/maps/contrib/115856971308132462389/reviews?hl=en-CA,2 years ago,2021-06-24 16:37:17.458594,4.0,46,"(Translated by Google) Marie-Prose show for St-Jean. #Prosodie Super ambiance.

(Original)
Spectacle Marie-Prose pour la Stt-Jean. #Prosodie Super ambiance."
3,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURrcExXdkJ3EAE,Jacques Laflamme,https://www.google.com/maps/contrib/104883168521041550646/reviews?hl=en-CA,a year ago,2021-06-24 16:37:17.459465,5.0,56,"(Translated by Google) Saint John Show of Sing Your Way

(Original)
Spectacle de la Saint-Jean de Chante ta Voie"
4,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSUN3c2RhVnJ3RRAB,Pascal Thomas,https://www.google.com/maps/contrib/106093383885226444327/reviews?hl=en-CA,3 years ago,2021-06-24 16:37:17.460372,1.0,43,"(Translated by Google) There's nothing to do in the shabby neighborhood full of homeless people, and the restaurant is not terrible

(Original)
Ya rien a faire la quartier minable plain de sdf sa fait pitier et les resto pas terrible"
5,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSURVeGViUzhRRRAB,Catherine Cote,https://www.google.com/maps/contrib/110776196463406385712/reviews?hl=en-CA,a year ago,2021-06-24 16:37:17.461266,5.0,15,
6,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSUNVeDd2VjBBRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-24 16:37:17.462139,4.0,140,
7,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSUMwczVlSnlBRRAB,helaine laroche,https://www.google.com/maps/contrib/111540019102551728876/reviews?hl=en-CA,a year ago,2021-06-24 16:37:17.463005,5.0,118,
8,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSURRMm8zU29nRRAB,Robert Periard,https://www.google.com/maps/contrib/108752831787711671994/reviews?hl=en-CA,4 years ago,2021-06-24 16:37:17.464273,5.0,2,
9,Place du Bonheur-d'Occasion,ChdDSUhNMG9nS0VJQ0FnSUQwbFAtS2xRRRAB,Papou Papou,https://www.google.com/maps/contrib/101217241128801120193/reviews?hl=en-CA,a year ago,2021-06-24 16:37:17.465166,4.0,5,
10,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURpOGV6bGNREAE,walid Moukarzel,https://www.google.com/maps/contrib/109864276726184285848/reviews?hl=en-CA,6 months ago,2021-06-24 16:37:17.466036,5.0,6,
11,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURTLWRqQUdREAE,Michael Malone,https://www.google.com/maps/contrib/111688945165591346095/reviews?hl=en-CA,5 months ago,2021-06-24 16:37:17.466902,5.0,277,
12,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSUNRbE1ld0ZnEAE,Boris Charnov,https://www.google.com/maps/contrib/109849206768995199391/reviews?hl=en-CA,2 years ago,2021-06-24 16:37:17.467825,4.0,1,
13,Place du Bonheur-d'Occasion,ChZDSUhNMG9nS0VJQ0FnSURrdUlpeUN3EAE,Marc-Antoine Vézina,https://www.google.com/maps/contrib/108400439702382189418/reviews?hl=en-CA,2 years ago,2021-06-24 16:37:17.468691,5.0,6,
