,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSUN5bU9USGRREAE,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,5 months ago,2021-06-24 19:31:56.041539,4.0,680,"If you've used the main entrance to the Berri metro station on the corner of Ste Catherine and Berri, chances are that you've walked through this square. Place Emilie-Gamelin is usually very busy during the summer. It's very popular with a large number of do-nothings, especially on a sunny day."
1,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSUNLdUp5UmlRRRAB,B Cadorette,https://www.google.com/maps/contrib/107539901078876878562/reviews?hl=en-CA,2 months ago,2021-06-24 19:31:56.044016,3.0,60,"It is what it is. Lots of homeless and addicts hang out here. Pre Covid there used to be shows and a food and drinks place that was pretty good, you could have a burger and coffee while watching a show. I have no idea what will happen this summer."
2,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSURLaU5tbmpnRRAB,MaXxX “MaX” XaAaM,https://www.google.com/maps/contrib/115173394804450021487/reviews?hl=en-CA,a month ago,2021-06-24 19:31:56.052470,1.0,34,Could be a nice place to sit but it is the spot of all alcooholics and junkies of the area. In pandemic can be dangerous to go as they are approaching without any distance safety or masks.
3,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSUNLZ1BHTl93RRAB,Paul Rupert,https://www.google.com/maps/contrib/106430790414288090321/reviews?hl=en-CA,3 months ago,2021-06-24 19:31:56.053710,4.0,29,Best demonstrations in town; my wife and I serve food to the homeless once in a while.
4,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSUNLbTRiVFh3EAE,Mohamad cheayb,https://www.google.com/maps/contrib/117453598113443770136/reviews?hl=en-CA,2 months ago,2021-06-24 19:31:56.055119,3.0,73,The parc is nice in general but sometime it is dirty and full of homeless
5,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSUR5dDRuOE5REAE,Robert Sciola,https://www.google.com/maps/contrib/116632124016440558811/reviews?hl=en-CA,3 months ago,2021-06-24 19:31:56.056313,3.0,3,The food is excellent!! Also there's a gigantic chess board on the floor.
6,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSURTdlpTWkx3EAE,Gerard Labadie,https://www.google.com/maps/contrib/109340795040065282368/reviews?hl=en-CA,5 months ago,2021-06-24 19:31:56.057553,4.0,128,"Its a park where you can relax. But be advised, there are all kinds of people who go there like , drug dealers and users,  and a lot of beggars. There is nothing wrong with that, try to be generous, even if you know they will spend it on the wrong thing try not to judge or be upset when they ask. It is truly very hard to be hooked on a substance especially when these people are in constant despair...something to tink about. Not recomend to hang there at night alone."
7,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSUN5Z2V2MV9RRRAB,Steven Bjerke,https://www.google.com/maps/contrib/102162058916597511586/reviews?hl=en-CA,4 months ago,2021-06-24 19:31:56.058526,4.0,92,"In the summer as Jardins Gamelin this place has a very unique vibe, a mix of students, tourists, oddballs and the more shady. There's always concerts or street artists, and a food truck (albeit expensive) is permanently parked in the summer.

There's a homeless presence and a lot junkies (who seem to be on meth), but they're generally harmless. Would't recommend coming here late at night though, unless there's a concert or something going on."
8,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSUNLanMtYkJREAE,PzJ Cakeman,https://www.google.com/maps/contrib/104243892908563790250/reviews?hl=en-CA,2 months ago,2021-06-24 19:31:56.059516,1.0,38,"It could be nicer for students, they're trying to help the homeless with free food and housing but it is not safe for families and babies"
9,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSUNLOEs2U3J3RRAB,Saduro,https://www.google.com/maps/contrib/108661895248156214438/reviews?hl=en-CA,2 months ago,2021-06-24 19:31:56.060477,4.0,37,Nice park with plenty of sitting space and an event ground.
10,Place Émilie-Gamelin,ChZDSUhNMG9nS0VJQ0FnSUNVc09tN0tBEAE,Ivan Ceballos,https://www.google.com/maps/contrib/113364617464743678235/reviews?hl=en-CA,a year ago,2021-06-24 19:31:56.070614,5.0,278,"Awesome place! Specially in the summer where many activities are held. It's next to Berri UQAM station and St Catherine. We attended the Circus event there and was awesome! A lot of space, good facilities and perfect ambiance in the heart of Montreal."
11,Place Émilie-Gamelin,ChdDSUhNMG9nS0VJQ0FnSURLcDdyY3JBRRAB,Joël Morin,https://www.google.com/maps/contrib/100008299775687052210/reviews?hl=en-CA,a month ago,2021-06-24 19:31:56.072517,2.0,183,Hangout for homeless folks. It’s a bit rough
