,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNxdS1iYW5nRRAB,S A,https://www.google.com/maps/contrib/103694496112966475312/reviews?hl=en-CA,3 days ago,2021-06-23 10:06:58.837085,5.0,50,My favorite spot to read books and enjoy pleasant weather. Great way to get your steps in and stay active.
1,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSURLOWEtWWFnEAE,Ivanov Alvarado,https://www.google.com/maps/contrib/101815446386397702557/reviews?hl=en-CA,a month ago,2021-06-23 10:06:58.839308,4.0,31,Nice option to spending time with friends keeping the social distancing
2,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUR5MEpIazRnRRAB,D. L. (V-man),https://www.google.com/maps/contrib/100929415157396801961/reviews?hl=en-CA,4 months ago,2021-06-23 10:06:58.841289,4.0,140,Nice place to chill or train bring your bands or do some aerobics or high intensity training. Nice chair to lounge and chat or Sun bath during summer
3,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSUNxOWZ6TVZnEAE,Rikko “Scot” Weatherup,https://www.google.com/maps/contrib/102551242592883505148/reviews?hl=en-CA,a week ago,2021-06-23 10:06:58.843400,5.0,635,Nice clean park.
4,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNzbFlqUmlnRRAB,Paul Giovannetti,https://www.google.com/maps/contrib/116580149385008847854/reviews?hl=en-CA,a year ago,2021-06-23 10:06:58.858117,5.0,88,"A great spot to relax by the Lachine Canal, right beside the bicycle trail. Large chairs to relax in facing the mountain, nice sculptures of bird silhouettes dot the sky, assorted wild grasses, a few picnic tables, movies in the park once a week in the summer evenings (french only). There's a microbrewery steps away with a terrace. The new REM train will pass by here when it's done, but it won't stop here. The VIA passenger rail train going East also passes over the canal here."
5,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSUN3bDZYYVNBEAE,Scott Ingram,https://www.google.com/maps/contrib/106151821586798608811/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.860690,4.0,93,"Very pleasant stop during your bike tour along the canal to, or from, the Old Port. Great view, especially at night. By all means take the bike path into the Port, don't go onto Wellington with your bike.

Manicured grounds and seating. Nice view."
6,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNLN2JxSTVnRRAB,Brian Luker,https://www.google.com/maps/contrib/102722763354162345856/reviews?hl=en-CA,2 months ago,2021-06-23 10:06:58.865530,5.0,18,It's a beautiful and peaceful place
7,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSURDd2R2LUt3EAE,Mark A Alves,https://www.google.com/maps/contrib/103333075566620447562/reviews?hl=en-CA,8 months ago,2021-06-23 10:06:58.867097,3.0,14,Its ok nice walks. Theres some where you can chill but again im not familiar with saint square rent bike shop more can be done with the area not much to say on this part.
8,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURvai1PUHNRRRAB,Rick Burgos,https://www.google.com/maps/contrib/117516445006970785921/reviews?hl=en-CA,2 years ago,2021-06-23 10:06:58.868934,5.0,85,"I'm a photographer and I like to take pictures in this park. You can go by sunrise and the sunset to get better pictures. The place is beautiful so there's lots of photos opportunities you can get. Bring your kids and pets if you like. Summer time is really popular, lots of people go to relax and enjoy the view. Go this next spring!"
9,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSURDM01QYlhnEAE,David Henri,https://www.google.com/maps/contrib/112987372263548982087/reviews?hl=en-CA,9 months ago,2021-06-23 10:06:58.884134,4.0,211,Nice and clean park
10,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURRNi03YW5nRRAB,Amanda Labourot,https://www.google.com/maps/contrib/107663511314533322130/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.887119,5.0,40,Nice spot to enjoy the water and a little less busy than old port. You can enjoy free movie nights during summer
11,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURROGY3MnNBRRAB,CAI GAN XIAN Lucas,https://www.google.com/maps/contrib/117493801592316392194/reviews?hl=en-CA,2 years ago,2021-06-23 10:06:58.888749,4.0,619,Nice park located on the other side of the canal Lachine. Face to face with Griffingtown. The park is small. But during summer it projects some great movie during the evening.
12,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNVcUpyaHZ3RRAB,David Law Tchan Wa,https://www.google.com/maps/contrib/108280778920113922202/reviews?hl=en-CA,a year ago,2021-06-23 10:06:58.890240,4.0,46,Simply put: « nice »
13,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUN3eHZUMDl3RRAB,Sylwia Ewa Elsodany,https://www.google.com/maps/contrib/118178788896381328440/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.891733,4.0,126,"It's ok place to sit down and relax after a long walk along the canal, especially if you have the young children or pets with you (we take our cat). We usually take a sit there before continuing exploring the place. In summer you can lay down on the grass, there are also big chairs and some picknick tables with benches. We have a snack there or bring our lunch to eat outside. Some people excercise with trainer on the square."
14,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNnNTRHY253RRAB,Michel Touzin (Redempter),https://www.google.com/maps/contrib/101236344384813270841/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.894358,5.0,44,"Great park, definitely recommend when it's sunny outside"
15,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURNc0lTaWxBRRAB,Genevieve Jessy Sarazin,https://www.google.com/maps/contrib/116962848292862323159/reviews?hl=en-CA,a year ago,2021-06-23 10:06:58.907165,5.0,83,Great place to unwind
16,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNBdHNLcThRRRAB,Jb Thibaudeau,https://www.google.com/maps/contrib/114029071770467698395/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.917403,5.0,49,"Lovely spot to catch some rays, watch the canal, maybe see some ducks!"
17,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURBN01mLTFRRRAB,Quentin Auvray (golbarg),https://www.google.com/maps/contrib/112880212653104933391/reviews?hl=en-CA,4 years ago,2021-06-23 10:06:58.929972,2.0,299,"Nothing great here, loud traffic nearby. You're better off walking along the canal and finding a better spot if you want to chill."
18,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURRdDZ6dXBBRRAB,Amandeep Mann,https://www.google.com/maps/contrib/110123870313358535725/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.933174,4.0,137,Great place to relax after a workout.
19,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNnb2ZYaTN3RRAB,Benoit Martel,https://www.google.com/maps/contrib/106111206368184186294/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.937330,2.0,136,Very nice but too hot in summer since there are no large trees or structures
20,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUQwazVESWpRRRAB,Alfredo Vivar,https://www.google.com/maps/contrib/115087558148290731482/reviews?hl=en-CA,a year ago,2021-06-23 10:06:58.939204,5.0,1,👌 ok
21,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURVNU5LcDRnRRAB,David Adams K,https://www.google.com/maps/contrib/101636083883737913078/reviews?hl=en-CA,a year ago,2021-06-23 10:06:58.941181,5.0,47,Movie night Mondays
22,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNRdnNDVmxBRRAB,Md Ruhul Quddus,https://www.google.com/maps/contrib/103309059057281538487/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.943542,5.0,10,Best in the Montréal
23,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUNZbDRfWThBRRAB,Hariom Vishnu,https://www.google.com/maps/contrib/101683411426239195958/reviews?hl=en-CA,2 years ago,2021-06-23 10:06:58.955894,3.0,18,"It',s ok"
24,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURRaDZLUzFBRRAB,Maher Kouraytem (MAHERK76),https://www.google.com/maps/contrib/108185597258421269136/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.957574,5.0,153,Quiet next to the canal
25,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSUN3anJfSTNBRRAB,Roni B,https://www.google.com/maps/contrib/113305339254622187483/reviews?hl=en-CA,2 years ago,2021-06-23 10:06:58.959421,4.0,346,Follow the movie nights.
26,Square Saint-Patrick,ChdDSUhNMG9nS0VJQ0FnSURBd01hcmpnRRAB,Ahmed Morsy,https://www.google.com/maps/contrib/103428296678410912625/reviews?hl=en-CA,3 years ago,2021-06-23 10:06:58.961900,4.0,92,Enjoyed the place
27,Square Saint-Patrick,ChZDSUhNMG9nS0VJQ0FnSURLanRtaldnEAE,Robert Turcotte,https://www.google.com/maps/contrib/102760435363944863839/reviews?hl=en-CA,3 weeks ago,2021-06-23 10:06:58.964877,4.0,480,"(Translated by Google) Pleasant to relax.

(Original)
Agréable pour se relaxer."
