,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNLcHBuWjJRRRAB,Francis Ménard (Frnakly_Speaking),https://www.google.com/maps/contrib/118004276779043092696/reviews?hl=en-CA,2 months ago,2021-06-24 17:50:19.048280,4.0,25,Large amd enough benches for everyone! Might be pleasant to add some tables thought.
1,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUR5MXAzSnp3RRAB,Jesse Prupas,https://www.google.com/maps/contrib/112773720787411584917/reviews?hl=en-CA,3 months ago,2021-06-24 17:50:19.050053,5.0,78,Loved the skating rink the made here this COVID winter! This square is gentrifying quickly.
2,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNxemNUODhnRRAB,Carlos J alvarez G,https://www.google.com/maps/contrib/103688690956972686987/reviews?hl=en-CA,a week ago,2021-06-24 17:50:19.051465,5.0,134,good park to walk and share with the family
3,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNxbGZEczN3RRAB,Lupa Duende,https://www.google.com/maps/contrib/114521513662502003983/reviews?hl=en-CA,a week ago,2021-06-24 17:50:19.053612,5.0,250,Great place for an ice cream!
4,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNxanJiQzhnRRAB,Mauro Peña,https://www.google.com/maps/contrib/105614546613626861622/reviews?hl=en-CA,2 weeks ago,2021-06-24 17:50:19.056895,5.0,27,Cute neighborhood park.
5,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSURDOXZlenl3RRAB,Cyrille Loreau,https://www.google.com/maps/contrib/109148927483196332315/reviews?hl=en-CA,8 months ago,2021-06-24 17:50:19.059112,5.0,18,"Ok so Montreal has a ton of parks and they're all pretty nice, BUT this park is not only gorgeous (massive fountain), but it's dab smack in one of the coolest neighborhoods in the city (St.Henri) and as such surrounded by AMAZING eateries. So you can grab something to go and do some serious chillaxin' in the park."
6,Square Sir-George-Étienne-Cartier,ChZDSUhNMG9nS0VJQ0FnSUM4bHIzX1R3EAE,Pascal Lecurieux,https://www.google.com/maps/contrib/107376802326900926717/reviews?hl=en-CA,11 months ago,2021-06-24 17:50:19.060914,4.0,115,"Great little square, perfect for small meetings with friends. Had a nice time with people doing unofficial open mic sessions over there. Too bad there are no bathrooms close to it since the pool closed due to the pandemic."
7,Square Sir-George-Étienne-Cartier,ChZDSUhNMG9nS0VJQ0FnSUQ4el9mTlFREAE,Alexander Gnatenko,https://www.google.com/maps/contrib/107910400494975897754/reviews?hl=en-CA,10 months ago,2021-06-24 17:50:19.063392,5.0,36,Great place to visit in quartier St Henry. Authentic touch of  French Canadian culture. Great neighborhood and places to eat
8,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNxa2JfMG9nRRAB,Ashik Mahbub,https://www.google.com/maps/contrib/116355797755370449769/reviews?hl=en-CA,2 weeks ago,2021-06-24 17:50:19.073559,5.0,153,of course I like it it's my park :)
9,Square Sir-George-Étienne-Cartier,ChdDSUhNMG9nS0VJQ0FnSUNDdWVtSGlRRRAB,Yulia Toncheva,https://www.google.com/maps/contrib/107388830950889400909/reviews?hl=en-CA,9 months ago,2021-06-24 17:50:19.076395,5.0,72,"Very nice and clean pool! Also, nice little park for gathering with friends."
