,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUNDbS1XOHNBRRAB,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,9 months ago,2021-06-24 17:51:50.223495,3.0,680,"Viger Square was built to hide Autoroute Ville Marie, a major highway that crosses and divides Montreal's downtown. Built on top of the highway, it manages to hide large swaths of it and plays the more important role of keeping the upper and lower parts of downtown from being disconnected. The square has fallen on hard times and needs a major renovation. One interesting tidbit is the presence of large crabapple trees that carry edible fruit which ripens around the beginning of September."
1,Square Viger,ChdDSUhNMG9nS0VJQ0FnSURRaFkzeThRRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-24 17:51:50.225179,4.0,755,Nice park.
2,Square Viger,ChZDSUhNMG9nS0VJQ0FnSUNzMnBfQ2ZREAE,philippe pare,https://www.google.com/maps/contrib/113813653072055739503/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.226297,3.0,105,Correct
3,Square Viger,ChdDSUhNMG9nS0VJQ0FnSURDNXY3T3R3RRAB,Denis Last name,https://www.google.com/maps/contrib/107329207387267166244/reviews?hl=en-CA,8 months ago,2021-06-24 17:51:50.227970,1.0,37,"(Translated by Google) A part is in complete repair and transformation, therefore inaccessible for the moment. If, when finished, it's like on the map then that should be fine for a large city park. But strangely, several concrete structures will remain in place leaving much less space for the greenery so lacking in the city.
Unfortunately, the park is crossed by 3 cross streets and is surrounded by 2 boulevards, which makes 3 small noisy parks. Eventually the other two parts will be renovated in the hope that they will no longer be isolated by walls which make the spaces worrying for users.
Ideally, I would like to eliminate the cross streets to link the 3 parts and make a single more user-friendly park.

(Original)
Une partie est en complète réparation et transformation, donc inaccessible pour l'instant.  Si, une fois terminé, c'est comme sur le plan alors ça devrait être très bien pour un parc de grande ville.  Mais bizarrement plusieurs structures bétonnées resteront en place laissant beaucoup moins d'espaces pour la verdure si manquante en ville.
Malheureusement, le parc est traversé par 3 rues transversales et est enclavé par 2 boulevards, ce qui en fait 3 petits parcs bruyants.  Éventuellement les deux autres parties seront rénovées en espérant qu'elles ne seront plus isolées par des murs qui rendent les espaces inquiétants pour les usagers.
Idéalement, j'aimerais qu'on élimine les rues transversales pour lier les 3 parties et en faire un seul parc plus conviviale."
4,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUNxLWRIT3BRRRAB,francois “François” brochu,https://www.google.com/maps/contrib/114720374953320359178/reviews?hl=en-CA,a week ago,2021-06-24 17:51:50.229918,3.0,50,Il faut être prudent dans ce park...
5,Square Viger,ChZDSUhNMG9nS0VJQ0FnSUM4azZxRFZnEAE,Suzanne Benoit,https://www.google.com/maps/contrib/102245773501301664224/reviews?hl=en-CA,11 months ago,2021-06-24 17:51:50.231337,4.0,97,"(Translated by Google) Perfect for picnic

(Original)
Parfait pour pique nique"
6,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUQwM2FPMHNRRRAB,Valentin Joly,https://www.google.com/maps/contrib/117831186054132489758/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.232654,5.0,66,"(Translated by Google) Very good place

(Original)
Très bon place"
7,Square Viger,ChZDSUhNMG9nS0VJQ0FnSURNcWVxRkt3EAE,ARKitec aacm,https://www.google.com/maps/contrib/101394141328723152365/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.235112,4.0,76,"(Translated by Google) I liked

(Original)
Me gusto"
8,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUM4azhyZDl3RRAB,F,https://www.google.com/maps/contrib/109376141517061514774/reviews?hl=en-CA,11 months ago,2021-06-24 17:51:50.240534,5.0,13,
9,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUQwdllYSzNnRRAB,Jyppy Violette,https://www.google.com/maps/contrib/111449139330742837461/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.241675,4.0,89,
10,Square Viger,ChdDSUhNMG9nS0VJQ0FnSURDaDVHdHpnRRAB,Andre Boulanger,https://www.google.com/maps/contrib/107758851659734814559/reviews?hl=en-CA,8 months ago,2021-06-24 17:51:50.280320,5.0,32,
11,Square Viger,ChdDSUhNMG9nS0VJQ0FnSURNOHVIbnVRRRAB,Jean christophe Babin,https://www.google.com/maps/contrib/104744595542833147135/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.281790,5.0,10,
12,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUNDbDkyVXVBRRAB,Paul Assio,https://www.google.com/maps/contrib/115181778866884316748/reviews?hl=en-CA,9 months ago,2021-06-24 17:51:50.282927,4.0,2,
13,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUMwenUtV3RRRRAB,Fernando Mahecha,https://www.google.com/maps/contrib/105116352514759313812/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.283884,2.0,11,
14,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUNzcE1uWWtnRRAB,Donald André,https://www.google.com/maps/contrib/111794566870825915674/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.303000,3.0,9,
15,Square Viger,ChdDSUhNMG9nS0VJQ0FnSURDaXVqYWlBRRAB,Roberto Anania,https://www.google.com/maps/contrib/105650607199502317333/reviews?hl=en-CA,9 months ago,2021-06-24 17:51:50.304579,5.0,234,
16,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUQ4c19HQ2hRRRAB,CSEM Hogan,https://www.google.com/maps/contrib/110121590503220742245/reviews?hl=en-CA,10 months ago,2021-06-24 17:51:50.310619,3.0,0,
17,Square Viger,ChdDSUhNMG9nS0VJQ0FnSUNLNVlPLWdnRRAB,Sameh Merdassi,https://www.google.com/maps/contrib/105164360904502599864/reviews?hl=en-CA,2 months ago,2021-06-24 17:51:50.312384,5.0,7,
18,Square Viger,ChZDSUhNMG9nS0VJQ0FnSURVLTlEVWVnEAE,Maryvonne P,https://www.google.com/maps/contrib/105159591046895934351/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.315014,3.0,3,
19,Square Viger,ChZDSUhNMG9nS0VJQ0FnSURNdE0tUlZREAE,Chaf Bila,https://www.google.com/maps/contrib/100554148770391101274/reviews?hl=en-CA,a year ago,2021-06-24 17:51:50.317310,2.0,16,
