ID,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location
1,"Que l'on soit croyant ou non, chacun, touriste ou montréalais se doit de gravir toutes ces marches....pour profiter de la vue exceptionnelle sur la ville!Peu de point de vue dans Montreal vous offriront ce paysage et cette allée de verdure ""à la française""! Cette basilique classée monument historique est connue notamment pour ses pèlerins qui gravissent les escaliers sur les genoux et prient à chaque marche!N'oubliez surtout pas de visiter la crypte, où l'histoire raconte que les handicapés qui ont réussi à monter les escaliers sur les genoux, ont guéri une fois en haut et y ont laisse leur canne!",5,24/7/2017,Elodie D.,https://fr.yelp.ca/user_details?userid=Sz60yFQo4iidM3hsPeOIgg,"Villeray—Saint-Michel—Parc-Extension, Montréal, QC"
2,"Je ne suis pas croyante mais je dois dire que ma visite à l'Oratoire vendredi dernier m'a beaucoup impressionnée. L'histoire et les anecdotes sont aussi passionnantes que les ""miracles"". Mais par dessus tout, le petit logis du Frère André lui-même ne laissent pas indéfférent. Cet homme de petite stature avait véritablement fait voeux de pauvreté et vivait dans l'abnégation complète. C'est un pan de l'histoire catholique du Québec à visiter. Je vous recommande chaudement.",5,5/3/2019,Amelie D.,https://fr.yelp.ca/user_details?userid=lAWSr5Q0qvkvKR27bb44EA,"Ville-Marie, Montréal, QC"
3,Nous sommes allés ici par une chaude journée ensoleillée et nous avons adoré comment il a l'air de loin. Monter est un peu loin mais la vue depuis le sommet était géniale. Il y a des informations historiques disponibles et j'ai beaucoup appris même sans guide.,4,1/6/2018,Mar L.,https://fr.yelp.ca/user_details?userid=A9zcyzP8JKOOKkQnKd0I4g,"Chicago, États-Unis"
4,"Il y a une cafeteria dans l'anexe droit de l'oratoire si jamais la faim vous poigne durant votre visite et leur bouffe fait la job ... juste la job ( dejeuner, pâtes et sandwich ) et vous avez surtout une vue mangnifique sur Montreal.",3,5/6/2016,Pat M.,https://fr.yelp.ca/user_details?userid=qKpkRCPk4ycbllTfFcRbNw,"Montréal, QC"
5,"Je ne suis pas un grand fan des lieux de culte mais je dois dire que j'ai été bluffé par la taille de l'oratoire. On m'avait parlé des personnes qui montent les marches extérieures sur les genoux en faisant des prières et je ne le croyais pas avant de le voir (et il y a un paquet de marches).Le bâtiment est vraiment gigantesque, beau et en plus de cela il est situé en hauteur ce qui vous permet d'avoir une très belle vue de Montréal mais il faut monter jusqu'en haut et ca ce n'est pas si facile.",4,19/2/2013,Matthieu P.,https://fr.yelp.ca/user_details?userid=AX7PN-tAH5vUO5KRbKEVZQ,"Montréal, QC"
6,"Je suis restée bouche-bée ainsi que ma mère. Édifice impressionnant et vue magnifique. J'ai monté l'escalier à genou pour pouvoir prier. A l'intérieur, l'oratoire est propre et bien entretenu, ça fait vraiment du bien à voir.",5,10/5/2015,Loïza L.,https://fr.yelp.ca/user_details?userid=aOPijKnBFUBCFEwZQ2BIBA,"Marseille, France"
7,"Le plus beau sanctuaire du monde dédié à st Joseph ! Cette gigantesque basilique est la 3ème du monde a être construite au coeur d'une grande ville. Sur le flanc du Mont-Royal, l'oratoire acuueille en son sein une crypte avec de splendides vitraux, la chapelle des dévots et bien sûr, la basilique.Reconnu monument historique du Canada, on afflût de tous les coins du globe pour se recueillr ici. Son chemin de croix extrèmemnent magnifique dans la montagne du Mont-Royal ajoute au lieu une touche symbolique unique pour le Canada. Oh lal la ! C'est incroyable comment ce lieu facilite la démarche spirituelle de tous croyants et des gens en quête de sens. VENEZ VOIR.",5,24/8/2008,Membre Qype (iznogo…),,"Le Plessis-Robinson, France"
8,"Magnifique!! Bon.. J'avoue j'ai un peu lutté a monter jusqu'en haut! Mais une fois la haut, la vue est surprenante!! Et surplombe une bonne partie de Montreal! ;) Je ne répéterai pas ce qu'a deja dit Y-ling, je vous laisse découvrir mais une chose est sûre.. C'est un passage obligatoire quand on est a Montreal ^^",5,20/5/2011,Chhunn N.,https://fr.yelp.ca/user_details?userid=oriEzKH9-QP4C_u6rH1mhQ,"Neuilly-sur-Marne, France"
9,"Je ne suis pas un grand fan des lieux de culte mais je doisdire que j'ai été bluffé par la taille de l'oratoire. On m'avait parlé des personnes qui montent les marchesextérieures sur les genoux en faisant des prières et je ne le croyais pas avantde le voir (et il y a un paquet de marches). Le bâtiment est vraiment gigantesque, beau et en plus decela il est situé en hauteur ce qui vous permet d'avoir une très belle vue deMontréal mais il faut monter jusqu'en haut et ca ce n'est pas si facile.",4,13/12/2012,Membre Qype (freema…),,"Toulouse, France"
10,"Magnifique lieu de culte. Je ne suis pas religieuse mais cet endroit est vraiment superbe et vaut le coup d'être visiter. Déjà quand on arrive, il faut monter les escaliers et les pentes qui mènent à l'oratoire et ça fait très bien les jambes ! Pour les pèlerin, il y a aussi la possibilité de monter un escalier spécial à genou. C'est assez impressionnant à voir. Ensuite quand on arrive aux portes de l'oratoire, la vue est magnifique. On est au dessus de Montréal et le vent souffle dans nos cheveux. Superbe ! Quand on rentre dans l'oratoire, c'est impressionnant le silence qui y règne. Sinon on peut y voir l'histoire de l'Oratoire et du Frère André (le fondateur de l'oratoire), ainsi que des objets ayant appartenu à Frère André. Il y a également la tombe du Frère André. La nef est impressionnante, c'est grand et il y a fréquemment des prières. C'est une très belle visite à faire quand on est de passage à Montréal et l'Oratoire est un des endroits les plus élevés de la ville donc la vue est juste magique.",5,6/10/2010,Celia L.,https://fr.yelp.ca/user_details?userid=yiT0Orb1Q5xhCaDdIdDV2A,"Noisy-le-Grand, France"
