ID,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location
1,"Superbe endroit pour relaxer et prendre une bonne puff d'air pas pire sain au coeur même de Montréal. Des touristes de partout dans le monde (je confirme l'Italie, l'Inde et Verdun) s'y rendent pour admirer la vue (et, de manière facultative, rencontrer la faune locale, lire ici les écureuils, les mouffettes, les ratons laveurs et les sportifs qui portent des drôles d'habits en toute saison). Choses que j'ai faites dans le Parc du Mont-Royal:- Faire visiter des amis et des Couchsurfers;- Prendre des photos des animaux;- Me faire croire que je suis en forme en faisant du jogging;- Ne pas avoir de rapports sexuels en plein air mais en entendre parler beaucoup;- Avoir de la peine (et avoir moins de peine en étant là);- Faire un photoshoot mémorable entre lovers;- Prendre des marches entre lovers;- Manquer l'autobus qui passe aux demies-heures;- Être fascinée par la vue sur le centre-ville, le centre-sud, une partie de l'est, et tout le reste;- Regarder des gens se faire glisser;- Regarder des gens faire du vélo, du patin, du ski, de la marche, du jogging, et me rappeler que je ne suis pas en forme, me sentir coupable et envisager encore de me remettre en forme;- Prendre une pause de cette folle vie et respirer enfin l'air frais sans avoir à sortir de la métropole.Je vous recommande la plupart de ces activités. À vous de choisir. Bon succès!",5,21/10/2016,Marie-Édith V.,https://fr.yelp.ca/user_details?userid=Bl98NAmKPvCRi-Z5U2atWA,"Ottawa, ON"
2,"Tellement plaisant de parcourir ses sentiers , plein de points de vue sur Montreal. Pour picnicker pour faire une sieste sur une nape , pour faire du vélo , jogging etc etc :)",5,10/7/2020,Pat M.,https://fr.yelp.ca/user_details?userid=qKpkRCPk4ycbllTfFcRbNw,"Montréal, QC"
3,"J'aime beaucoup m'y promener où aller y courir l'été, en marchant depuis le  centre ville, ça grimpe tout du long et quand on arrive en haut vers le lac des castors  on a la récompense d'un bel environnement de nature.La vue est superbe depuis le Belvédère, quoi que toujours très encombré de visiteurs en tout genre.L'automne les couleurs sont magnifiques.L'hiver il y a plein d'activités à faire et cela attire beaucoup de monde vu la proximité de la ville et les bons transports en commun. Pas idéal pour le ski dee fond car les traces sont toutes effacées par les marcheurs et les panneaux des différentes pistes très confus. La patinoire est pas très grande donc très chargée les fins de semaine. Par contre les promenades à raquettes doivent être sympas!Un incontournable à Montréal!",4,19/1/2020,Valerie R.,https://fr.yelp.ca/user_details?userid=bBzOlCXZKcwhmdITySeAhw,"Laval, QC"
4,"Je vous confirme le Canada est grandiose sa population sont des gens super. Cette colline le Mont Royal de (235 M )surplombe Montréal , c'est donc un arrêt obligatoire dans cette si belle ville. Le point de vue sur le St Laurent vaut le coup d'œil, ainsi que sur les buildings du quartier des affaires ,son majestueux Casino ,son circuit de F1 et son très beau Pont Jacques Cartier non loin de la rue Sainte  Catherine. De plus, ce parc est le poumon de la ville, arpentez la plénitude de ce parc , ce lieu vous attend. avec son lac et ces écureuilsAvant de grimper, mieux vaut avoir de bonnes chaussuresCdt E . L",5,21/4/2016,Estelle L.,https://fr.yelp.ca/user_details?userid=uWCLDlAAI-HMEj9vDtYNuA,"Saint-Tropez, France"
5,"Le parc du Mont royal est vraiment magnifique quelque soit la saison, même si je ne l'ai vu qu'en automne où les couleurs étaient renversantes et en hiver ou la neige était tout aussi renversante (littéralement^^). Il est parfait pour se balader, pour courir, pour flâner et aussi pour faire du ski ou de la luge. On peut aussi y faire du patin près du lac des castors. Bref, c'est un parc complet qui offre une vue incroyable sur Montréal !",5,17/1/2016,Melissa L.,https://fr.yelp.ca/user_details?userid=KKvc7fGUeFI5BuWD549QQw,"Paris, France"
6,"Ah le Mont-Royal... Aujourd'hui j'écris mon 100ème avis sur Yelp (je vous entends déjà applaudir, je vous remercie) et j'avais envie d'écrire sur un endroit particulier. Le Mont-Royal. C'est tout à fait inattendu au milieu d'une immense ville comme Montréal de trouver cette petite montagne qui regorge de surprises. J'aimerais ne pas vous spoiler et vous laisser découvrir mais je ne résiste pas à l'envie de vous en dire plus ! Ce Mont-Royal, vous l'aimerez :- Si vous aimez marcher, faire du trek, monter ou descendre des sentiers - Si vous n'aimez pas marcher : oui, la Société de Transport de Montréal à penser à un bus pour les moins sportifs- Si vous voulez une vue imprenable sur la ville grâce à un belvédère impressionnant- Si vous voulez vous poser tranquillement dans l'herbe près du Lac aux Castors- Si vous ne cherchez pas de castors, mais que vous vous contenteriez bien d'un raton laveur ou de quelques écureuils- Si vous aimez courir, faire du vélo, mettre des baskets et foncer- Si vous voulez prendre le temps, respirer la nature sans avoir à quitter la villePour atterrir doucement de cette déambulation sur le Mont-Royal, je vous conseille de redescendre par le cimetière du Mont-Royal. Nivelé, plein de verdure, de calme, de belles couleurs au début du printemps. Depuis que j'ai quitté ce Mont-Royal, je n'ai qu'une envie : y retourner.",5,12/6/2014,Pauline T.,https://fr.yelp.ca/user_details?userid=uwnP-t4ACOqO4kgP7m1LWA,Montréal
7,"J'ai réellement adoré ce parc qui est pour moi mon préféré de Montréal. Il a vraiment de multiples allures. Au début je m'attendais seulement à un grand parc et j'ai eu un parc, des gros chemins de randonnées, des lieux d'entraînements pour de la corde, du base ball, une sorte de volley ball joué avec les pieds, des sentiers pour cycliste, des bouts et endroits ayant des allures de forêt......Mais la raison principal pour laquelle on vient voir ce parc (en tant que touriste) c'est pour la vue magnifique qu'il offre sur tout Montréal. Si vous y assistez au moment où le soleil se couche c'est encore mieux et les photos que vous y faites sont spectaculaires!!!! Mais pour avoir accès à cette vue splendide vous devez marcher, marcher, marcher, monter des marches, encore des marches, beaucoup de marches et après remarcher encore et encore.....et à la fin vous avez la vue surplombant la ville. Et là c'est le moment de sortir l'appareil. C'est plus facile de tout redescendre que de tout monter. Un conseil: prévoir de bonnes chaussures.",5,17/8/2014,Chanel L.,https://fr.yelp.ca/user_details?userid=zFAjzhVWNCCAuDhgHqekzg,"Rouen, France"
8,"La possibilité de se retrouve a ce point coupé de tout au beau milieu de Montreal, inouï! Que ça soit pour un jogging ou unBarbecue en été près du Lac aux Castors, chacun y trouvera son bonheur! Les chemins balisés permettent une belle ballade en vélo avec quelques points de vue sublime sur la ville!Ne pas se perdre pendant une journée entière au milieu de ce parc serait une belle erreur!",5,17/6/2013,Jeremy M.,https://fr.yelp.ca/user_details?userid=zMIt4Q5sJPZTB5zmRKvS2A,"Strasbourg, France"
9,Parc assez sympa mais sans plus... pas forcement d'activité spécifique a faire Vue magnifique sur Montréalet siiinon avec le vent en décembre il fait super froid la haut....,3,22/4/2014,Romain C.,https://fr.yelp.ca/user_details?userid=1Ni3iXT5a9g7yX1zyFKuSQ,"Toulouse, France"
10,"L'étoile enlevée est pour le manque flagrant de stationnement et son prix faramineux !Quoi de mieux que d'aller se promener dans la nature, tout en étant en ville ? Le Parc du Mont-Royal offre tout ça : des sentiers pour monter ou descendre la montagne, un belvédère pour s'embrasser dans la voiture ( oui comme dans les films, mais attention aux ratons laveurs ! ), des activités saisonnières qui nous font sentir bien ( tam tam l'été et glissades l'hiver). Chaque saison offre son charme au Parc et nous rend heureux de vivre en plein coeur de la Ville. Sans oublier la magnifique esplanade et son pavillon, qui nous donne une vue magnifique de la Métropole.",4,7/1/2013,Sarah M.,https://fr.yelp.ca/user_details?userid=pEzb9RfmnD2zn5wUPpdmzg,"Montréal, QC"
