ID,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location
1,"Un parc vraiment grand et idéal l'été pour faire plein d'activités, comme courir, faire des repas entre amis (attention à l'alcool! c'est rendu interdit si vous n'êtes pas sur une table de picnic + en train de manger! ils mettaient des amendes l'été passé...), faire du sport d'équipe (volleyball, soccer, pétanque, etc..)Il y a pas mal d'écureuils pour ceux qui découvrent Montréal ^^ (les autres sont assez tannés de leur présence!! :D )Il y a un grand lac au centre, vous pouvez vous asseoir autour pour lire, faire une sieste, relaxer, etc..Le parc est propre et pas si mal fréquenté",5,23/1/2016,Céline D.,https://fr.yelp.ca/user_details?userid=3aYeG-x5A44GIgmBHrwyAA,"Montréal, QC"
2,Il y a beaucoup  d'événements  festivaliers très amusants . C'est grand . Il y a une piste cyclable  sécuritaire  pour y faire du vélo . J'aime le qu'il y a  beaucoup de verdure.,4,15/8/2019,Christel G.,https://fr.yelp.ca/user_details?userid=COSQAYt7Si3734b_LWQjvw,"Montréal, QC"
3,"Superbe parc où j'ai pris l'habitude d'aller courir. Il n'est ni trop grand ni trop petit, ainsi il convient aussi bien au petites déambulations qu'aux marches/courses un peu plus conséquentes. Il semble également parfait aussi pour aller y pic-niquer ou flâner avec des amis. Bref, étant devenue une habituée de cet endroit, je recommande à tout ceux qui veulent prendre l'air d'y faire un tour !",5,22/12/2015,Melissa L.,https://fr.yelp.ca/user_details?userid=KKvc7fGUeFI5BuWD549QQw,"Paris, France"
4,"Parc très agréable pour un pic nique, un tour de vélo, une balade ou déguster une bonne poutine de la banquise qui se trouve à proximité sur la rue Rachel :))",4,22/5/2016,Nesrine O.,https://fr.yelp.ca/user_details?userid=bcalCCwEIM3FVhx7amRawQ,"Montréal, QC"
5,"Parc très agréable pour une petite balade, un jogging, un pique-nique ou un verre partagé fin de journée. L'endroit est très chill de part son lac, ses nombreux écureuils un peu funny venant chercher après tout ce qu'ils peuvent se mettre sous la dent et de part la tranquillité des gens qui vaquent chacun à leurs activités de détentes. Un passage par La Banquise se trouvant au coin de la rue Rachel est presque obligatoire, surtout quand vous débarquez à Montréal :-)",4,20/8/2016,Kelly S.,https://fr.yelp.ca/user_details?userid=aBbT7aYWReVpdLY2cF4g4w,"Bruxelles, Belgique"
6,Petit parc bien sympa que j'ai eu l'occasion de faire de nuit. Il est sympa pour se balader un peu. Il parait que l'été tout le monde est la pour faire un BBQ entres amis et en hiver tout est mis en place pour profiter : patinoire et autres. Pas forcement un très grand parc mais c'est sympa mais il est interdit de faire du hockey par contre !!,3,19/2/2013,Matthieu P.,https://fr.yelp.ca/user_details?userid=AX7PN-tAH5vUO5KRbKEVZQ,"Montréal, QC"
7,"Que de souvenirs! Jeune, je passais souvent du temps ici à faire du canot sur le lac. J'y rencontrais parfois mon grand-père qui travaillais parfois à l'école du plateau. Juste à côté, le pavillon d'éducation de l'UQAM, l'ancienne ""école normale"" où ma mère à jadis étudier. Plus tard, mon fils prenais des cours de théâtre au pavillon situé au centre. Toutes des choses qui sont encore là, dans ce magnifique parc urbain!Un havre pour prendre une pose à la limite sud du plateau!",4,7/11/2013,Stéphanie S.,https://fr.yelp.ca/user_details?userid=seR0RklSV0nbfXv31LtSxg,"Montréal, QC"
8,Petit parc bien sympa que j'ai eu l'occasion de faire denuit. Il est sympa pour se balader un peu. Il parait que l'été tout le mondeest la pour faire un BBQ entres amis et en hiver tout est mis en place pourprofiter : patinoire et autres. Pas forcement un très grand parc mais c'est sympa mais ilest interdit de faire du hockey par contre !!,3,13/12/2012,Membre Qype (freema…),,"Toulouse, France"
9,"Amoureuse de la nature, j'ai du mal à ne pas aimer un parc. Cependant, je reste critique si l'endroit n'est pas convenable. Le Parc Lafontaine est sublime à voir. Il est très agréable d'y aller se promener, d'y aller courir, d'y aller flâner, d'y aller faire une sieste, d'y aller faire un BBQ, etc.L'été, j'y fais une journée de Sandball (du handball dans le sable). Nous avons constitué une équipe avec des amis. C'est payant, car on a droit à des bières et hotdogs sur place, mais tout le monde peut participer. Voici l'information si cela vous intéresse:celtiques.com/wp",5,19/6/2013,Vanessa M.,https://fr.yelp.ca/user_details?userid=jfUTkA8sIhiw5ahn9-9HPg,"Montréal, QC"
10,"Pourquoi vous devez absolument passez par Lafontaine lors de votre séjour à Montréal :- Parce que c'est l'un des plus grands et des plus beaux parcs de la ville- Parce qu'il y a un lac géant qui fait office de plage l'été et de patinoire l'hiver- Parce que c'est en partie ici que se déroulent les « Chroniques du Plateau » de Michel Tremblay (auteur québécois célébrissime, à lire absolument pour les nouveaux arrivants au Québec)- Parce qu'on y rencontre des milliers d'écureuils, même des blancs.- Parce qu'il est parfait pour les sportifs, les pas sportifs, les familles, les p'tits couples, les copains, les musiciens, les artistes, les photographes, les touristes, etc.- Parce que le dimanche il se transforme en pays imaginaire que les enfants parcourent une épée en bois à la main- Parce qu'au nord du parc il y a la Banquise, et qu'une bonne poutine après le patin ça fait du bien (et non pas avant le patin. SURTOUT PAS AVANT!)- Parce que son petit théâtre ouvert propose des spectacles gratuits et sympa dès le printemps",5,23/12/2010,Virginie B.,https://fr.yelp.ca/user_details?userid=VYXa-WYWq8FaIUk_z1yj4A,"Laparade, France"
11,"Probablement un des parc les plus beaux de Montréal. Très open comme parc et c'est souvent un lieu pour les familles, couples (de tout accabis). Bon endroit pour fumer des bats ou boire en cachette à l'ombre sous un arbre en pique-niquant et en écoutant de la musique sur un mini-speaker. . Un truc que je ne ferais plus maintenant mais disons que c'est un truc assez communs dans ce parc l'été. Le Parc est une bonne marché de santé, un endroit parfait pour promener son chien (ou chat de garde). Très vert et offrant un lieu vert de fraicheur en temps de canicule, le parc est bien situé au centre-ville de Montréal. Bon endroit pour faire du Rollerblade ou du vélo ou du jogging. La dernière fois que j'y ait été y'avait un robineux qui a été retrouvé mort flottant sur le marais artificiel mais ce genre de truc est extrêmement rare. La proximité d'un petit chalet publique pour se rafraichir, aller au toilette.",5,22/1/2012,Mathieu B.,https://fr.yelp.ca/user_details?userid=sFJjEc7ytSUV28Y7PpdMjQ,"Montréal, QC"
12,"Il serait facile de penser qu'un parc, c'est juste un parc mais ça n'est pas le cas pour le Parc Lafontaine. C'est un des plus jolis parcs de la ville, parfait pour faire une promenade, aller patiner, manger un pic-nique,  courir, faire de l'exercice et y laisser jouer vos enfants. En été comme en hiver, le parc bourdonne d'activités. Bien que la ville semble très tranquille les matins de fin de semaine, au Parc Lafontaine, vous y trouverez une bonne foule qui courent ou font leur exercice avant d'aller bruncher. Puis, en après-midi et en soirée pendant la saison estivale, le Théâtre de la Verdure présente une pièce qui change à chaque année et d'autres spectacles. L'hiver, profitez en pour lacer vos patins et faire des pirouettes sur les Étangs du Parc. Le centre communautaire offre un endroit parfait pour y laisser vos choses que vous pouvez laisser en sécurité si vous emmenez votre propre cadenas.",5,13/10/2011,Marie-Pier R.,https://fr.yelp.ca/user_details?userid=6MM9Yqn7UBM8tmpSHQHAAg,"Sydney, Australie"
