,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location,Place
0,"The botanical garden is just a beautiful sight to see, the flowers are all more impressive than the others and the colours are definitely mesmerizing. I recommend going there on a sunny day, so you can really capture the beauty of it. It takes about 1-3 hours to walk around and appreciate the different gardens but it's definitely worth every penny!!Don't forget to go inside as well, the plants are also impressive",5,5/19/2021,Joana Z.,https://www.yelp.com/user_details?userid=8qu5Zyurap002eIj1kLdOg,"Saint-Lambert, Canada",Jardin Botanique de Montréal
1,"Um, in a time when I can't travel---the memories of being here in January lift me up so, so much! I spent a few hours at the Botanical Gardens in Montreal and so enjoyed it! My favorite was seeing all the coffee trees (I'm obv a coffee fanatic) and the tropical fruit trees. Also for things like mandarin/banana trees, it was so tempting to take some of that fresh picked fruit, but obviously I had to be a good samaritan and not touch it as the signs indicated. All in all - my experience at the botanical gardens was amaaazing and I think it should definitely be on your list of places to visit when in Montreal!",5,5/7/2020,Alex L.,https://www.yelp.com/user_details?userid=NNL1zLTP2J_SOputgoPYeQ,"Buffalo, NY",Jardin Botanique de Montréal
2,"What a breathtakingly beautiful place with all types of colorful blooming flowers, green grassy areas, blue bodies of water and more! My favorite gardens were Chinese Garden, Rose Garden, and Flowery Brook. Upon entering, you are privy to Reception Gardens which are tall trees, flowers and a walkway leading to a fountain and the stately, impressive library on the grounds. My friends and I then started off going through the greenhouse exhibition grounds, which was my least favorite portion because I'm not really a fan of greenhouses. Most of it was warm, tropical with cactuses and green plants. I did like the orchids, bridge, and pond though. We continued on to the Rose Garden and Aquatic Garden. Roses are my favorite flowers, so I enjoyed this garden immensely. There were pinkish-yellow, red, orange, pale pink, purple, yellow-colored roses, as well as a pretty arch and statue of a joyful young girl. The Aquatic Garden were different pools of water with little fountains. It was very calming and refreshing to walk through it. Next was the Chinese Garden which was incredibly impressive! The entrance was through a foresty bunch of trees with red and gold lanterns hanging up above. There was also a red and black pagoda and inside the pavilion, crystal blue clear water with lantern art of fishermen and boats, orange and blue fishes, a huge bird, etc. All of this is surrounded by lush green grass, lilacs, pandas and bamboo lantern art display, rocks, Chinese style buildings, and a natural-looking waterfall on a rocky cliff. After that, we checked out the Japanese Garden which was not all that compared to what I just experienced in the Chinese Garden. There was a bonsai display, lantern art of cranes in the grass and a small cultural center. Then there was the Shrub Garden and Alpine Garden. The Shrub one was a little boring for me, but the Alpine Garden had this wild, unbridled beauty with all the rocks, bodies of water and different types of trees. We also saw the Lilacs and Flowery Brook, which boasted all kinds of flowers of red, pink, purple, white, orange, along with leaves of purple, yellow, green and more. It was truly a sight to behold and there was a large body of water with lily pads and marsh-like atmosphere.There were arboretum trails that we did not get a chance to check out, but I was very happy with what we experienced.",4,10/6/2019,Kathy X.,https://www.yelp.com/user_details?userid=RJH925_Ci598EuRx9JoGwA,"Brooklyn, NY",Jardin Botanique de Montréal
3,"As of August 2019, the Biodome and Insectarium are closed for renovation. I believe the insectarium is supposed to re-open in August 2020. That being said, they don't really have any other exhibits if that's what you're interested in. They have different garden areas for different groups of flowers/plants (i.e. roses, lilacs). My favorite was probably the poisonous plants because it was interesting to read about them. Although they're not really blocked off so if you're bringing children there, you should probably keep an eye on them. I saw one little girl wandering into the bushes as the mom just looked on. Questionable, but not my place to say anything. Anyway, there's also a Japanese and a Chinese garden which were a bit lame.Overall, I'm not sure it was worth the price for what we saw. The price for an adult is $20.50. If you have a student ID, it's $15. I believe they have a parking lot for $12, but we were able to find street parking nearby. Just be mindful of the street cleaning/rush hour signs and you should be fine.Tip - allot yourself at least 2.5 to 3 hours to see everything. The park is huge, and that was already with us skipping some gardens. They have a golf cart that can take you across the park, with several stops - but it doesn't come very often and it's usually packed.",3,8/26/2019,Mel T.,https://www.yelp.com/user_details?userid=hwSSM8Jn29dXRW4ym-roDQ,"Hoboken, NJ",Jardin Botanique de Montréal
4,"Montréal's Botanical Garden is not something to be taken lightly. I recommend that you come here earlier in the day because it takes several hours to complete the entire garden. I think it took us about 3 and a half hours before we exited on the opposite side. For $20 a ticket, you definitely get your money's worth here. They have a nice handful of little gardens which are very pleasant to the eye. Our absolute favorite was the Chinese garden that is pictured in my review. It really was a beauty seeing all the dragons and pagodas and boats in this section. We spent a good amount of time here taking pictures of everything we could. If you start off from the side by the Olympic Stadium and Science Center, the garden will become less and less vibrant as you go on until you finally exit on Sherbrooke. If you start the either way, all the good stuff will be towards the end. I would definitely recommend that any tourist make a trip here!",5,8/19/2019,Emily P.,https://www.yelp.com/user_details?userid=mWcS4rFDDJOVMVuER-Cqzw,"New York, NY",Jardin Botanique de Montréal
5,"Not the most breathtaking botanic garden that I've ever been to, but a nice visit in good weather nonetheless. We were one of the last ones to leave, around 8pm. Bring your student IDs for the discount.The assortment of greenhouse/hothouse plants was typical, nothing extraordinary.Sheep grazing the open pastures (part of the garden that had the trails) was a surprising sight!The best part was the Chinese garden: it was the most picturesque part of our experience. Take tons of photos! Really brings you to a serene, meditative place as you appreciate the beauty of nature around you.",3,7/9/2019,Kseniya K.,https://www.yelp.com/user_details?userid=wom1WWarGvu24KJi9tquSw,"Manhattan, New York, NY",Jardin Botanique de Montréal
6,"Photos by me.I went with two tweens and two males over 30.So the four of them made my visit unpleasant. And they were ready to go after the golf carted tour. Maybe 1.5 hours. I was so upset I left them to mill around the entrance and walked the ground by myself. Many of the attractions were still under construction and closed to the public. That combined with the fact that I had left four restless people made me marathon visit the gardens and wrap it up..... so: Information from Tripadvisor.com: Along with the Biodome, the Insectarium and the Rio Tinto Alcan Planetarium, the Botanical Garden is part of the Montreal Space for Life, Canada's largest natural museum science complex and Montreal's top must see attraction.The Montreal Botanical Garden, one of the city's jewels, is recognized as one of the world's greatest botanical gardens. It offers a colourful program of events, exhibitions and activities all year long. With its collection of 22,000 plant species and cultivars, 10 exhibition greenhouses, Frederic Back Tree House, and more than 20 thematic gardens spread out over 75 hectares, it's also a perfect place to enjoy fresh air and natural beauty. Located just minutes from downtown Montreal, right near the Biodome and Olympic Park, the Montreal Botanical Garden is a living museum of plants from all over the world. You can also enjoy the Insectarium which is on the Garden's site.",5,8/25/2019,Theresa E.,https://www.yelp.com/user_details?userid=RESphQbbAlyrQ613LwsMeg,"Bossier City, LA",Jardin Botanique de Montréal
7,"I hadn't been to the botanical gardens since I had gone for a field trip many years ago with elementary school. I finally went back recently for the garden of light and it was quite beautiful. 16$ entry fee and definitely book your tickets for your timeslot in advance (online) if you're planning to go on the weekend , also keep an eye on the weather as it's all outside , it likely won't be as enjoyable in the cold or in the rain. The Chinese garden was very pretty , you almost feel like you're no longer in montreal. Definitely worth checking this out , I would curious to see some of their other exhibits. They do special ones for Halloween and various other holidays/themes. family friendly but also a nice idea for a date :)",4,10/2/2019,Patricia C.,https://www.yelp.com/user_details?userid=nHjRBSbzPeqdq5_D3AirEg,"Hampstead, Canada",Jardin Botanique de Montréal
8,"I am a HUGE fan of botanical gardens so this was a must for our trip to Montreal.We spent quite a few hours here and probably would have spent more if it hadn't been such a hot day.The gardens are beautiful! I'll say it again for those in the back - Beautiful!There are lots of different sections - a Chinese garden, a Japanese garden, a shady garden, shrubs, beautiful flowers, goes on and on.There are also little ponds and lakes here and there, adding to the overall beauty of this place.If botanical gardens are your thing then you have to come here and plan on being here a few hours at least.Loved it and I'd love to go back!",5,8/4/2019,Mudi K.,https://www.yelp.com/user_details?userid=HoX16kQE_osaTdw_Sh9tCQ,"Wallingford, CT",Jardin Botanique de Montréal
9,"I came here with my sister and we were impressed at the variety in flowers and plants there were! It was very easy to follow the map I was provided with. However, I was upset that the insecatrium was closed until 2021! I was really looking forward to visiting that area of the garden.",4,7/15/2019,Yvette G.,https://www.yelp.com/user_details?userid=JoVrzT6QTcTeRmXQdQg02w,"Laval, Montreal, Canada",Jardin Botanique de Montréal
