,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location,Place
0,"This place is amazingly gorgeous. The structure is huge, just being near it feels extremely peaceful. When walking in, the signs are very clear and it's easy to get through on your own in case you don't want to go through a tour. The view is spectacular being that it is so high up so I recommend going with a camera! Mass was being held in both languages and the signs are available for future times and programming. We noticed that construction is taking place so we are excited to return when everything is renovated. I'm sure it will be breathtaking. If you are in the area and interested in staying in touch with beautiful catholic structures I 100% recommend stopping by. Uber is decent price ($17USD) from downtown Montreal.",5,1/7/2020,Christy M H.,https://www.yelp.com/user_details?userid=Q1INbJRvzHJoEckiBOTU9g,"New York, NY",L’Oratoire Saint-Joseph du Mont-Royal
1,"This place has some really beautiful scenic views of Montréal from up on high on the Mountain. But ... Roman Catholicism is a death cult that condones pedophilia. The Roman Catholic Church is known to condone pedophilia by protecting priests who rape and abuse children, and commit other acts of child sexual assault. The Church does not report these priests to authorities, instead they actively conceal their criminal actions by transferring the pedophile priest to another parish or congregation. In many circumstances the Church will protect and even enable pedophile priests by pressuring survivors of childhood rape and childhood sexual assault to reach a legal settlement which also precludes survivors from speaking out about their trauma. These non-disclosure agreements serve to protect pedophile priests from the criminal justice system. There is also a creepy ritual cannibalism aspect to their worship practices. The Roman Catholic Church is an extremely patriarchal and problematic institution which practices extreme sexism; women are not allowed to participate equally with men, women are barred from the clergy, and are barred from holding any positions of power or influence within the organisation. The Roman Catholic Church is an extremely corrupt, wealthy, and powerful institution; it wields influence like a weapon and inherently acts as an organised crime syndicate. The Roman Catholic Church also failed to speak out against the Holocaust and continues to be silent about the role it played as Nazi collaborator. The Roman Catholic Church also obscures and obfuscates it's role in many other genocides; the Church created, participated in, promoted and condoned, the genocide and exile of Jews and Muslims during the Inquisition. The Catholic Church is responsible for mass murder, forced conversion, and genocide during the Crusades as well as during the colonial conquests in North America, South America, and Central America. Today, the Catholic Church presently promotes missionary work seeking the mass conversion of Indigenous peoples around the world. The Church seeks to destroy traditional Indigenous ways of life and Indigenous spiritual practices. The Catholic Church in Bolivia has actively collaborated in the coup d'état that has illegally deposed and exiled President Evo Morales, the legitimate and democratically elected head of state. Mexico's president has written to Pope Francis to ask for an apology for the Catholic church's role in the oppression of indigenous people in the Spanish conquest 500 years ago. The request was made in a two-page letter that also asked the Vatican to temporarily return several ancient indigenous manuscripts held in its library, ahead of next year's 500-year anniversary of the Spanish conquest of Mexico.If you're looking for a philosophy or spiritual practice which promotes peace and compassion, try a different denomination of Christianity like the Unitarian Church, or the United Church, or Unitarian Universalism. You can even venture outside of Christianity. Jesus was a Jew so why not explore Jewish thought and philosophy; Reform Judaism is an excellent denomination. Kabbalah mysticism is excellent spirituality as well. Sufism, a form of Islamic mysticism, is also an excellent philosophical tradition. You can go further East with Confucianism and Taoism. And last but not least are the oldest philosophies in the world, the Indian schools of though which promote compassion and nonviolence, such as Sanatana Dharma (a term that describes what we in the West call by the overly simplified exonym: Hinduism) and of course Buddhist philosophies.",1,3/23/2021,Rajendra Réjean K. C. B.,https://www.yelp.com/user_details?userid=AStTppA8-jqhDxF2kajwaw,"Montreal, Canada",L’Oratoire Saint-Joseph du Mont-Royal
2,"This place is Gorgeous and definitely a must !!!My sister drove all the way to the top of this mountain where this basilica is located. Such an impecable and peaceful place. We loved it and felt amazing, plus the architecture is so pretty. There's no entrance fee and there are different floors. We didn't have time to go to the museum but there's one there too.At their gift shop you can find any type of great keepsakes and Catholic things like books, bibles, accessories, frames, and much more. The service here was perfect and the parking was free.",5,6/23/2019,Wendy A.,https://www.yelp.com/user_details?userid=j76MG5EUdUfBaxZCZGmuuA,"Miami, FL",L’Oratoire Saint-Joseph du Mont-Royal
3,"Been here at least a half a dozen times over the last 20 years (visits even predate YELP) but this is the first time I have reviewed. This minor basilica of the Catholic Church (the largest church in Canada) is dedicated to the life and times of St. Joseph due to the devotion of a little Holy Cross Brother by the name of Andre Bessette - now St. Andre because of his 2010 canonization in Rome. St. Andre is the first and only member of the Congregation of Holy Cross to be canonized; the Congregation is also the founder of the University of Notre Dame in Indiana. The basilica in Quebec Canada sits atop Mount Royal and dominates the sight-lines of all of Montreal. This basilica - The Oratory - began with a little chapel in 1904 on the mountainside which arose because of Brother Andre's work. His day job was as the porter and doorman across the street at the Notre Dame College of the Holy Cross order - a position he retained for over 40 years. The lower church (the crypt church) was finished in 1917, the cornerstone of the basilica was laid in 1924, construction of the upper church (the basilica) was stopped by the Great Depression and not restarted until 1937. The basilica officially opened in 1956, and the interior was finished in 1967 - just in time for the opening of Expo 67 (the centennial celebration of the Canadian Confederation).The basilica is a wonder to visit. Entrance is free. This venue is generally crowded as it is one of the most popular tourist sites in Canada ... but do visit. They are going through a rehab right now to reconstruct the parking lots and access point into the basilica - but even though it is crowded and messy, do visit if you have the chance. This is one of the wonders of the Catholic Church and, no matter what your particular religious bent, a shrine of major import. Recommended.",5,8/22/2019,Rick B.,https://www.yelp.com/user_details?userid=XFGqNlqKAaaNFxrpkyMN5g,"Orland Park, IL",L’Oratoire Saint-Joseph du Mont-Royal
4,"Went here during our trip to Montreal.  There are lots of steps to walk up to go inside and we saw a woman running up/down them as part of an exercise regime.  I think just walking up the steps is exercise for most people.  It is Canada's largest church and is reputed to have the largest dome in the world!  There is some construction going on and from the sounds of things, it will continue for some time.  The drawings show that you will be able to go up into the dome when it is finished.  There is already quite a view from the middle level of the church!  Although there is lots of beauty, it is not an interior style that appeals much to me nor the rest of my family.  You can see and hear a fantastic pipe organ and concerts are given on Sunday's for free along with a large screen projector, but I have no idea what that means.  While we were there, someone was playing the organ, but not doing the best job.  Surely if you are an organist, you would love to have the opportunity to play there.  I really enjoy a large hall with hundreds of candles that you could light for other people or intentions.  Surprisingly, when you look at the candles through your cellphone, you realize that words are spelled out in the red or white containers for the candles.  Messages of biblical meaning.  It was very nice to see that touch.  Also, in that hall, there were hundreds of crutches hanging up which represents all the people who had been healed there through the years.  There was a museum, gift shop and a cafe, too.",4,3/10/2020,Carolyn B.,https://www.yelp.com/user_details?userid=D0Caw5JJXmQQ5luhH7ZvxQ,"Cincinnati, OH",L’Oratoire Saint-Joseph du Mont-Royal
5,Loved this place on a crisp fall day! The view from the top onto the great city of Montréal was breathtaking. Very relaxing and interesting tour. Check out the gift shop for inexpensive knickknacks!,5,7/30/2020,Winnie K.,https://www.yelp.com/user_details?userid=D9bA3djjFnQTsyVqSRoeWg,"Yilan City, Taiwan",L’Oratoire Saint-Joseph du Mont-Royal
6,"This catholic church is huge, & beautiful. It rests atop Montreal; & has the most amazing view of the city. There's no charge to visit. I would definitely recommend coming here if you're visiting. Pick a day where the weather is nice, & that'll add to the experience. The building has 8 floors, elevators; & is handicap accessible. I believe there are tours given, as I saw staff walking around with visitors. There's  currently construction going on outside the church, but shouldn't affect your visit in any way.",4,8/6/2019,Henry L.,https://www.yelp.com/user_details?userid=sbQluhVKY0ZCNYGysCTk_A,"Queens, NY",L’Oratoire Saint-Joseph du Mont-Royal
7,"This was on our city pass, and although it is a little far from main downtown montreal, it is easy to find by metro.After exiting the metro station, we walked a few short blocks through a small town with a cluster of stores and restaurants. This was the first street I encountered that had signs to point us to the direction of the landmarks we wanted to see. As we turned right after crossing the street, it was only a short distance where we could see the oratory. Entering the area towards the oratory was a landscape of beautiful flowers and grass.Then we had to walk up lots of concrete stairs, but it wasn't too bad because after a short walk of stairs, it flattened out to rest and take pictures of the city  and oratory. The middle stair had signs at French, and it was for those who walk up and pray on the stairs. There were many entrances to the oratory, and so much to see.  It took us at least 4 hours to go through the  whole 4 floors of the oratory and garden. The stations of the cross garden was a very peaceful walk up a semi steep road, with beautiful statues to reflect on, ending with water pouring out a golden lamb into a pond, and a view of the side of the oratory.Although the oratory closes at 8:30, we missed the museum because the museum closes at 4:30pm.Lots of parking, and if you do drive, you at least are able to bypass the stairs going towards the oratory.",5,6/19/2018,Val D.,https://www.yelp.com/user_details?userid=itNrmwmb2Tm-LKkh2kbBAg,"Honolulu, HI",L’Oratoire Saint-Joseph du Mont-Royal
8,"The St. Josephs Oratory of Mount Royal was an amazing experience.   When you first get to their main entry, you will experience a bit of construction on the landscape and parking lot walk-ups to the Oratory. During our visit, these are the must sees: the Votive Chapel, the Crypt Church, the Terrace on the mezzanine level offering an amazing view of the University of Notre Dame, the Garden of of the Way of the Cross, the Basilica itself is truly remarkable.  A final must see is the Original Chapel which is on the backside of the Oratory. Just exit out on the side of the Oratory closest to the lunch area.  We found the Garden of the Way of the Cross to be extremely relaxing, cool breezes, and quite reflective.",5,7/1/2019,Ethan T.,https://www.yelp.com/user_details?userid=tk5MOjFzceNj28vmJfyQbg,"Orlando, FL",L’Oratoire Saint-Joseph du Mont-Royal
9,"Beautiful basilica and grounds! Parking is just 5$ for the day, there is a lower parking and a higher parking in front of the entrance of the basilica. Took us about 1.5 hours to do a tour on our own. The views from the terraces are exceptional and even better than the belvedere on Mont-Royal. The gardens are nice and peaceful and worth a walk through.",5,6/30/2019,Anna C.,https://www.yelp.com/user_details?userid=oTXacfmCLz9mev6KORIfEQ,"Montreal, Canada",L’Oratoire Saint-Joseph du Mont-Royal
