,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location,Place
0,"This is a winter review.  For all winter activities like snowshoeing, tubing, cross-country skiing, skating, you can check the conditions on the website: lemontroyal.qc.ca/en/act…It costs adults $20 for 2 hours of ski or snowshoe rental.  They offer 3 sizes: S, M, L.  You simply need to reserve online and pay upon pick up at the rental trailer close to the Pavillion.  The snowshoe trail is loosely indicated and takes you all the way to the back of the Montreal General Hospital at the halfway point and circles back to Beaver Lake.  It's got uphills and downhills so it's a good workout.  Depending on the trail conditions, it can take as little as an hour or up to 2 hours to complete this trail.  With the trail a bit compacted by earlier trekkers, the trail only took us 1.5 hour to complete. Parking availability isn't too bad in the winter as people are coming and going constantly so spaces free up periodically.  That's because there's only so much snow activity that one can have in a day.  I think it would be much more difficult to find parking in the summer when people want to stay longer. The parking wasn't cleared so the snow was pretty thick in the lot.  Fun place to bring your own gear to trek across the snow, slide down the small slopes, your dog for a walk or skate on the refrigerated rink.  The skating ring has the longest lines as they limit the number of people allowed on the ice.  On a Saturday afternoon, there were probably a few dozen of people waiting in line for the skating rink.",5,1/16/2021,Aimee H.,https://www.yelp.com/user_details?userid=oW9PoxLCSMwZ6EEjKuPNjw,"Montreal, Canada",Parc du Mont-Royal
1,"Parc du Royal has a character all on its own and it's the place to go if you're looking for an awesome Montréal scenery. It's like NYC's Central Park- except Parc du Royal has that high peak almost giving you that 360° panoramic view. Postcard-perfect views? Hell yeah. We've visited the park on our first Autumn Montréal trip a few years ago, then a few more times during the winter after that- and the landscape is just jaw-dropping and gets better every time. We've driven up, but this is the kind of park where you can seriously take it up several notches and work your quads on a hike or just a quiet stroll if you want. Parc du Royal brims with tons of loops, turns, entrances and exits. It's like the heart and soul of this area where it gives us a true taste of the park life.",5,8/23/2020,Mercedes C.,https://www.yelp.com/user_details?userid=ooHF-vRzlkyN9UEVMKocAQ,"Bronx, NY",Parc du Mont-Royal
2,"This park provides a fun amount of physical activity while hilking to the top, and a rewarding picturesque view from the top, of Downtown Montréal. I would definitely recommend this as a Must for tourists given that it is just a couple blocks from the Montreal museum of fine arts and McGill University. For those who are with someone not afraid to go to the top at dusk or at dawn I truly recommend hiking to the top near sunset it sunrise to get the perfect photo. I cannot really comment on anything besides the view from the look out as it is all I really saw while at the park. encore une fois en françaisCe parc offre une activité physique amusante tout en se hissant au sommet et une vue pittoresque enrichissante du haut du centre-ville de Montréal. Je recommanderais certainement cet endroit comme un must pour les touristes étant donné qu'il se trouve à seulement quelques pâtés de maisons du musée des beaux-arts de Montréal et de l'Université McGill. Pour ceux qui sont avec quelqu'un qui n'a pas peur d'aller au sommet au crépuscule ou à l'aube, je recommande vraiment de marcher jusqu'au sommet près du coucher du soleil au lever du soleil pour obtenir la photo parfaite. Je ne peux pas vraiment commenter autre chose que la vue depuis le belvédère car c'est tout ce que j'ai vraiment vu au parc.",5,8/28/2020,John S.,https://www.yelp.com/user_details?userid=xHMq2fBArXBp881TVlRt5g,"Toronto, Canada",Parc du Mont-Royal
3,"Parc du Mont-Royal or Mount Royal Park is like the Central Park of Montreal. Unlike several city parks, however, this one contains a mountain. It's a small mountain just west (only a couple blocks) of downtown Montreal. The city of Montreal got its name from Mount Royal. Pronounce it like ""Mont Royale"" and you'll see what I mean. Mont Royale, Montreal. The park is huge, covering almost 700 acres, and the mountain rises as high as 764 feet.We stayed in an Airbnb on the east side of the park, pretty much on McGill University campus, on Aylmer St. We walked from our Airbnb, past Percival Molson Memorial Stadium and McTavish Reservoir, and hiked to one of the high points on the mountain: Chalet du Mont-Royal (yelp.com/biz/chalet-du-m…). I highly recommend it. I'm not sure where else you can get such elevated and wide-sweeping views of the Montreal city skyline.From where we started, at Pine Ave W and Peel St, the hike took us less than 45 minutes and it was a leisurely hike. We took breaks to rest and take in views as well as took a detour to see the Mount Royal Cross. The Mount Royal Cross is in an opposite direction, but not far from, the chalet. The Mount Royal Cross isn't giant like Christ the Redeemer in Rio de Janiero, Brazil. It's a simple 36-foot-tall see-through cross with light bulbs on it. If you're headed to the chalet, you might as well check it out. The founder of Montreal, Paul de Chomedey, sieur de Maisonneuve, placed the original cross on Mount Royal in 1643 to thank God and the Virgin Mary from sparing the colony from flooding.I think if you take a brisk, non-stop walk from where we started, you can reach the chalet in 20 minutes or less, certainly 30 minutes or less. We did encounter one nice city view on the way up and back down, between the chalet/cross and our starting point. The park, in general, was clean and not much differentiated it from other public parks in major cities. The trails were mostly dirt/gravel. There were benches throughout the park. On a Saturday evening around sunset, it was busy with a diverse mix of people -- locals, tourists, students, families, young, old, etc. You do have to climb a decent amount of stairs so I wouldn't recommend this hike for the elderly.On the way down, the trails lacked adequate lighting, so we used the lights on our phones to help us see.",4,2/8/2020,Daniel B.,https://www.yelp.com/user_details?userid=j14WgRoU_-2ZE1aw1dXrJg,"Atlanta, GA",Parc du Mont-Royal
4,"Really nice urban park with amazing views of the city. Must visit when in Montreal. We just walked there, wish I had my bike to bike around.",5,9/17/2020,Amy L.,https://www.yelp.com/user_details?userid=TfLxu0ByOBszcPxcLBRGpQ,"Toronto, Canada",Parc du Mont-Royal
5,"Beautiful little park in the Montreal metropolitan area. This place is beautiful during the dark of winter as well as in the heart of summer. Watching the snow fall during the winter is so magical, almost like being in a snowglobe - here in the summer, there's usually pianos set up for people to play music, people strolling about enjoying the weather, and a gorgeous view of the city from the top.",5,8/14/2020,Carol L.,https://www.yelp.com/user_details?userid=LKaEiBYGBnB8Df1hUyEnLA,"New York, NY",Parc du Mont-Royal
6,"We did not come to Montreal prepared to climb a mountain, so when the kids suggested we do so on our recent vacation, we had to take our city-clothed not-too-young selves up that mountain.  Note: There are two possible ways up that we discovered.  (I'm sure there are a million more).  One is to wind your way up wood-side where you run into a cafe that has swings and tables a third of the way up.  The other way is to take stairs all the way up.  We were glad we took the woodsy approach, although I must confess I was a bit concerned to discover that we still had two thirds of a mountain to go when we reached that cafe.  The view was already gorgeous. I could have been perfectly content at that point, but by golly up to the top we had to go! I DID it.  This old gal might have been slower than the other three, but I huffed and puffed it up and made it back down those gazillion stairs.  So however you make it to the top (lots and lots of folks took vehicles, do know there is a bathroom inside a small cafe (down yet more stairs), where you will also see a teeny museum that will let you know it's not really a mountain, but a mere remnant of something that I can't remember, because my brain couldn't fathom that I had climbed anything less than a MOUNTAIN.  NOTE:  we weren't the only people who got lost trying to figure out how to come down.  There was a detour sign that appeared to go up instead of down.  After trusting our instincts (WRONG), we had to turn around and go back to that detour sign and actually follow it, which led us to those stairs that most others were using to go up and down anyway.  Killer stairs.  Lots of them.  We were glad to be going DOWN.  Overall it was a very enjoyable hike with a sense of accomplishment for this Gal who is not known for her outdoorsy ways.",4,11/23/2019,Lori R.,https://www.yelp.com/user_details?userid=fM_UsuFAYu2TVUqJiYAKsg,"Raleigh, NC",Parc du Mont-Royal
7,"Mount Royal Park is beautiful and worth a visit, whether you're coming in the summer or winter to visit Montreal. It's a beautiful park with many  trails with vantage points at the top overlooking the entire city. In the winter, there are opportunities to snow shoe though the trails and both winter & summer offer opportunities for a beautiful overlook of downtown Montreal.So how do you get to the overlook? In my instance, daylight was running out and I simply Ubered to the Chalet and then walked down from there. You can do this, find a trail to walk to the top or take the stairs directly up. Either way - definitely carve out some time to explore this park when you're in Montreal! You won't regret it!",5,3/9/2020,Alex L.,https://www.yelp.com/user_details?userid=NNL1zLTP2J_SOputgoPYeQ,"Buffalo, NY",Parc du Mont-Royal
8,"Tranquility, peace  go for a walk here you won't regret it. There's a lake a mountain  beautiful",5,4/19/2021,Jean G.,https://www.yelp.com/user_details?userid=M-Qs9KTlRIvbkEAhvHkm3w,"QC, Canada",Parc du Mont-Royal
9,"Beautiful view of the city. However super  busy. If you don't like crowds, well... have fun. The view is definitely worth it but you have to push your way in to find a spot to take photos. If you're a photographer, bring a zoom lens!!!The path up is a decent hike on a nice day!  There's an overpriced cafe at the top for you to refuel, and some bathrooms..",4,12/10/2019,Zach P.,https://www.yelp.com/user_details?userid=J8Plwv1tfrTRasXfzm4Pcw,"New Britain, CT",Parc du Mont-Royal
