,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location,Place
0,"Un de mes parcs préférés à Montréal! Ce n'est pas le plus joli, mais il y a en masse d'espace et de choses à y faire. Pour les piques-niques, privilégier le pourtour de l'étang. Si vous êtes chanceux, il y aura même peut-être encore de l'espace sur la petite île au milieu! Un peu plus vers le nord, c'est là qu'on retrouve les familles nombreuses, les réunions de famille, les 10 millions d'enfants... Un peu moins relaxant, donc! J'adore aller faire mon jogging à ce parc. Il s'y dégage une atmosphère de sport et de santé, avec les nombreux terrains de toutes sortes d'affaires : tennis, skateboard, pétanque, natation, baseball, soccer, etc. Chacun fait son activité et on se sent un peu de connivence, en suant collectivement notre vie. Petit truc : lorsque la file est trop longue aux salles de bain, allez plutôt du bord du Stade Uniprix! C'est plus propre, plus frais, et il n'y a pas grand monde.",5,3/7/2014,Karine S.,https://fr.yelp.ca/user_details?userid=Yc_DAhEc7maqaRFli4T6yw,"Montréal, QC",Parc Jarry
1,"Excellent parc pour toute la famille. Pataugeoire, piscine gratuite,des jeux...de l'ombre et de nombreuses tables de pique nique.",5,10/7/2018,Eric R.,https://fr.yelp.ca/user_details?userid=km3g9ZkK6SGO1x62mw-D1Q,"Marseilles-lès-Aubigny, France",Parc Jarry
2,"Oulala, alors ce parc est une graaaaaaande découverte pour moi! Je fut surprise de découvrir un aussi graaaaaan parc! Habituée au parc Lafontaine ou encore le parc du Mont-Royal, je ne soupçonnais pas l'existence d'un aussi graaaaand parc.Terrain de tennis, piste pour courir, se promener, faire du roller ou encore du vélo, des aires de jeu pour les enfants, beaucoup de tables et de bancs pour se prélasser, une piscine gratuite... Hum, dès quand rentre dans ce parc, on sent une atmosphère saine, on oublie la circulation à quelques mètres, on respire tout simplement! C'est moins achalandé que le parc Lafontaine ce qui lui donne un avantage.Je ne regrette pas d'avoir aménagé pas loin!",5,23/6/2013,Vanessa M.,https://fr.yelp.ca/user_details?userid=jfUTkA8sIhiw5ahn9-9HPg,"Montréal, QC",Parc Jarry
3,"Mon parc et endroit prefere pour pic- nik , prendre du soleil, marcher, me baigner, relaxer, courrir, voir des amis et meme des dates! Je suis trop chanceuse d'etre proche!",5,2/8/2014,Dinah B.,https://fr.yelp.ca/user_details?userid=CgWWnLS1JuY-IFlULUVowQ,"Montréal, QC",Parc Jarry
4,"En ces temps de canicule et de temps trop chaud, le parc Jarry est le lieu désigné pour passer un peu de temps dehors sans trop souffrir de l'humidité et de la chaleur ambiante. La petite île au milieu du point d'eau est un refuge lors des soirées d'été et est l'endroit idéal pour discuter entre amis.Sinon la piscine Jarry est l'endroit idéal pour se baigner ou bien pour dorer. Les familles viennent s'y réunir et les gens qui vivent sans climatiseur y passent des moments apaisants (J'en sais quelque chose!). Quelques fois, on y entend même des tamtams et un saxophone qui jouent non loin. Bref, ce grand espace vert nous fait sentir loin de la circulation, loin des bruits de la ville et juste en paix avec la nature.",4,18/7/2013,Yara E.,https://fr.yelp.ca/user_details?userid=xq6-0j26VVYVFBdPb7RvQQ,"Montréal, QC",Parc Jarry
5,"Je n'y suis allée qu'une fois lors d'une chaude journée ensoleillée accompagnée d'un bon latte, un p'tit déjeuner et une très bonne amie. En plein milieu de l'étang, il y a une petite île sur laquelle on peut se reposer, lire, jaser, parler aux canards... C'est un vrai petit paradis en pleine ville. Ça inspire, ça relaxe et ça déstresse, sans avoir à coûter quoi que ça soit. Pour moi c'est un cinq étoiles simplement parce les espaces verts de Montréal sont parmi les meilleurs que j'ai connu et ils forment une des raisons principales de mon amour pour cette charmante belle ville.",5,29/5/2012,Marie-Pier R.,https://fr.yelp.ca/user_details?userid=6MM9Yqn7UBM8tmpSHQHAAg,"Sydney, Australie",Parc Jarry
6,Très beau parc . On peut y pratiquer diverses activités sportives ! Ambiance très agréable ! Accès à Internet gratuit ! Il est donc possible de travailler tranquillement sur une table dans le parc .,5,7/7/2014,Stéphanie P.,https://fr.yelp.ca/user_details?userid=LsBoBPXgVVaAJ6GZ81THrw,"Montréal, QC",Parc Jarry
7,Ce n'est pas le plus beau ni le plus grand parc de la ville mais il a deux points très positifs:- Il n'est pas très fréquenté ce qui en fait un havre de paix.- Il est très aéré. Un lieu idéal pour un pique-nique après un passage au marché Jean-Talon où vous trouverez tout ce dont vous avez besoin pour un repas gourmand sur l'herbe (le marché n'est qu'à 10/15 minutes de marche ).,4,20/1/2015,Rebecca N.,https://fr.yelp.ca/user_details?userid=yfW9H3NdSQvz1BQEyWGL2g,"Londres, Royaume-Uni",Parc Jarry
8,"Pas mon parc préféré pour faire un pique nique ou me promener mais défilement LE parc sportif de Montreal. Les terrains de tennis sont super et ceux de soccer avec le comptoir de souvlakis, l'anneau pour courir et tout le reste en font un excellent spot pour aller s'entraîner. Il ne manque qu'un gym extérieur comme certains parcs ont commencé à avoir et ce sera parfait.",4,8/2/2015,Marie-Pierre L.,https://fr.yelp.ca/user_details?userid=frlKbObavggbdI6cWYO8XA,"Montréal, QC",Parc Jarry
9,"Parc idéal pour aller courir! Beaucoup d'installations sportives: terrains de baseball, soccer, basketball, volleyball, tennis et piscine!",4,1/5/2013,Jeremie L.,https://fr.yelp.ca/user_details?userid=fy4Z9VPLoCo1Zn_7B1V-jQ,"Montréal, QC",Parc Jarry
